ID	CMa001	CMa002	CMa003	CMa004	CMa005	CMa007	CMa009	CMa010	CMa010b	CMa011	Cii001	Cii002	Cii003	Cii004	Cii005	Cii006	Cii007	Cii008	Cii009	Cii010	Cii011	Cii012	Cii013	Cii014Zymo	Cii014	Cii015	Cii016	Cii017	Cii018	Cii019	Cii020	Cii021	Cii022	Cii023	Cii024	Cii025	Cii026	Cii027	Cii029	Cii030	Cii031	Cii032	Cii033	Cii034	Cii035
hsa-let-7a-1-3p:Novel	75	42	18	54	126	26	26	68	3	152	9	40	116	12	101	41	25	22	24	15	28	5	36	132	11	9	22	56	15	4	19	86	15	13	23	21	42	2	46	9	31	53	26	25	67
hsa-let-7a-1-5p:Novel	6	18	2	43	20	8	0	28	1	6	0	4	27	2	2	4	4	0	5	0	10	0	16	9	0	0	1	3	1	1	9	8	12	2	4	21	1	1	14	2	60	2	4	11	24
hsa-let-7a-2-3p:mirBase	4	1	0	5	27	2	4	42	3	22	1	1	0	0	4	2	6	8	0	0	0	0	0	2	0	1	0	0	2	1	2	7	3	1	3	1	1	1	18	2	1	3	4	0	3
hsa-let-7a-2-5p:Novel	9	8	7	15	142	6	6	121	12	107	8	16	5	56	64	73	10	34	3	5	10	4	12	216	22	8	2	21	9	4	123	49	5	8	45	6	8	3	37	17	30	5	26	10	7
hsa-let-7a-3-3p:Novel	9	42	5	16	62	12	6	209	10	305	5	26	30	16	48	16	3	132	32	3	12	0	11	18	4	3	22	30	16	4	9	27	1	13	28	6	12	1	22	10	22	67	12	5	8
hsa-let-7a-3-5p:Novel	1	0	1	1	0	0	0	1	0	3	0	0	2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	9	0	0	1	0	1	0	0	1	0	2	1	1	0
hsa-let-7b-3p:mirBase	1	1	0	0	3	0	1	3	0	2	0	1	0	0	1	5	0	1	0	3	0	0	0	2	0	0	0	0	0	2	2	2	4	0	0	0	1	0	0	6	0	3	15	6	4
hsa-let-7b-5p:mirBase	18	65	17	34	62	15	11	22	2	8	19	48	59	11	61	12	7	8	34	12	15	9	31	28	6	4	7	65	21	3	22	23	6	24	35	12	41	3	19	21	38	101	15	3	29
hsa-let-7c-3p:mirBase	19	12	1	38	4	13	2	18	2	12	11	10	57	2	25	17	8	2	117	5	8	2	11	29	4	3	24	24	7	31	116	208	8	38	15	24	16	15	17	22	25	32	8	89	52
hsa-let-7c-5p:mirBase	6	19	2	4	28	5	4	14	4	29	4	24	21	7	12	8	0	18	14	2	3	2	5	26	7	3	6	3	0	8	5	25	1	5	14	5	6	0	17	4	9	10	8	10	39
hsa-let-7d-3p:mirBase	2	4	2	2	30	9	2	25	1	15	2	39	6	4	8	28	0	3	6	2	1	0	4	22	4	2	2	10	2	1	2	25	2	2	2	7	21	2	6	7	2	4	9	5	12
hsa-let-7d-5p:mirBase	6	22	7	5	92	8	9	31	2	31	5	22	22	2	53	13	2	15	13	1	9	1	14	61	5	5	15	35	5	7	9	53	4	3	19	6	8	0	22	13	9	27	14	10	34
