ID	GF01	GF02	GF03	GF04	GF05	GF06	GF07	GF08	GF10	GF11	GF12	GF13	GF14	GF15	GF16	GF17	GF18	GF19	GF21	VF00	VF01	VF02	VF04	VF05	VF06	VF07	VF09	VF100	VF101	VF102	VF103	VF104	VF106	VF107	VF109	VF10	VF110	VF111	VF112	VF113	VF114	VF115	VF117	VF119	VF11	VF120	VF121	VF124	VF125	VF127	VF128	VF12	VF138	VF13	VF140	VF142	VF145	VF14	VF150	VF151	VF152	VF154	VF155	VF15	VF162	VF164	VF166	VF167	VF168	VF170	VF171	VF172	VF173	VF174	VF176	VF17	VF180	VF185	VF189	VF18	VF190	VF192	VF197	VF198	VF199	VF19	VF200	VF201	VF203	VF206	VF207	VF208	VF20	VF210	VF212	VF213	VF214	VF216	VF217	VF21	VF221	VF222	VF226	VF228	VF232	VF234	VF236	VF23	VF240	VF243	VF24	VF251	VF254	VF255	VF257	VF258	VF259	VF261	VF262	VF263	VF264	VF265	VF268	VF269	VF26	VF270	VF273	VF278	VF279	VF27	VF281	VF282	VF283	VF287	VF289	VF28	VF290	VF292	VF293	VF296	VF298	VF29	VF300	VF301	VF302	VF303	VF304	VF305	VF306	VF307	VF30	VF310	VF311	VF313	VF314	VF315	VF318	VF319	VF31	VF320	VF326	VF327	VF328	VF32	VF332	VF334	VF335	VF337	VF339	VF34	VF35	VF36	VF37	VF38	VF39	VF40	VF41	VF43	VF44	VF45	VF47	VF48	VF50	VF55	VF56	VF57	VF60	VF61	VF62	VF63	VF65	VF66	VF67	VF69	VF70	VF71	VF72	VF73	VF74	VF75	VF76	VF77	VF78	VF81	VF82	VF84	VF85	VF88	VF90	VF91	VF92	VF94	VF95	VF97	VF99	VOVF31	VF277	VF344	VF348	VF349	VF351	VF353	VF360	VF363	VF365	VF370	VF371	VF377	VF378	VF379	VF380	VF382	VF383	VF385	VF386	VF392	VF394	VF395	VF397	VF409
hsa-let-7a-1-3p:Novel	65	9	19	9	10	142	7	36	4	1	12	6	65	1	1	43	1	9	0	6	53	13	277	23	0	9	240	1	7	8	12	6	2430	2977	464	19	12	10	18	11023	18	62	3	26774	7	418	6	1253	2179	122	0	6	17	22	6	904	32	86	674	26	70	136	997	27	5	11	2144	38	2	0	33	4	134	27	1914	35	8	21	10	23	137	627	58	64	20	11	98	2457	66	0	4	7	29	0	571	0	19	220	5	444	9	18	0	294	5	1	0	66	27	1179	9	6	1	2	0	60	73	18	2	2	41	11	12	0	10	128	21	223	16	2	61	5727	0	10	54	20	13	8	2	10	35	31	34	3	33	12	9	11	4	3906	15	106	28	61	645	20	554	4	3	2906	249	5	994	7	142	47	25	3	617	21	9	20	310	24	215	16	7	4	55	21	486	26	7	3	12	16425	1	10	13	1722	2537	4	11	12	2	868	1	178	0	10	8	45	869	4	0	7	426	1081	2230	55	37	12	213	30600	21	0	11	25	11658	13	17	996	3152	786	6	13	2	324	147	210	18	8	267	4932	1	10417	479	343	34	230
hsa-let-7a-1-5p:Novel	13	215	9	0	26	8	1	63	4	9	1	1	78	0	6	10	6	1	62	8	57	3	32	6	0	5	0	1	0	6	0	0	5	9	0	8	0	0	2	22	1	0	0	15	1	0	2	0	58	3	11	1	1	5	1	2	2	2	15	2	0	1	4	4	0	1	4	24	2	0	3	0	0	5	4	6	2	14	1	1	4	3	1	1	66	30	2	18	3	1	0	0	3	0	10	0	1	1	1	59	0	0	1	1	1	0	0	2	0	5	6	0	0	4	2	0	9	2	0	0	10	2	6	0	1	1	0	2	9	1	10	9	0	8	0	30	0	1	0	0	13	26	2	0	0	0	0	1	24	2	7	0	2	0	1	11	11	0	1	7	16	0	4	0	1	2	0	6	6	4	6	2	127	4	271	19	0	0	1	5	4	1	0	0	3	33	1	0	2	1	7	0	2	1	1	2	1	0	0	2	1	2	2	4	3	2	3	47	15	4	30	3	4	25	1	0	2	25	42	5	5	8	5	3	2	1	0	2	23	2	3	4	2	17	0	29	4	14	48	4
hsa-let-7a-2-3p:mirBase	4	1	0	0	1	1	0	14	0	0	1	0	5	0	1	6	0	0	1	2	5	0	3	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	3	0	1	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	38	0	0	0	0	1	1	0	59	2	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
hsa-let-7a-2-5p:Novel	12	2	2	1	8	4	1	22	0	2	1	3	7	0	1	9	0	1	1	3	9	0	6	14	0	4	1	0	0	0	1	0	0	1	0	23	1	1	3	1	0	2	4	0	0	0	2	3	0	3	0	0	4	14	32	0	0	3	2	0	0	3	1	0	0	3	0	0	0	1	0	0	2	0	1	1	48	0	0	6	1	0	1	0	5	16	3	1	5	0	0	0	1	0	2	0	0	2	0	13	0	2	0	0	0	0	0	2	0	13	1	0	0	0	1	0	1	0	0	2	6	3	2	0	1	1	3	0	0	0	0	0	0	1	1	1	1	0	1	0	0	109	1	0	0	1	1	3	0	60	2	1	0	0	2	0	1	0	1	2	0	0	5	1	0	0	1	1	0	0	0	0	4	1	3	4	0	0	2	1	3	15	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	86	16	1	0	0	0	0	0	0	5	11	1	0	2	0	0	0	0	4	1	0	0	0	6	0	1	0	2	2	0	1	0	0	3	0	1	2	5	0	0
hsa-let-7a-3-3p:Novel	45	18	9	9	12	144	6	45	1	0	6	6	64	4	1	34	0	20	5	7	17	6	189	24	2	12	243	1	8	11	15	5	2427	2867	506	11	12	1	20	10868	6	53	3	26299	3	423	11	1230	2168	124	1	3	8	28	5	880	37	25	679	7	75	164	935	17	6	9	2184	41	2	0	29	2	119	16	2005	22	11	16	2	46	158	661	19	18	15	6	98	2485	30	1	4	12	30	0	595	0	26	225	4	417	5	8	0	296	1	0	0	17	18	1199	5	5	0	5	3	53	63	21	0	3	48	3	6	1	15	121	13	228	13	0	78	5689	1	7	38	17	7	9	3	5	30	28	18	1	0	10	15	12	7	3943	11	83	7	84	658	11	530	2	2	2796	266	5	1025	3	140	36	13	9	589	28	17	29	327	14	222	18	4	0	60	26	493	12	4	0	11	16344	2	5	12	1849	2590	6	9	8	3	848	6	154	0	6	15	36	922	4	1	0	388	1069	2218	43	33	18	221	30657	12	0	11	26	11792	16	19	1005	3106	774	5	10	5	337	137	220	28	6	26	5013	0	10438	474	310	19	179
hsa-let-7a-3-5p:Novel	1	3	1	3	1	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	2	0	13	2	0	0	0	0	0	0	0	0	6	3	2	0	0	1	0	9	0	0	0	15	0	0	0	4	1	1	0	0	1	0	0	1	0	0	0	1	0	0	6	2	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0	1	0	0	0	0	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	4	0	0	0	0	1	1	1	0	0	4	1	0	1	1	0	0	0	0	0	0	1	0	11	3	0	0	0	0	0	0	2	1	0	0	1	37	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	2	2	0	0	0	0	21	1	0	0	0	28	1	0	3	8	1	0	0	1	1	0	2	1	0	0	14	0	26	1	1	1	0
hsa-let-7b-3p:mirBase	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	8	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	5	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	17	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	1	5	0	0	2	1	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	1	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	6	0	0	0	0	7	0	0	4	4	4	0	0	0	2	0	2	0	0	0	1	0	9	0	0	0	0
hsa-let-7b-5p:mirBase	35	6	7	10	52	237	2	46	3	4	7	12	62	5	4	103	1	3	1	9	37	1	234	117	5	59	187	3	21	3	11	3	2032	3305	516	12	18	1	38	6977	7	105	2	16244	2	408	12	1190	2707	226	0	2	30	45	5	1247	46	53	638	21	197	244	2445	19	34	49	1832	29	1	0	82	0	274	23	2581	106	16	40	4	37	285	607	41	11	26	26	243	2475	66	2	3	57	80	0	636	0	40	357	30	652	10	4	0	949	4	0	1	24	136	1222	5	9	2	8	6	84	118	56	2	2	120	7	10	0	54	314	135	1104	14	1	196	4108	3	26	83	12	12	9	9	28	42	61	45	12	13	15	11	21	4	3358	13	142	16	146	1088	49	359	5	0	2930	394	8	1550	4	519	115	21	11	669	32	12	17	476	20	340	34	0	0	97	33	645	6	7	4	14	7484	0	1	14	1911	2970	4	30	4	15	749	5	141	7	18	34	149	1910	3	2	7	621	1060	2019	95	54	4	275	39287	10	0	46	34	11729	19	24	1682	4131	2369	12	19	1	1510	295	329	45	17	37	4541	0	5793	992	396	50	249
hsa-let-7c-3p:mirBase	7	2	7	3	1	1	5	4	0	0	1	0	0	0	0	2	0	1	0	1	4	1	4	5	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	3	2	0	1	0	2	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	5	1	0	6	0	0	1	0	0	0	0	2	1	0	9	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	11	2	2	0	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	6	2	0	0	0	0	0	1	3	1	0	0	0	0	1	4	0	5	0	3	0	3	1	0	0	1	0	1	0	2	2	50	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	6	0	0	4	9	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	1	0	0	2	1	5	1	9	0	0	0	1	1	0	0	1	2	1	0	1	0	0	0	0
hsa-let-7c-5p:mirBase	40	6	10	5	11	16	5	18	0	1	6	0	41	0	2	20	0	3	1	1	20	6	29	11	3	3	19	2	8	0	1	2	105	144	18	16	0	3	8	529	1	3	0	1300	1	20	8	58	151	20	1	5	3	7	3	66	6	7	75	5	16	13	77	41	0	2	149	35	1	0	4	0	14	11	168	7	2	7	0	8	70	52	12	15	6	1	17	127	3	0	0	0	3	1	42	0	0	26	1	60	3	8	0	39	0	0	0	2	7	90	6	2	0	4	0	4	6	3	0	0	12	3	2	0	1	14	5	34	5	0	36	621	1	0	14	19	3	5	3	3	8	10	12	0	1	3	1	8	6	191	1	14	0	7	42	5	32	2	2	224	28	2	87	2	49	5	4	1	52	9	9	2	53	10	140	11	0	0	6	4	57	4	4	0	6	781	0	2	8	152	389	5	7	3	3	68	0	10	0	6	2	9	29	0	0	0	27	94	73	11	2	4	22	1892	12	0	3	6	957	2	1	73	240	122	3	0	2	84	18	20	2	5	4	494	0	611	52	31	7	19
