miRNA	VOV4	VOV13	VOV39	VOV62	VOV77	VOV79	VOV81	VOV91	VOV92	VOV100	VOV101	VOV102	VOV104	VOV105	VOV106	VOV107	VOV108	VOV109	VOV10	VOV110	VOV111	VOV112	VOV113	VOV114	VOV115	VOV116	VOV117	VOV119	VOV11	VOV122	VOV123	VOV124	VOV125	VOV126	VOV127	VOV129	VOV12	VOV130	VOV131	VOV132	VOV133	VOV134	VOV135	VOV136	VOV137	VOV139	VOV140	VOV141	VOV14	VOV15	VOV16	VOV18	VOV19	VOV20	VOV21	VOV23	VOV24	VOV25	VOV26	VOV28	VOV29	VOV2	VOV32	VOV33	VOV34	VOV35	VOV36	VOV37	VOV38	VOV3	VOV40	VOV41	VOV42	VOV43	VOV44	VOV45	VOV46	VOV47	VOV48	VOV50	VOV51	VOV52	VOV53	VOV54	VOV55	VOV56	VOV57	VOV58	VOV59	VOV60	VOV61	VOV63	VOV64	VOV65	VOV67	VOV68	VOV69	VOV6	VOV70	VOV71	VOV72	VOV73	VOV74	VOV75	VOV78	VOV7	VOV80	VOV82	VOV84	VOV85	VOV87	VOV88	VOV8	VOV90	VOV94	VOV95	VOV96	VOV97	VOV98	VOV9	VOV121	VOV142	VOV144
hsa-let-7a-1-3p:Novel	4	18	19	0	51	4	8	4	14	22	4	10	2	23	6	4	2	11	18	9	2	9	17	0	12	8	11	26	33	25	4	6	10	24	21	27	23	6	42	4	22	12	2	8	5	4	4	14	3	26	54	34	5	2	52	3	85	2	6	2	11	6	15	3	67	4	0	6	0	34	19	4	0	5	20	8	22	1	33	68	11	3	3	7	2	3	2	3	2	15	6	63	28	13	1	16	8	4	0	5	1	27	16	12	7	30	3	8	8	7	76	6	6	0	91	9	19	16	3	57	101	94	98
hsa-let-7a-1-5p:Novel	1	5	5	1	1	3	2	6	5	38	0	6	1	18	1	51	3	24	3	15	0	3	12	0	5	0	4	4	52	5	6	37	4	4	10	5	8	5	17	4	14	0	0	6	0	6	8	2	1	3	9	1	3	0	4	0	8	1	1	0	0	5	5	0	2	1	0	1	0	0	3	0	0	2	2	3	6	0	20	8	1	1	0	6	0	0	0	2	2	5	4	1	4	9	1	2	5	1	1	4	2	23	25	1	0	5	1	2	0	0	6	0	1	1	1	3	1	4	0	91	120	42	14
hsa-let-7a-2-3p:mirBase	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	3	1	5	2	2	0	0	0	3	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	2	0	3	1	0	0	0	0	0	0	1	1	0	0	4	6	4	13
hsa-let-7a-2-5p:Novel	1	1	3	0	1	0	4	3	2	4	0	2	1	4	7	1	0	37	2	1	1	2	3	0	6	5	2	2	9	21	3	2	1	5	15	1	4	1	7	1	6	0	0	3	4	0	2	1	0	3	3	3	1	2	0	2	11	0	3	1	0	2	4	0	23	0	0	2	0	4	4	0	2	1	7	5	4	0	4	6	5	0	0	7	0	1	0	1	0	2	5	1	31	2	0	1	1	0	0	0	1	3	6	7	19	4	0	3	1	2	63	0	0	0	4	0	2	1	1	10	51	42	70
hsa-let-7a-3-3p:Novel	5	5	13	2	34	6	10	6	12	8	2	12	0	36	1	6	1	43	9	10	5	2	25	0	10	9	15	11	42	29	7	5	4	12	12	29	21	6	51	5	16	18	0	9	2	4	3	5	0	20	32	43	5	1	38	6	32	3	7	2	1	3	5	1	78	2	0	8	0	6	15	1	2	7	18	2	13	6	28	9	15	1	4	4	2	0	1	6	6	10	7	27	16	14	3	24	1	0	0	5	0	49	7	8	7	14	2	10	2	9	81	2	5	2	71	9	2	14	1	42	26	34	34
hsa-let-7a-3-5p:Novel	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	5	2	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	7	2	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	12	2	5	3
hsa-let-7b-3p:mirBase	0	1	1	0	1	0	0	8	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	1	2	0	1	2	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
hsa-let-7b-5p:mirBase	9	12	50	3	15	5	6	25	35	47	2	33	2	48	6	6	2	29	34	41	8	11	42	1	14	27	8	25	50	31	17	32	10	24	26	81	16	21	120	5	13	65	2	19	2	12	3	10	5	21	72	166	10	6	89	13	70	5	18	13	0	7	5	1	107	3	0	5	0	7	29	1	3	4	31	9	47	6	46	17	29	2	4	10	2	1	3	18	5	29	11	40	34	8	5	28	4	0	4	8	1	66	28	22	5	27	3	13	10	1	164	10	8	11	125	13	6	48	0	60	42	56	22
hsa-let-7c-3p:mirBase	2	1	1	0	4	4	0	1	0	0	1	0	0	1	1	1	0	3	1	0	0	1	0	0	7	0	1	3	5	0	1	0	0	0	1	0	2	2	5	0	0	0	0	5	2	2	0	1	0	1	8	0	0	1	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	3	5	0	0	1	0	0	0	0	3	1	7	1	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	5	72	148	80
hsa-let-7c-5p:mirBase	3	7	10	1	23	1	8	0	0	2	0	2	0	41	8	0	1	16	10	1	1	1	3	0	3	2	5	9	24	6	2	5	0	9	3	10	25	3	8	1	17	3	1	3	2	1	1	3	0	4	20	25	3	1	7	2	17	1	2	2	1	2	9	0	39	1	0	9	0	2	4	1	0	0	3	6	7	0	4	6	7	0	0	0	0	1	0	1	1	1	4	8	3	5	1	3	1	3	1	1	1	10	5	10	0	4	1	8	0	2	16	1	0	2	11	2	1	12	1	39	10	19	23
