Cii_001	Cii_002	Cii_003	Cii_005	Cii_007	Cii_016	Cii_017	Cii_024	CMa_011	CMa_007	CMa_005	CMa_004	CMa_003	CMa_002	CMa_001	Cii_004	Cii_006	Cii_009	Cii_030	Cii_031	Cii_010	Cii_012	Cii_013	Cii_015	Cii_018	Cii_019	Cii_022	Cii_025	Cii_027	Cii_032	Cii_034	Cii_033	Cii_023	Cii_029	Cii_020	VOV002	VOV003	VOV004	VOV006	VOV007	VOV008	VOV009	VOV010	VOV011	VOV012	VOV013	VOV014	VOV015	VOV018	VOV019	VOV020	VOV021	VOV023	VOV024	VOV025	VOV026	VOV028	VOV029	VOV032	VOV033	VOV034	VOV035	VOV036	VOV037	VOV038	VOV039	VOV040	VOV041	VOV042	VOV043	VOV044	VOV045	VOV046	VOV047	VOV048	VOV050	VOV051	VOV052	VOV053	VOV054	VOV055	VOV056	VOV057	VOV058	VOV059	VOV060	VOV061	VOV062	VOV063	VOV064	VOV065	VOV067	VOV068	VOV069	VOV070	VOV071	VOV072	VOV073	VOV074	VOV075	VOV077	VOV078	VOV079	VOV080	VOV081	VOV082	VOV084	VOV085	VOV087	VOV088	VOV090	VOV091	VOV092	VOV094	VOV095	VOV096	VOV097	VOV098	VOV100	VOV101	VOV102	VOV104	VOV105	VOV106	VOV107	VOV108	VOV109	VOV110	VOV111	VOV112	VOV113	VOV114	VOV115	VOV116	VOV117	VOV119	VOV121	VOV122	VOV123	VOV124	VOV125	VOV126	VOV127	VOV129	VOV130	VOV131	VOV132	VOV133	VOV134	VOV135	VOV136	VOV137	VOV139	VOV140	VOV141	VOV142	VOV144	GF001	GF003	GF004	GF006	GF011	GF019	VF010	VF335	VF337	VF040	VF006	VF005	VF001	VF048	VF326	VF031	VF063	VF213	VF023	VF293	VF014	VF298	VF305	VF117	VF351	VF012	VF370	VF290	VF339	VF287	VF268	VF018	VF019	VF259	VF112	VF111	VF110	VF168	VF164	VF170	VF152	VF140	VF279	VF257	VF255	VF254	VF082	VF074	VF365	VF076	VF075	VF190	VF013	VF306	VF081	VF078	VF189	VF261	VF262	VF185	VF104	VF180	VF210	VF212	VF265	VF028	VF039	VF094	VF203	VF206	VF092	VF091	VF099	VF128	VF125	VF124
has-miR-548o	1	1	5	0	3	1	1	0	3	0	1	0	0	2	2	1	3	0	0	1	0	2	0	1	1	2	3	4	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	10	2	1	0	0	0	0	1	1	0	0	5	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	1	2	0	5	0	0	2	0	0	2	0
has-miR-548x	0	3	4	0	4	0	4	247	18	1	10	0	0	4	0	0	0	2	1	1	0	0	0	4	0	1	1	2	0	0	2	2	2	1	2	0	2	1	0	0	0	3	20	1	19	32	0	0	0	0	0	0	0	1	0	1	0	0	4	1	4	0	0	1	0	0	1	0	0	0	0	2	0	0	0	17	0	0	0	1	0	0	0	2	0	0	24	0	7	1	0	0	0	2	0	0	0	1	2	0	2	1	1	2	2	6	0	0	2	0	3	1	1	12	0	0	0	0	0	2	0	0	50	0	2	0	3	0	2	3	0	0	5	1	4	2	11	0	4	2	1	0	0	0	1	10	6	2	0	0	2	0	2	0	32	1	55	11	3	0	0	0	0	5	1	0	7	0	22	5	4	0	0	0	0	0	0	0	0	0	2	1	4	0	1	0	3	1	0	0	0	2	2	1	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0	3	2	11	0	0	0
hsa-let-7a-2-3p	1	1	0	4	6	0	0	3	22	2	27	5	0	1	4	0	2	0	2	1	0	0	0	1	2	1	3	1	1	3	0	4	1	18	2	0	0	1	0	2	0	4	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	6	0	0	2	0	0	3	0	1	5	2	2	0	0	0	3	0	1	1	4	13	4	0	0	1	0	0	1	0	0	0	0	9	5	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	1	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	0	0	0	0	3
hsa-let-7a-3p	14	66	146	149	28	44	86	51	457	38	188	70	23	84	84	28	57	56	19	53	18	5	47	12	31	8	16	27	3	120	30	38	26	68	28	9	40	9	4	44	11	99	27	75	44	23	3	46	77	10	3	90	9	117	5	13	4	12	20	4	145	6	0	14	0	32	34	5	2	12	38	10	35	7	61	77	26	4	7	11	4	3	3	9	8	25	13	2	90	44	27	4	40	9	0	10	1	76	23	20	85	14	10	5	18	18	10	16	157	8	2	10	26	162	18	21	30	4	30	6	22	2	59	7	10	3	54	19	7	11	42	0	22	17	26	37	127	54	11	11	14	36	33	56	12	93	9	38	30	2	17	7	8	7	19	128	132	110	28	18	286	1	29	30	38	12	34	2	47	70	38	515	5	3571	0	83	5	111	65	23	6	36	9	23	20	1206	17	18	69	17	136	38	11	24	4	20	0	145	11	29	3	7	1	1	0	11	23	16	295	50	11	8	1791	12	39	2	37	11	19	0	1166	14	37	437	30	96	1	70	98	33	1	4347	2483
hsa-let-7a-5p	8	20	34	67	15	3	24	50	116	14	162	59	10	26	16	60	78	8	20	90	5	4	29	8	11	6	17	27	4	9	22	31	10	51	133	7	4	2	1	10	1	113	5	61	17	7	1	8	5	4	4	6	2	19	1	4	1	0	9	0	26	1	0	4	0	8	9	0	2	3	9	8	11	0	31	16	6	1	0	13	0	1	0	3	2	7	9	1	3	36	14	1	3	7	1	4	3	29	31	8	2	19	3	1	6	6	1	2	69	0	1	10	10	5	3	3	7	1	42	0	8	2	22	8	52	3	62	16	1	6	15	0	11	5	6	6	173	26	9	39	5	10	27	7	8	25	5	20	0	0	9	4	6	11	4	89	87	26	12	4	12	11	2	31	1	7	23	0	22	68	17	17	2	3	0	4	1	5	13	5	4	5	1	2	1	6	9	8	8	46	10	5	2	1	2	4	1	0	33	9	4	7	0	3	1	2	87	3	5	19	25	4	7	1	2	1	14	0	50	0	13	5	32	274	4	8	1	41	9	2	11	59	7
hsa-let-7b-3p	0	1	0	1	0	0	0	0	2	0	3	0	0	1	1	0	5	0	6	0	3	0	0	0	0	2	4	0	0	3	6	15	0	0	2	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	1	0	1	2	0	1	1	1	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	2	0
hsa-let-7b-5p	19	48	59	61	7	7	65	35	8	15	62	34	17	65	18	11	12	34	21	38	12	9	31	4	21	3	6	12	3	101	3	15	24	19	22	7	7	9	0	27	8	60	34	50	16	12	5	21	166	10	6	89	13	70	5	18	13	0	5	1	107	3	0	5	0	50	29	1	3	4	31	9	47	6	46	17	29	2	4	10	2	1	3	18	5	29	11	3	40	34	8	5	28	4	4	8	1	66	28	22	15	5	5	3	6	13	10	1	164	10	11	25	35	125	13	6	48	0	47	2	33	2	48	6	6	2	29	41	8	11	42	1	14	27	8	25	42	31	17	32	10	24	26	81	21	120	5	13	65	2	19	2	12	3	10	56	22	35	7	10	237	4	3	12	21	11	34	5	117	37	6	394	0	1911	0	24	9	53	42	21	2	24	2	19	12	669	26	10	37	26	118	38	1	18	1	49	0	197	5	14	6	8	2	2	7	12	34	18	285	45	4	3	1910	4	56	2	40	3	16	0	636	7	12	340	4	66	2	54	95	10	0	2707	1190
hsa-let-7c-3p	11	10	57	25	8	24	24	15	12	13	4	38	1	12	19	2	17	117	22	25	5	2	11	3	7	31	8	24	15	32	89	8	38	17	116	0	3	2	1	2	0	5	1	5	2	1	0	1	0	0	1	1	0	1	0	0	0	0	0	3	1	0	0	0	0	1	5	0	0	1	0	0	0	0	3	1	7	1	0	1	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	1	1	0	3	0	0	1	0	0	7	0	1	3	72	0	1	0	0	0	1	0	2	5	0	0	0	0	5	2	2	0	1	148	80	7	7	3	1	0	1	0	1	0	0	0	5	4	1	3	5	6	0	3	0	2	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	2	1	0	0	0	0	0	6	0	0	0	0	2	0	1	1	9	0	0	2	0	0	1	0
hsa-let-7c-5p	4	24	21	12	0	6	3	14	29	5	28	4	2	19	6	7	8	14	4	9	2	2	5	3	0	8	1	5	0	10	10	8	5	17	5	2	2	3	3	4	0	39	10	24	25	7	0	4	25	3	1	7	2	17	1	2	2	1	9	0	39	1	0	9	0	10	4	1	0	0	3	6	7	0	4	6	7	0	0	0	0	1	0	1	1	1	4	1	8	3	5	1	3	1	1	1	1	10	5	10	23	0	1	1	8	8	0	2	16	1	2	0	0	11	2	1	12	1	2	0	2	0	41	8	0	1	16	1	1	1	3	0	3	2	5	9	10	6	2	5	0	9	3	10	3	8	1	17	3	1	3	2	1	1	3	19	23	40	10	5	16	1	3	16	4	1	11	3	11	20	4	28	2	152	0	2	3	7	8	8	0	1	5	0	3	52	0	2	8	1	6	8	3	0	1	2	0	16	3	5	0	4	0	0	0	3	2	6	70	7	6	0	29	0	3	0	7	2	2	1	42	3	19	140	4	3	0	2	11	12	1	151	58
hsa-let-7d-3p	2	39	6	8	0	2	10	2	15	9	30	2	2	4	2	4	28	6	7	2	2	0	4	2	2	1	2	7	2	4	5	9	2	6	2	0	0	0	0	7	0	5	3	1	2	2	1	0	11	1	1	4	1	2	0	6	3	0	8	1	9	2	0	1	0	4	1	0	0	1	1	9	4	0	1	1	2	0	0	1	1	1	0	3	6	7	1	0	2	22	24	0	24	0	0	0	0	14	0	7	1	1	5	0	1	1	0	0	4	1	0	5	3	1	0	0	2	2	0	0	4	1	173	2	1	7	5	1	5	1	3	0	1	7	0	1	8	0	0	9	0	2	11	2	7	5	5	1	2	1	5	0	1	2	2	45	17	5	2	0	1	0	0	2	0	3	0	0	0	25	1	7	0	18	0	1	0	0	1	0	1	3	1	0	0	1	1	0	6	5	1	2	0	0	0	3	1	10	24	0	0	0	1	3	0	0	6	0	10	4	0	0	18	0	3	0	0	3	0	0	26	5	0	7	0	0	0	23	1	0	0	4	9
