miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-1281-5p:Novel 322.245891083263 3.0148506935065 0.520874112528131 5.78806014926241 7.1203916292464e-09 1.96665216799786e-05 HD_NC
hsa-miR-8053 19.6601009929554 -1.37715166764437 0.252330757055719 -5.4577241542547 4.82276117968575e-08 4.44015545943068e-05 HD_NC
hsa-miR-6717-5p 59.5854223345004 -1.13348928452574 0.22042553502369 -5.14227756962875 2.7142770258586e-07 0.000149936662908429 HD_NC
hsa-miR-1231 21.5733284513886 -1.07797344600271 0.2188263525775 -4.92615918195197 8.38616874660792e-07 0.000330894258259015 HD_NC
hsa-miR-572 25.5103341421202 -1.16226656067005 0.241120153886552 -4.82027960722396 1.43357152784356e-06 0.00048124305718424 HD_NC
hsa-miR-23c 85.2412260019957 2.14374203904555 0.455938539494644 4.70182240225107 2.57849729902035e-06 0.00121304541603926 LD_NC
hsa-miR-633-5p:Novel 31.5402653228383 2.24190418359398 0.477191512890895 4.69812250015136 2.6256394286564e-06 0.00121304541603926 LD_NC
hsa-miR-1281 63.3966099236399 1.90221457733784 0.429714703609327 4.42669185243247 9.56892762488378e-06 0.00176195853999527 HD_NC
hsa-miR-3680-3p 21.4958746254428 -1.34578680090787 0.307802521615498 -4.37224098699558 1.22977672533344e-05 0.00193968663380004 HD_NC
hsa-miR-622 57.1401355662057 -1.32946335724885 0.303357489304004 -4.38249723222277 1.17326657011364e-05 0.00193968663380004 HD_NC
hsa-miR-4737 15.5461711158853 -1.22787800936707 0.288026472596892 -4.26307345396529 2.01634200145916e-05 0.00254571011345459 HD_NC
hsa-miR-4767 21.656110037506 -1.25652478694676 0.294400499602141 -4.26807966917464 1.97162916857879e-05 0.00254571011345459 HD_NC
hsa-miR-5189-3p 69.4199499285261 -1.16724081718301 0.274011102908208 -4.25983036743599 2.04582108406468e-05 0.00270048383096537 LD_NC
hsa-miR-320e 16.0666058186303 -1.02881074742593 0.248575350927585 -4.13882850245133 3.49083765501081e-05 0.00349194848452255 HD_NC
hsa-miR-7113-5p 387.620180682699 -1.11085019848748 0.268329093266968 -4.13987982056892 3.47487817285504e-05 0.00356754159079784 LD_NC
hsa-miR-4263 21.6995159801437 -1.14974302032713 0.282502093858954 -4.06985663228807 4.70420775551907e-05 0.00406031931898239 HD_NC
hsa-miR-638 52.4910103342433 -1.32372354862799 0.327257397961903 -4.04490030438391 5.23453948849691e-05 0.00438115092946317 HD_NC
hsa-miR-200a-3p 88.9301496559487 -1.25074792265853 0.311492651386987 -4.01533685333926 5.93609500652805e-05 0.00455430400223068 HD_NC
hsa-miR-645 375.45231844089 -1.23185867517077 0.30543061975541 -4.0331865749323 5.50255565978164e-05 0.00462214675421657 LD_NC
hsa-miR-6724-5p 25.5871620008065 -0.962473081659623 0.240983284648396 -3.99394125224871 6.49839712202982e-05 0.00470122671019094 HD_NC
hsa-miR-638-3p:Novel 88.3228487450431 -0.981216455512779 0.248531210218861 -3.94806131048372 7.8786629699612e-05 0.00506066677279834 HD_NC
hsa-miR-4674 74.7296885359825 -1.00064562696981 0.254468877132224 -3.93229080996758 8.41401903758635e-05 0.00516433790706966 HD_NC
hsa-miR-199a-3p, hsa-miR-199b-3p 36.5834305116472 -0.815114200278591 0.217639941996858 -3.74524176398815 0.000180220139813494 0.008121488214254 HD_NC
hsa-miR-4698 62.3178029379821 -1.106989144229 0.293509004913374 -3.77156791000575 0.000162224993845676 0.008121488214254 HD_NC
hsa-miR-6717-3p:Novel 75.1624404071771 -0.778123856756088 0.209089190276869 -3.72149251582887 0.000198048736613379 0.00828803955342657 HD_NC
hsa-miR-25-3p 34.4741646458865 -1.52894881779558 0.412117839344731 -3.70997969956023 0.000207275867137718 0.00854471559752803 HD_NC
hsa-miR-4504 16.6001269735979 -0.868387082197808 0.235703332083752 -3.68423761565342 0.000229388180603241 0.00879958548369655 HD_NC
hsa-miR-137-3p 82.9465517849686 -1.02815891271723 0.281675382820187 -3.65015537539386 0.000262081726420618 0.00952471614488616 HD_NC
hsa-miR-9901-3p:Novel 70.8643918977782 -0.964305746021433 0.266893962583548 -3.61306691499089 0.000302596573082467 0.0104471466856722 HD_NC
hsa-miR-10a-5p 60.1605306976451 -1.29139539609339 0.359364483553747 -3.59355321739869 0.000326198987065619 0.0109873366131127 HD_NC
hsa-miR-6784-5p 18.4560433875162 -1.05095870165992 0.296100182563068 -3.5493348655267 0.000386205611722287 0.012260918385942 HD_NC
hsa-miR-3169-3p:Novel 23.0637721181966 -1.03619639522255 0.295901796695124 -3.50182529067296 0.000462082515294957 0.0140249660136777 HD_NC
hsa-miR-1229-5p 42.3642217135813 -0.932901476971282 0.267573033918732 -3.48653025048341 0.000489330038986211 0.0144049249847556 HD_NC
hsa-miR-3169 94.860499469819 -0.838516418156841 0.240536249359231 -3.48602932152879 0.000490247265954754 0.0144049249847556 HD_NC
hsa-miR-92a-3p 64.2895540428629 -1.06425236576515 0.305835237370193 -3.47982258328507 0.000501745928327875 0.0144356484795999 HD_NC
hsa-miR-2113-5p:Novel 26.2591531501483 -1.15184227879222 0.31031207711909 -3.71188349962343 0.00020572267678347 0.0146221348729174 LD_NC
hsa-let-7i-5p 389.310207941621 -1.32372037331478 0.3813576373093 -3.47107345916656 0.000518382167219532 0.0146486664839976 HD_NC
hsa-miR-194-3p 131.235538653922 -0.990210810569603 0.28876496123205 -3.42912383256179 0.00060553317942862 0.015663275234673 HD_NC
hsa-miR-6090-5p:Novel 18.9679905843523 -1.0244087938089 0.29820800335585 -3.43521562895976 0.000592082507297454 0.015663275234673 HD_NC
hsa-miR-1202-3p:Novel 40.7198207154566 -1.06220772138817 0.311340927490588 -3.41171888305717 0.000645546501736996 0.0162090857981598 HD_NC
hsa-miR-192-5p 1159.33270247596 -1.23251846875509 0.361136304892175 -3.41288995888433 0.000642778912469919 0.0162090857981598 HD_NC
hsa-miR-92a-2-5p 17.1002546413002 -1.41030526822862 0.417911517488876 -3.37465039657865 0.000739095181454905 0.0180583206223706 HD_NC
hsa-miR-6860 29.929790659701 -0.804962316846636 0.241117241289115 -3.33846850827825 0.000842415786427878 0.0190717410009328 HD_NC
hsa-miR-3907-5p:Novel 36.7885835102924 -0.710801681424981 0.214240061667231 -3.31778135187916 0.000907354818607364 0.0198897937221709 HD_NC
hsa-miR-92b-5p 19.7530672238701 -0.843916870727846 0.23460153899152 -3.5972350154035 0.000321617871884438 0.0212267795443729 LD_NC
hsa-miR-1827 21.254707762468 -1.56521753248914 0.440917024828109 -3.5499140299682 0.000385356972904382 0.0219697998607906 LD_NC
hsa-miR-548aa, hsa-miR-548t-3p 66.6787085898312 1.20574859276706 0.340864793559312 3.53732217450981 0.000404206274495066 0.0219697998607906 LD_NC
hsa-miR-320d-1-5p:Novel 24.6524457214323 -0.705407413397265 0.216461208490865 -3.25881675666167 0.00111877904861333 0.0222307031098563 HD_NC
hsa-miR-21-5p 320.318767078528 -1.1110619492374 0.341255493462065 -3.25580677974028 0.00113070670760203 0.0223072280456914 HD_NC
hsa-miR-1204 16.4546838269697 1.35542395279936 0.386467101642837 3.50721690678863 0.000452819879037566 0.0232447537905951 LD_NC
hsa-miR-30d-5p 45.6476519081401 -1.09092222734841 0.341149748715371 -3.19778112531629 0.0013848935031298 0.0248381549067826 HD_NC
hsa-miR-6829-5p 26.9188202158314 -0.897968207349408 0.280712614728153 -3.19888797380558 0.00137958765713631 0.0248381549067826 HD_NC
hsa-miR-4506 21.7572324808696 -1.00181708557071 0.31514932831791 -3.17886473348315 0.00147853071434487 0.0261372321226344 HD_NC
hsa-miR-650-3p:Novel 20.1326395866808 -1.10364408597016 0.347335392473501 -3.1774593372438 0.00148571522203244 0.0261372321226344 HD_NC
hsa-miR-6846-5p 28.2036537066571 1.18492186532638 0.374690108476372 3.1624049808646 0.00156471790649239 0.0271808230046036 HD_NC
