miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-486-3p 125.251977195888 5.54241115535894 1.20897803140556 4.58437706176954 4.55341897511584e-06 0.0010928205540278 1_0
hsa-let-7a-3p 583.950201698795 3.65196829998753 0.825460127520749 4.42416075377999 9.68179107054919e-06 0.0011618149284659 1_0
hsa-miR-194-3p 135.134865061383 2.66272464515669 0.660703434582241 4.03013592148241 5.57446093500052e-05 0.00445956874800041 1_0
hsa-miR-1281 187.781182245179 4.71981021806089 1.20681778804595 3.91095512911117 9.1931851748609e-05 0.00490591913021882 1_0
hsa-miR-6740-3p 85.50042466051 -9.34286925191385 2.40467574300952 -3.88529275894012 0.000102206648546225 0.00490591913021882 1_0
hsa-miR-191-5p 47.1116493923626 3.28741330856948 0.865064371195529 3.80019501210788 0.000144582263659879 0.00578329054639516 1_0
hsa-miR-622 70.5494759627838 2.51356948207536 0.674656350505257 3.72570343433798 0.000194771294454675 0.00667787295273172 1_0
hsa-miR-4505 144.835727959843 2.33584386425484 0.634912104344474 3.67900351603239 0.000234147040389694 0.00702441121169083 1_0
hsa-miR-4684-3p 42.3950830287443 2.56620416120215 0.72183078349042 3.55513261542163 0.000377788490953319 0.00906692378287965 1_0
hsa-miR-6127-3p:Novel 43.2762224503997 -2.83712222760408 0.797942870490102 -3.55554555661548 0.000377195575866736 0.00906692378287965 1_0
hsa-let-7b-5p 344.024310295983 2.67474935285583 0.780940669125711 3.42503529218206 0.000614719562418111 0.00998178370932945 1_0
hsa-let-7d-5p 66.5615987374315 2.99476698221047 0.862345822664787 3.47281439012038 0.000515031404439376 0.00998178370932945 1_0
hsa-miR-215-5p 429.612579692963 3.05519232549894 0.889518947533251 3.43465682655931 0.000593304656886501 0.00998178370932945 1_0
hsa-miR-4659b-5p 65.4217543475742 -4.86727986229028 1.39548355267062 -3.48788049345007 0.000486865638240926 0.00998178370932945 1_0
hsa-miR-486-5p 43.675321950034 3.70251222677621 1.08228230608879 3.42102259821336 0.000623861481833091 0.00998178370932945 1_0
hsa-miR-26b-5p 43.7253408453099 3.84287431882735 1.14216159359301 3.36456272070789 0.000766650570227221 0.0114997585534083 1_0
hsa-let-7i-5p 427.131075852879 3.09406062682783 0.966951601938816 3.19980919481801 0.0013751859463981 0.0194143898315026 1_0
hsa-miR-7113-5p 483.216689252868 2.2914143841287 0.724124883988566 3.16439116345142 0.00155407773901926 0.0207210365202568 1_0
hsa-miR-200a-3p 88.9898719841825 2.22762846642635 0.716360134998561 3.10964884503355 0.00187309882940028 0.0236601957397931 1_0
hsa-miR-200c-3p 191.706713103164 2.4895980241084 0.816923608911166 3.04752855340618 0.00230731604269993 0.0276877925123991 1_0
hsa-let-7g-5p 377.403740792986 2.69093322038592 0.897593913310614 2.99794058368878 0.00271810659742913 0.0310640753991901 1_0
hsa-miR-11399-3p:Novel 253.732787418965 -2.03741832565115 0.721110903673731 -2.82538832136836 0.00472233466582534 0.0475095813070258 1_0
hsa-miR-200b-3p 181.301677158261 2.15826379734444 0.763813436248503 2.82564261758059 0.00471858772544096 0.0475095813070258 1_0
hsa-miR-378i 202.590666603656 -3.00376542311537 1.06882623972467 -2.81034026998545 0.00494891471948185 0.0475095813070258 1_0
hsa-miR-451a-3p:Novel 433.92236801476 5.99661047503488 2.13011108189172 2.81516326825049 0.00487524586220584 0.0475095813070258 1_0
hsa-miR-6081 200.35961065255 -2.10419500401896 0.754139474467004 -2.79019342609817 0.00526765610225812 0.0486245178669981 1_0
hsa-miR-197-5p 64.7124023100314 -1.47980198114196 0.532906298713775 -2.77685211211354 0.00548881468265659 0.0487894638458364 1_0
hsa-miR-1272 75.0135267141539 1.60318420702176 0.580632463261941 2.76109984966258 0.00576070612227783 0.0493774810480957 1_0
