miRNA baseMean log2FoldChange lfcSE stat pvalue padj comparison
hsa-miR-6728-5p 268.071360665787 -1.01387883350166 0.234365229016821 -4.32606337448159 1.51797766006274e-05 0.00542665153439187 1_0
hsa-miR-8075-5p:Novel 39.8855044323202 -1.41802824126647 0.310301804788418 -4.56983562255904 4.88106904650489e-06 0.00542665153439187 1_0
hsa-miR-8075 41.0717461795638 -1.29637196960893 0.308006470815856 -4.20891147570721 2.56603890176783e-05 0.00784108172983054 1_0
hsa-miR-12118 24.4349586579668 -1.62431007748447 0.390461046405976 -4.15997983008942 3.18275700376448e-05 0.00833081159919469 1_0
hsa-miR-9901-3p:Novel 67.8510062085119 -0.945641856817163 0.231929684461058 -4.07727824497576 4.55659527887831e-05 0.0097465573015207 1_0
hsa-miR-4725-3p 16.9445577951061 -1.30171908249193 0.33020907718026 -3.9421056913627 8.07693676626328e-05 0.0157059706754883 1_0
hsa-miR-7845-3p:Novel 28.6424570357231 -0.865283090714564 0.230521676962052 -3.75358665665531 0.000174322229821571 0.0258319528098953 1_0
hsa-miR-1229-5p 40.1824272753433 -0.87695266674454 0.238406803621659 -3.67838775329678 0.000234712944732322 0.0313781867989023 1_0
hsa-miR-6768-5p 32.2063090232945 -0.864973227005924 0.236339297136487 -3.65987898536567 0.000252334387991011 0.0317496032889866 1_0
hsa-miR-425-3p 36.8245187006809 -0.892033045484661 0.248383820303249 -3.59134924487267 0.000328970448674464 0.035183389485734 1_0
hsa-miR-4466-3p:Novel 64.8082921554768 -0.826356542008796 0.229149599574041 -3.60618802539862 0.000310728026253147 0.035183389485734 1_0
hsa-miR-1181-3p:Novel 98.6038519157755 -0.703390623325448 0.202196433579171 -3.47874891200805 0.000503760353093591 0.0450459794455288 1_0
