miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-548o	-0.105	0.038	0.368903581267218	-0.088	0.089	0.670162393162393
hsa-miR-548x	0.046	0.346	0.735850331925166	-0.044	0.367	0.876224932249323
hsa-let-7a-2-3p	-0.08	0.109	0.498851948051948	0.059	0.239	0.8173536121673
hsa-let-7a-3p	-0.034	0.45	0.7929	-0.076	0.09	0.672293501048218
hsa-let-7a-5p	-0.02	0.649	0.883382000772499	-0.029	0.528	0.919682289097188
hsa-let-7b-3p	-0.028	0.581	0.85488267223382	0.035	0.496	0.911315954118874
hsa-let-7b-5p	-0.029	0.517	0.827012256014526	-0.078	0.084	0.662228187919463
hsa-let-7c-3p	-0.078	0.104	0.493929919137466	0.011	0.823	0.977468337730871
hsa-let-7c-5p	0.038	0.396	0.771849557522124	-0.068	0.136	0.739604938271605
hsa-let-7d-3p	-0.068	0.142	0.536342979635584	-0.094	0.044	0.587333333333333
hsa-let-7d-5p	0.064	0.152	0.544911495422177	0.013	0.78	0.972520461699895
hsa-let-7e-3p	-0.032	0.544	0.838974179431072	-0.036	0.503	0.913159897172237
hsa-let-7e-5p	0.082	0.071	0.446618055555556	-0.061	0.182	0.76752224824356
hsa-let-7f-1-3p	-0.075	0.158	0.55182556987116	0.006	0.913	0.988057545148454
hsa-let-7f-2-3p	-0.029	0.559	0.847448866067608	0.041	0.419	0.898106796116505
hsa-let-7f-5p	-0.111	0.018	0.288327272727273	0.012	0.809	0.976617064846417
hsa-let-7g-3p	-0.136	0.005	0.183541666666667	-0.018	0.718	0.95819932305378
hsa-let-7g-5p	-0.065	0.144	0.538700636942675	-0.085	0.06	0.646605504587156
hsa-let-7i-3p	-0.08	0.116	0.505920792079208	-0.048	0.349	0.870804628999319
hsa-let-7i-5p	-0.037	0.405	0.774820846905538	-0.032	0.478	0.907443917851501
hsa-miR-1-2-5p:Novel	-0.011	0.804	0.941294352159469	-0.018	0.697	0.950920634920635
hsa-miR-1-3p	0.024	0.604	0.864188388144539	0.086	0.065	0.647062146892655
hsa-miR-1-5p	-0.088	0.049	0.38890990990991	-0.11	0.015	0.42288
hsa-miR-100-3p	-0.008	0.884	0.964164654905602	0.032	0.541	0.922343492985003
hsa-miR-100-5p	0.095	0.046	0.387808612440191	0.018	0.708	0.955820964039786
hsa-miR-101-2-5p	0.042	0.378	0.761891614375357	0.049	0.31	0.848167701863354
hsa-miR-101-3p	0.019	0.666	0.890681318681319	0.024	0.593	0.934429393536963
hsa-miR-101-5p	0.026	0.571	0.851186125211506	0.007	0.886	0.988057545148454
hsa-miR-10226	-0.097	0.035	0.360643274853801	-0.013	0.778	0.972520461699895
hsa-miR-10226-3p:Novel	-0.019	0.669	0.891662632375189	0.024	0.596	0.934429393536963
hsa-miR-10392-3p	-0.024	0.609	0.866767366720517	-0.053	0.276	0.836154351395731
hsa-miR-10392-5p	0.071	0.108	0.496208604954368	0.082	0.07	0.657813333333333
hsa-miR-10393-3p	-0.089	0.086	0.472798751950078	0.011	0.837	0.977468337730871
hsa-miR-10393-5p	-0.071	0.18	0.579287671232877	-0.007	0.895	0.988057545148454
hsa-miR-10394-3p	-0.007	0.881	0.962877323420074	-0.049	0.3	0.84498427672956
hsa-miR-10394-5p	-0.066	0.192	0.584859309182814	-0.068	0.184	0.76752224824356
hsa-miR-10395-3p	0.003	0.951	0.988591150442478	-0.013	0.798	0.975240855762595
hsa-miR-10395-5p	-0.109	0.018	0.288327272727273	-0.079	0.091	0.672293501048218
hsa-miR-10396a-3p	-0.036	0.441	0.790230303030303	-0.021	0.662	0.944106839336301
hsa-miR-10396a-5p	-0.01	0.832	0.948251908396947	0.031	0.502	0.913159897172237
hsa-miR-10396b-3p	-0.03	0.517	0.827012256014526	-0.062	0.194	0.772980877390326
hsa-miR-10396b-5p	-0.026	0.566	0.848398128455976	0.022	0.632	0.939634372367313
hsa-miR-10397-3p	-0.046	0.3	0.693245901639344	-0.103	0.023	0.488265060240964
hsa-miR-10397-5p	-0.056	0.232	0.630353122590594	-0.138	0.004	0.265962264150943
hsa-miR-10398-3p	0.032	0.498	0.818331344653511	-0.001	0.986	0.999
hsa-miR-10398-5p	-0.116	0.019	0.288603448275862	0.036	0.468	0.905897826086956
hsa-miR-10399-3p	-0.014	0.786	0.935858633456749	-0.028	0.59	0.93403414195867
hsa-miR-10399-5p	0.02	0.696	0.904056026538887	0.017	0.746	0.965089574155653
hsa-miR-103a-1-5p	-0.025	0.621	0.872943141153081	0.088	0.085	0.667126948775056
hsa-miR-103a-2-5p	-0.03	0.56	0.847448866067608	-0.019	0.709	0.955820964039786
hsa-miR-103a-3p	-0.014	0.757	0.924347886347886	0.084	0.072	0.662228187919463
hsa-miR-103b-3p:Novel	-0.024	0.599	0.861933850551245	-0.039	0.403	0.890948557089084
hsa-miR-103b-5p	-0.037	0.483	0.815568758984188	-0.052	0.324	0.857401785714286
hsa-miR-10400-3p	0.01	0.835	0.948251908396947	-0.004	0.936	0.98904467766117
hsa-miR-10400-5p	0.034	0.451	0.793868131868132	0.046	0.304	0.84498427672956
hsa-miR-10401-3p	-0.047	0.33	0.725464753587024	-0.046	0.347	0.870340213523132
hsa-miR-10401-5p	-0.07	0.115	0.505920792079208	-0.045	0.321	0.853738867924528
hsa-miR-105-3p	-0.101	0.025	0.318050541516246	-0.077	0.092	0.676843423799582
hsa-miR-105-5p	-0.085	0.063	0.427768786127168	-0.097	0.035	0.571018518518518
