miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-548o	-0.081	0.305	0.687281070745698	-0.137	0.09	0.786997518610422
hsa-miR-548x	-0.022	0.773	0.932823529411765	-0.132	0.088	0.779175879396985
hsa-let-7a-2-3p	-0.139	0.069	0.435763440860215	0.035	0.652	0.940887796887797
hsa-let-7a-3p	-0.054	0.433	0.772432323232323	-0.08	0.256	0.844389036251105
hsa-let-7a-5p	-0.072	0.298	0.683247885491217	-0.028	0.693	0.950245914396887
hsa-let-7b-3p	-0.123	0.121	0.52319509202454	-0.05	0.541	0.917019721019721
hsa-let-7b-5p	-0.016	0.821	0.948063760572544	-0.054	0.441	0.897718228867165
hsa-let-7c-3p	-0.155	0.035	0.369281437125749	-0.035	0.645	0.940023016851623
hsa-let-7c-5p	0.071	0.308	0.687392020265991	-0.034	0.636	0.939047539616347
hsa-let-7d-3p	-0.076	0.294	0.681615789473684	-0.02	0.792	0.967635734072022
hsa-let-7d-5p	0.061	0.377	0.740963747908533	0.027	0.709	0.958045627376426
hsa-let-7e-3p	0.003	0.967	0.992054730713246	-0.068	0.421	0.896943374197315
hsa-let-7e-5p	0.089	0.201	0.611701947502117	-0.02	0.779	0.967635734072022
hsa-let-7f-1-3p	-0.078	0.339	0.71321552238806	0.041	0.625	0.939034424139396
hsa-let-7f-2-3p	-0.064	0.404	0.752084521922874	-0.001	0.987	0.996329991406474
hsa-let-7f-5p	-0.103	0.16	0.58025702811245	-0.035	0.64	0.939341940857976
hsa-let-7g-3p	-0.281	0	0	-0.104	0.173	0.809630810092961
hsa-let-7g-5p	-0.046	0.508	0.815205828779599	-0.054	0.447	0.898352279122116
hsa-let-7i-3p	-0.118	0.129	0.53356338028169	-0.09	0.258	0.844389036251105
hsa-let-7i-5p	-0.013	0.846	0.95401728	-0.05	0.475	0.904292379471229
hsa-miR-1-2-5p:Novel	0.016	0.816	0.946538512179065	-0.038	0.59	0.93101654000894
hsa-miR-1-3p	-0.061	0.391	0.74269247311828	0.093	0.205	0.824257627118644
hsa-miR-1-5p	-0.077	0.263	0.662008571428572	-0.172	0.015	0.549614678899083
hsa-miR-100-3p	-0.101	0.203	0.611701947502117	-0.178	0.029	0.62783908045977
hsa-miR-100-5p	0.1	0.176	0.588447817836812	0.072	0.341	0.872848398576512
hsa-miR-101-2-5p	-0.051	0.502	0.813230769230769	0.03	0.692	0.950245914396887
hsa-miR-101-3p	-0.017	0.81	0.944469266358229	0.055	0.446	0.898352279122116
hsa-miR-101-5p	0.026	0.71	0.901311239193084	-0.061	0.398	0.896943374197315
hsa-miR-10226	-0.128	0.077	0.452246666666667	-0.049	0.507	0.909532635774788
hsa-miR-10226-3p:Novel	-0.008	0.904	0.976907697025452	0.026	0.717	0.958538694992413
hsa-miR-10392-3p	-0.044	0.553	0.835463477146519	-0.11	0.147	0.808864429530201
hsa-miR-10392-5p	0.068	0.321	0.699585696670777	0.004	0.95	0.995550827423168
hsa-miR-10393-3p	-0.249	0.002	0.143836734693878	-0.124	0.13	0.808864429530201
hsa-miR-10393-5p	-0.142	0.082	0.460874003189793	-0.14	0.094	0.792478468899522
hsa-miR-10394-3p	-0.091	0.208	0.615959663865546	-0.061	0.412	0.896943374197315
hsa-miR-10394-5p	-0.017	0.832	0.948549983824005	-0.066	0.408	0.896943374197315
hsa-miR-10395-3p	-0.051	0.503	0.813230769230769	0.039	0.619	0.939025398191993
hsa-miR-10395-5p	-0.067	0.356	0.723443358251869	-0.043	0.558	0.922991207774179
hsa-miR-10396a-3p	-0.038	0.597	0.855562423749492	-0.084	0.256	0.844389036251105
hsa-miR-10396a-5p	0.026	0.708	0.900069264069264	0.061	0.396	0.896943374197315
hsa-miR-10396b-3p	-0.051	0.486	0.805016317016317	-0.084	0.263	0.844389036251105
hsa-miR-10396b-5p	0.012	0.868	0.960688442211055	0.031	0.671	0.945360479041916
hsa-miR-10397-3p	-0.084	0.223	0.630699839486356	-0.111	0.116	0.808864429530201
hsa-miR-10397-5p	-0.049	0.506	0.814592964824121	-0.129	0.086	0.773122448979592
hsa-miR-10398-3p	0.036	0.626	0.868171585989768	0.053	0.488	0.904292379471229
hsa-miR-10398-5p	-0.098	0.202	0.611701947502117	-0.055	0.484	0.904292379471229
hsa-miR-10399-3p	0.027	0.739	0.920169371912491	-0.018	0.824	0.975075889858966
hsa-miR-10399-5p	-0.034	0.664	0.884992447129909	-0.027	0.738	0.965730412179725
