miRNA	kendall_correlation	pvalue
has-miR-548o	-0.105123487472744	0.0439297209225496
has-miR-548x	0.0289693467892939	0.560410139372993
hsa-let-7a-2-3p	-0.053625690320432	0.29392233014545
hsa-let-7a-3p	0.015420023054447	0.730979743429424
hsa-let-7a-5p	0.0111445421606889	0.806359117893097
hsa-let-7b-3p	-0.0269019141165334	0.606861666950477
hsa-let-7b-5p	0.00979420962146751	0.827668007091151
hsa-let-7c-3p	-0.0758167659681776	0.121646379960621
hsa-let-7c-5p	0.0399728626240459	0.387423029286377
hsa-let-7d-3p	-0.0650675369571545	0.17232552843143
hsa-let-7d-5p	0.072996424811361	0.111962400949056
hsa-let-7e-3p	-0.0291055971867182	0.588805951498265
hsa-let-7e-5p	0.0774987762350549	0.0968311543518105
hsa-let-7f-1-3p	-0.0778168997541299	0.147974333445336
hsa-let-7f-2-3p	-0.0263726425895104	0.608517485097944
hsa-let-7f-5p	-0.0835946328235681	0.0845171824831037
hsa-let-7g-3p	-0.13172942820861	0.00724221802515718
hsa-let-7g-5p	-0.0223770264238378	0.621675378365699
hsa-let-7i-3p	-0.085856539519309	0.10273653084412
hsa-let-7i-5p	-0.0013402718195241	0.976339591136687
hsa-miR-1-2-5p:Novel	-0.0257718858126841	0.575294494799713
hsa-miR-1-3p	-0.000796311750404753	0.986815550974377
hsa-miR-1-5p	-0.0589895778375568	0.194176876695382
hsa-miR-100-3p	-0.0116881061534655	0.82465457328105
hsa-miR-100-5p	0.0781923155129331	0.106900320844557
hsa-miR-101-2-5p	0.0330002596602282	0.509851436825518
hsa-miR-101-3p	-0.000930742412812149	0.984255380303419
hsa-miR-101-5p	0.0343757494229096	0.469760160240557
hsa-miR-10226	-0.0521609196884592	0.272317630905571
hsa-miR-10226-3p:Novel	-0.00920160250370385	0.839957753855243
hsa-miR-10392-3p	-0.0306657429829684	0.535179591224406
hsa-miR-10392-5p	0.0633012027028498	0.155901288797401
hsa-miR-10393-3p	-0.0876755832640452	0.100429512012869
hsa-miR-10393-5p	-0.0665765189741261	0.216943274070812
hsa-miR-10394-3p	0.000799545085583427	0.986746490756876
hsa-miR-10394-5p	-0.0608940737773708	0.235713375705983
hsa-miR-10395-3p	-0.00632943756125989	0.900981438796743
hsa-miR-10395-5p	-0.10525395828819	0.0266221221666628
hsa-miR-10396a-3p	-0.0142279613678415	0.7726612194915
hsa-miR-10396a-5p	-0.00412891628303163	0.929284490592553
hsa-miR-10396b-3p	-0.0290678938766444	0.552581203923301
hsa-miR-10396b-5p	-0.00666966874762587	0.888260377338911
hsa-miR-10397-3p	-0.0340456557367378	0.449397789691518
hsa-miR-10397-5p	-0.0328277842618453	0.494234552411326
hsa-miR-10398-3p	0.00949902289067654	0.845732989529227
hsa-miR-10398-5p	-0.114287227321492	0.0248058302710365
hsa-miR-10399-3p	-0.0160705366888213	0.760168702396719
hsa-miR-10399-5p	0.0125419974684718	0.809510998305864
hsa-miR-103a-1-5p	-0.0516876496959631	0.318184133091346
hsa-miR-103a-2-5p	-0.0425919339051246	0.42027833481554
hsa-miR-103a-3p	-0.0370144452230813	0.444000548596941
hsa-miR-103b-3p:Novel	-0.0236788974790593	0.62446390525807
hsa-miR-103b-5p	-0.0437928315433036	0.40951840135594
hsa-miR-10400-3p	0.0270017172355539	0.572749621546373
