miRNA	kendall_correlation	pvalue
has-miR-548o	-0.0991149387315743	0.0725291574851175
has-miR-548x	-0.0545043382877828	0.301452944098618
hsa-let-7a-2-3p	0.100340061836225	0.0638612433074394
hsa-let-7a-3p	0.00511955207309525	0.914187485161716
hsa-let-7a-5p	-0.0107910569568165	0.822682428212403
hsa-let-7b-3p	0.0625073791889395	0.2596032597193
hsa-let-7b-5p	-0.00924449345406738	0.846169584966835
hsa-let-7c-3p	0.015538267740164	0.765184884219881
hsa-let-7c-5p	-0.0123623221400767	0.801063205860405
hsa-let-7d-3p	-0.0745830801540192	0.140227490619646
hsa-let-7d-5p	0.0492968936465428	0.311906723472626
hsa-let-7e-3p	-0.0346447695630609	0.544638175861804
hsa-let-7e-5p	0.016824916148743	0.734038487565309
hsa-let-7f-1-3p	0.0459304142969247	0.420855732168977
hsa-let-7f-2-3p	0.0433624314356299	0.427274987215924
hsa-let-7f-5p	0.0393024203130608	0.44367341317256
hsa-let-7g-3p	-0.0217061332875394	0.67586531776362
hsa-let-7g-5p	-0.0240477231175609	0.61675976589754
hsa-let-7i-3p	-0.0463663480004678	0.40480592801995
hsa-let-7i-5p	0.0325477404696383	0.496608698783457
hsa-miR-1-2-5p:Novel	-0.0155913453801418	0.748680301908955
hsa-miR-1-3p	0.0225385274149523	0.657970596327999
hsa-miR-1-5p	-0.0511891711663432	0.287057647556437
hsa-miR-100-3p	0.00475104121334499	0.93205559254697
hsa-miR-100-5p	0.0358617799267908	0.48601015727379
hsa-miR-101-2-5p	0.020263598233421	0.701428888798055
hsa-miR-101-3p	0.00587049268155143	0.906443647324679
hsa-miR-101-5p	0.024444717126256	0.627903002815056
hsa-miR-10226	0.0373369823641594	0.458275685968146
hsa-miR-10226-3p:Novel	0.0728804451711483	0.131128896708937
hsa-miR-10392-3p	-0.0355550848275991	0.497939023244383
hsa-miR-10392-5p	0.0935068774076719	0.0478016446595514
hsa-miR-10393-3p	-0.0219476964514912	0.697386212278263
hsa-miR-10393-5p	-0.0451225461118689	0.428702018226157
