ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_16	Average16_	Averageformer	Averagenever	Median_16	Median16_	Medianformer	Mediannever
has-miR-548o	0.581102944228438	0.061396458630925	1.04455108850569	0.0587778417987745	0.953129057623641	NA	former_vs__16	NA	0.286227182917278	5.81908359570496	0.330074889156607	0.275387285433927	0	0.195044873353311	0	0
has-miR-548x	1.91458455148291	-0.20945890278764	0.798607979943857	-0.262280002263896	0.793105578391264	NA	former_vs__16	NA	0.842325235805088	0.7387674204809	0.624545555276811	2.70089268890199	0	0	0	0.341764003808895
hsa-let-7a-2-3p	0.510410667426444	-0.348614100560128	0.91695873046502	-0.380185158805713	0.703807975169603	NA	former_vs__16	NA	0.485570656143632	0.345151700142799	0.466709179140522	0.507901106521918	0	0	0	0
hsa-let-7a-3p	721.349463558236	-0.4955716597084	0.502257126575715	-0.986689154790306	0.323795048346528	0.734187728251997	former_vs__16	FALSE	287.093913313612	13536.253666145	175.382100684774	38.4067214166732	15.299270427373	42.6173048276985	12.7248838236511	22.4354893332542
hsa-let-7a-5p	17.9512808805938	-0.377239755991389	0.462399091413161	-0.815831525184203	0.414596499999162	0.776090773469317	former_vs__16	FALSE	12.4158796483478	88.463976949701	9.69974640405309	16.1044690294717	8.72237816077132	7.86256856241561	4.69374038525239	7.85502265793449
hsa-let-7b-3p	0.606591480187684	-0.112983421498092	1.24088949898472	-0.0910503486334068	0.927452584741891	NA	former_vs__16	NA	0.408803324599533	2.67598893984485	0.281621262835796	0.59933149199798	0	0	0	0
hsa-let-7b-5p	436.16149112855	-0.379475203487359	0.534072635296138	-0.710531074629846	0.477374867974785	0.813785494562654	former_vs__16	FALSE	195.443774866578	7731.59088760603	179.636440463499	28.009251892552	11.8530413965532	23.8040366066389	9.76934490570414	15.3430319834603
hsa-let-7c-3p	5.50667541683246	0.575385382042241	0.643739064567725	0.893817718563679	0.371419427394511	0.749298323091535	former_vs__16	FALSE	2.6058805586427	15.2714645622958	5.36156667521845	5.05708213983876	0.277223932012761	0.898265532325996	1.02710961240068	0
hsa-let-7c-5p	32.6764061115394	-0.766761564710335	0.536539500039876	-1.42908688857642	0.152979261500093	0.584173304916566	former_vs__16	FALSE	21.3144071616599	535.08248863337	5.80877669922124	6.05891660588174	1.74509921221297	3.14392936314098	2.34349154898124	3.14879232027516
hsa-let-7d-3p	5.58240542391933	-0.642775853553281	0.576155194161697	-1.11562971238768	0.264580668321684	0.69326272989685	former_vs__16	FALSE	5.36998862358724	45.5970713888489	3.73725185345768	2.8940152990759	2.02522602158328	0.68265705673659	0.974210764596153	1.64407326393734
hsa-let-7d-5p	84.7263620575351	-0.440554709404183	0.520906333593323	-0.845746501804159	0.397694175640676	0.76578413536707	former_vs__16	FALSE	32.7717043116654	1464.65062688628	39.7922043904754	6.68676943722659	4.36118908038566	6.63152569401259	2.67827605597856	4.09366505559171
hsa-let-7e-3p	0.0926959525265536	0.393771285128478	2.56448580003404	0.153547851629068	0.877966257535207	NA	former_vs__16	NA	0.0052093015651024	0	0.0495699711557782	0.134377336960571	0	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.116298564556365	0.549001983997962	-0.211836328367069	0.832234725691686	0.952373529387297	former_vs__16	FALSE	4.07943746653623	87.7106135679492	4.76184861798541	4.16131494713772	2.80251528006729	3.18814469486804	2.10490282203767	2.14593758549772
hsa-let-7f-1-3p	0.148231312069842	0.439741790929355	2.81246589865938	0.156354532561254	0.875753574077185	NA	former_vs__16	NA	0.181372372657072	0.083590660008562	0.0297926753734462	0.191909054840604	0	0	0	0
hsa-let-7f-2-3p	0.575557015736163	0.362187031729441	0.776686654938955	0.466323232704324	0.640984151453314	NA	former_vs__16	NA	0.351077961017187	2.85976551856286	0.323887234932579	0.474549887078645	0	0.195044873353311	0	0
hsa-let-7f-5p	2.21317899747824	0.435764678715359	0.580800587071288	0.75028277934897	0.45308441192085	NA	former_vs__16	NA	1.52984943681414	4.42635460243853	1.99102087013628	2.11722221919453	1.10889572805104	2.35828998763951	0.617044838653955	0.913118762673353
hsa-let-7g-3p	2.96451879005013	0.867934243339721	0.558009302083972	1.55541178273962	0.119848029690317	NA	former_vs__16	NA	2.31192330688444	0.577209229831865	4.84386718322821	2.32229536896039	0.0989767297369456	0	0.567607791803404	0.309727252397514
hsa-let-7g-5p	494.25023297281	-0.168056290952138	0.608830460268757	-0.276031345208898	0.78252399114182	0.944318778796541	former_vs__16	FALSE	200.564003404803	8792.56865280744	211.978166641848	26.3994712862561	6.86773573408729	13.1042809373594	5.60451767092717	8.67872943238204
hsa-let-7i-3p	0.309460606375863	-0.00715098327629561	1.19899761515677	-0.00596413469543108	0.995241337219639	NA	former_vs__16	NA	0.454089866120884	1.29894766971959	0.220892012489985	0.21177201213604	0	0	0	0
