ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageheavy	Averagelight	Medianabstemious	Medianheavy	Medianlight
has-miR-548o	0.33500521171989	-0.163017349235222	1.07057191609196	-0.152271273685475	0.878972980966766	NA	light_vs_heavy	NA	0.819544209917442	0.385829706805434	0.225408705161567	1.30347504090334	0	0
has-miR-548x	1.34253497827163	1.50725272360128	0.763268536064858	1.97473451659903	0.0482982837129243	NA	light_vs_heavy	NA	0.295243993802183	0.835728257620125	2.16484722557913	0.146758758346356	0	0.168544168567153
hsa-let-7a-2-3p	0.651958530811686	0.338516571959194	0.617333130238318	0.54835315873702	0.583449432954223	NA	light_vs_heavy	NA	0.117407006677085	0.574730768071551	0.829139936175922	0	0	0
hsa-let-7a-3p	107.079579117193	0.463919465900889	0.406737275859245	1.14058753262986	0.254041607847622	0.551253685002682	light_vs_heavy	FALSE	25.8561155565589	37.6568266767768	262.758350290887	18.7851210683336	21.219997861349	13.7586767277156
hsa-let-7a-5p	8.88540308861354	0.192269528451047	0.376182481874324	0.511107076260082	0.609276081221657	0.812368108295543	light_vs_heavy	FALSE	7.71202519428746	12.5641290215471	7.08343532549587	7.31958632117258	4.35224684351315	3.39494246705517
hsa-let-7b-3p	0.306565999064634	0.44346106687276	1.27809733062561	0.346969715252977	0.728614070783524	NA	light_vs_heavy	NA	0.0587035033385424	0.124415774846722	0.457623268908468	0	0	0
hsa-let-7b-5p	59.8544926669154	0.653745744772438	0.429516615978796	1.52204995209012	0.127996564878191	0.396222466569318	light_vs_heavy	FALSE	13.6428759588243	31.1443993808419	132.806775833072	9.12432528632336	9.59212434412168	9.06352512859902
hsa-let-7c-3p	2.47103870395693	-0.587101986326069	0.499839318219672	-1.17458144032608	0.240162212138282	NA	light_vs_heavy	NA	10.8660711284322	2.99049419582646	1.02412965121542	1.32665842522031	0.624489609151907	0
hsa-let-7c-5p	5.84057718586428	0.316006385740851	0.435490582418742	0.725633110102478	0.468063717729803	0.714469674879516	light_vs_heavy	FALSE	4.41994397788905	4.72972286216022	9.35765548928965	4.18262075495576	2.96016365566461	2.84958301143871
hsa-let-7d-3p	3.14167103099851	1.41822140894866	0.662416711418716	2.14098072180458	0.0322755927307078	NA	light_vs_heavy	NA	2.50610861117754	2.026545795771	5.51011271287967	2.60695008180667	0	1.19800709346518
