miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-548o	-0.11	0.103	0.924968576709797	-0.048	0.477	0.992230322239831
hsa-miR-548x	0.095	0.137	0.924968576709797	0.024	0.712	0.996161699616406
hsa-let-7a-2-3p	-0.03	0.656	0.981072284180091	0.062	0.355	0.980798199549887
hsa-let-7a-3p	-0.032	0.591	0.970071691176471	-0.056	0.349	0.980798199549887
hsa-let-7a-5p	0.009	0.878	0.991689743589744	-0.001	0.99	0.998667808219178
hsa-let-7b-3p	0.03	0.655	0.981072284180091	0.089	0.193	0.980798199549887
hsa-let-7b-5p	-0.047	0.428	0.964382909680909	-0.067	0.264	0.980798199549887
hsa-let-7c-3p	-0.025	0.689	0.981421180274858	0.052	0.415	0.990419974391805
hsa-let-7c-5p	0.025	0.681	0.981349006890961	-0.084	0.16	0.96819795221843
hsa-let-7d-3p	-0.052	0.39	0.964382909680909	-0.108	0.076	0.957895261845387
hsa-let-7d-5p	0.067	0.259	0.953726227795193	0.02	0.743	0.996161699616406
hsa-let-7e-3p	-0.039	0.573	0.969266540642722	0	0.997	0.998850326611758
hsa-let-7e-5p	0.078	0.198	0.930336	-0.084	0.166	0.976601001669449
hsa-let-7f-1-3p	-0.064	0.36	0.964382909680909	-0.025	0.719	0.996161699616406
hsa-let-7f-2-3p	0.002	0.97	0.999373356203545	0.09	0.174	0.980798199549887
hsa-let-7f-5p	-0.117	0.059	0.924806629834254	0.07	0.265	0.980798199549887
hsa-let-7g-3p	-0.041	0.515	0.966711323763955	0.04	0.537	0.992676056338028
hsa-let-7g-5p	-0.085	0.15	0.925433043478261	-0.08	0.182	0.980798199549887
hsa-let-7i-3p	-0.055	0.417	0.964382909680909	-0.028	0.683	0.996161699616406
hsa-let-7i-5p	-0.054	0.362	0.964382909680909	-0.005	0.933	0.996161699616406
hsa-miR-1-2-5p:Novel	-0.034	0.564	0.969266540642722	-0.004	0.951	0.996161699616406
hsa-miR-1-3p	0.082	0.183	0.930014265335235	0.101	0.104	0.957895261845387
hsa-miR-1-5p	-0.107	0.07	0.924806629834254	-0.077	0.198	0.980798199549887
hsa-miR-100-3p	0.061	0.372	0.964382909680909	0.173	0.011	0.957895261845387
hsa-miR-100-5p	0.088	0.163	0.930014265335235	0	0.998	0.998850326611758
hsa-miR-101-2-5p	0.087	0.163	0.930014265335235	0.108	0.084	0.957895261845387
hsa-miR-101-3p	0.051	0.391	0.964382909680909	0.036	0.545	0.992980091883614
hsa-miR-101-5p	0.023	0.705	0.98431854199683	0.032	0.606	0.996161699616406
hsa-miR-10226	-0.08	0.187	0.930336	0.027	0.656	0.996161699616406
hsa-miR-10226-3p:Novel	-0.028	0.639	0.979393470790378	0.032	0.596	0.996161699616406
hsa-miR-10392-3p	-0.02	0.75	0.987816189466243	0	0.997	0.998850326611758
hsa-miR-10392-5p	0.071	0.23	0.94407390300231	0.098	0.102	0.957895261845387
hsa-miR-10393-3p	0.033	0.63	0.975876923076923	0.084	0.228	0.980798199549887
hsa-miR-10393-5p	-0.013	0.854	0.989913268608414	0.086	0.229	0.980798199549887
hsa-miR-10394-3p	0.039	0.53	0.968051733057424	-0.044	0.482	0.992230322239831
hsa-miR-10394-5p	-0.102	0.127	0.924968576709797	-0.053	0.429	0.990419974391805
hsa-miR-10395-3p	0.028	0.666	0.981072284180091	-0.028	0.674	0.996161699616406
hsa-miR-10395-5p	-0.144	0.018	0.813230769230769	-0.055	0.368	0.980798199549887
hsa-miR-10396a-3p	-0.036	0.571	0.969266540642722	0.028	0.66	0.996161699616406
hsa-miR-10396a-5p	-0.031	0.608	0.973340530814215	0.011	0.86	0.996161699616406
hsa-miR-10396b-3p	-0.015	0.814	0.989913268608414	-0.04	0.518	0.992230322239831
hsa-miR-10396b-5p	-0.051	0.399	0.964382909680909	0.014	0.824	0.996161699616406
hsa-miR-10397-3p	-0.017	0.779	0.987816189466243	-0.093	0.12	0.96277408056042
hsa-miR-10397-5p	-0.059	0.332	0.959295436349079	-0.087	0.161	0.96819795221843
hsa-miR-10398-3p	0.035	0.573	0.969266540642722	-0.002	0.978	0.998432775533756
hsa-miR-10398-5p	-0.121	0.063	0.924806629834254	0.116	0.077	0.957895261845387
hsa-miR-10399-3p	-0.036	0.595	0.970071691176471	-0.004	0.956	0.996161699616406
hsa-miR-10399-5p	0.056	0.4	0.964382909680909	0.074	0.266	0.980798199549887
hsa-miR-103a-1-5p	-0.017	0.796	0.98810681658468	0.022	0.744	0.996161699616406
hsa-miR-103a-2-5p	-0.029	0.672	0.981072284180091	0.035	0.606	0.996161699616406
hsa-miR-103a-3p	0.008	0.899	0.992932522796353	0.076	0.224	0.980798199549887
hsa-miR-103b-3p:Novel	0.012	0.849	0.989913268608414	-0.004	0.952	0.996161699616406
hsa-miR-103b-5p	0.001	0.989	0.999373356203545	-0.008	0.911	0.996161699616406
hsa-miR-10400-3p	-0.015	0.806	0.989913268608414	0.025	0.683	0.996161699616406
hsa-miR-10400-5p	0.01	0.866	0.989913268608414	0.017	0.78	0.996161699616406
hsa-miR-10401-3p	-0.068	0.283	0.959295436349079	0.074	0.249	0.980798199549887
hsa-miR-10401-5p	-0.107	0.07	0.924806629834254	-0.028	0.638	0.996161699616406
hsa-miR-105-3p	-0.105	0.078	0.924806629834254	-0.049	0.416	0.990419974391805
hsa-miR-105-5p	-0.067	0.271	0.959295436349079	-0.078	0.201	0.980798199549887
hsa-miR-10522-3p:Novel	0.04	0.503	0.964382909680909	0.067	0.263	0.980798199549887
hsa-miR-10522-5p	-0.137	0.038	0.924806629834254	-0.023	0.733	0.996161699616406
hsa-miR-10523-3p:Novel	-0.004	0.941	0.998691831318195	-0.01	0.864	0.996161699616406
hsa-miR-10523-5p	-0.036	0.568	0.969266540642722	0.073	0.251	0.980798199549887
hsa-miR-10524-3p:Novel	-0.063	0.309	0.959295436349079	-0.019	0.761	0.996161699616406
hsa-miR-10524-5p	-0.12	0.066	0.924806629834254	0.023	0.729	0.996161699616406
hsa-miR-10525-3p	-0.027	0.678	0.981349006890961	0.068	0.3	0.980798199549887
hsa-miR-10525-5p:Novel	-0.047	0.467	0.964382909680909	-0.012	0.857	0.996161699616406
hsa-miR-10526-3p	-0.002	0.978	0.999373356203545	-0.022	0.719	0.996161699616406
hsa-miR-10526-5p:Novel	-0.003	0.958	0.998691831318195	-0.024	0.696	0.996161699616406
hsa-miR-10527-3p:Novel	0.09	0.13	0.924968576709797	0.048	0.427	0.990419974391805
hsa-miR-10527-5p	0.106	0.076	0.924806629834254	0.033	0.579	0.996161699616406
hsa-miR-106a-3p	-0.024	0.727	0.987816189466243	0.014	0.838	0.996161699616406
hsa-miR-106a-5p	-0.043	0.511	0.966711323763955	0.071	0.28	0.980798199549887
hsa-miR-106b-3p	0.024	0.711	0.985278804561541	-0.066	0.304	0.980798199549887
hsa-miR-106b-5p	0.007	0.905	0.992932522796353	0.017	0.775	0.996161699616406
hsa-miR-107	-0.005	0.938	0.998342494714588	-0.019	0.755	0.996161699616406
hsa-miR-107-5p:Novel	0.04	0.531	0.968051733057424	0.075	0.241	0.980798199549887
hsa-miR-10a-3p	0.012	0.853	0.989913268608414	-0.039	0.539	0.992676056338028
hsa-miR-10a-5p	-0.027	0.645	0.979393470790378	-0.087	0.147	0.96277408056042
hsa-miR-10b-3p	-0.014	0.821	0.989913268608414	0.036	0.57	0.99439603960396
hsa-miR-10b-5p	-0.034	0.57	0.969266540642722	0.007	0.904	0.996161699616406
hsa-miR-11181-3p	-0.047	0.452	0.964382909680909	-0.034	0.587	0.996161699616406
hsa-miR-11181-5p	0.037	0.598	0.970071691176471	0.069	0.332	0.980798199549887
hsa-miR-11399	-0.017	0.779	0.987816189466243	0.023	0.706	0.996161699616406
hsa-miR-11399-3p:Novel	-0.035	0.55	0.9691	0.057	0.336	0.980798199549887
hsa-miR-11400	-0.073	0.241	0.948920670391061	0.025	0.69	0.996161699616406
hsa-miR-11400-3p:Novel	-0.041	0.496	0.964382909680909	-0.132	0.029	0.957895261845387
hsa-miR-11401	-0.003	0.958	0.998691831318195	0.044	0.482	0.992230322239831
hsa-miR-11401-3p:Novel	-0.051	0.395	0.964382909680909	0.049	0.417	0.990419974391805
hsa-miR-1178-3p	0.027	0.691	0.982284792254941	0.137	0.044	0.957895261845387
hsa-miR-1178-5p	-0.025	0.703	0.984092026973423	-0.036	0.58	0.996161699616406
hsa-miR-1179	0.038	0.55	0.9691	0.131	0.039	0.957895261845387
hsa-miR-1179-3p:Novel	-0.18	0.003	0.587333333333333	-0.097	0.108	0.957895261845387
hsa-miR-1180-3p	-0.089	0.146	0.925433043478261	-0.116	0.06	0.957895261845387
hsa-miR-1180-5p	0.032	0.621	0.973922563417891	-0.045	0.488	0.992230322239831
hsa-miR-1181	-0.155	0.01	0.749787234042553	0.014	0.819	0.996161699616406
hsa-miR-1181-3p:Novel	-0.167	0.005	0.629285714285714	-0.099	0.096	0.957895261845387
hsa-miR-1182	0.012	0.835	0.989913268608414	0.008	0.893	0.996161699616406
hsa-miR-1182-5p:Novel	-0.034	0.572	0.969266540642722	-0.043	0.48	0.992230322239831
hsa-miR-1183	-0.075	0.209	0.940288075560803	0.043	0.479	0.992230322239831
hsa-miR-1183-5p:Novel	-0.065	0.27	0.959295436349079	0.015	0.805	0.996161699616406
hsa-miR-1184	-0.163	0.006	0.66075	-0.032	0.587	0.996161699616406
hsa-miR-1184-5p:Novel	-0.004	0.942	0.998691831318195	0.024	0.694	0.996161699616406
hsa-miR-1185-3p	0.046	0.481	0.964382909680909	0.094	0.148	0.96277408056042
hsa-miR-1185-5p	0.053	0.406	0.964382909680909	0.055	0.393	0.990419974391805
hsa-miR-1193	-0.047	0.439	0.964382909680909	-0.032	0.598	0.996161699616406
hsa-miR-1193-3p:Novel	-0.028	0.641	0.979393470790378	-0.077	0.201	0.980798199549887
hsa-miR-1197	-0.094	0.125	0.924968576709797	-0.003	0.961	0.996540983606557
hsa-miR-1197-5p:Novel	0.007	0.906	0.992932522796353	-0.011	0.861	0.996161699616406
hsa-miR-1199-3p	-0.076	0.208	0.940288075560803	-0.036	0.548	0.992980091883614
hsa-miR-1199-5p	-0.123	0.042	0.924806629834254	0.023	0.703	0.996161699616406
hsa-miR-1200	-0.081	0.185	0.930014265335235	0.033	0.586	0.996161699616406
hsa-miR-1200-3p:Novel	-0.07	0.245	0.950859030837004	-0.016	0.791	0.996161699616406
hsa-miR-1202	-0.053	0.371	0.964382909680909	-0.174	0.004	0.927368421052632
hsa-miR-1202-3p:Novel	-0.057	0.337	0.959295436349079	-0.08	0.181	0.980798199549887
hsa-miR-1203	0.041	0.492	0.964382909680909	0.055	0.354	0.980798199549887
hsa-miR-1203-3p:Novel	-0.011	0.861	0.989913268608414	0.033	0.591	0.996161699616406
hsa-miR-1204	-0.024	0.682	0.981349006890961	-0.038	0.526	0.992230322239831
hsa-miR-1204-3p:Novel	0.075	0.23	0.94407390300231	0.042	0.506	0.992230322239831
hsa-miR-1205	-0.062	0.335	0.959295436349079	0.099	0.127	0.96277408056042
hsa-miR-1205-3p:Novel	-0.001	0.981	0.999373356203545	0.09	0.145	0.96277408056042
hsa-miR-1206	0.023	0.745	0.987816189466243	0.139	0.05	0.957895261845387
hsa-miR-1206-3p:Novel	-0.085	0.175	0.930014265335235	0.047	0.457	0.992230322239831
hsa-miR-1207-3p	-0.06	0.377	0.964382909680909	0.101	0.142	0.96277408056042
hsa-miR-1207-5p	0.033	0.581	0.969266540642722	0.046	0.444	0.992230322239831
hsa-miR-1208	-0.098	0.108	0.924968576709797	0.052	0.394	0.990419974391805
