miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.1301	0.1356	0.8436	-0.0337	0.7004	0.935257142857143	0.1462
hsa-let-7b-5p	-0.0899	0.3035	0.965177777777778	1e-04	0.9989	0.9989	0.1662
hsa-miR-10392-5p	-0.1662	0.0559	0.758295652173913	-0.0836	0.3385	0.876178512396694	0.1496
hsa-miR-10397-3p	-0.0448	0.6082	0.979277419354839	-0.0491	0.5746	0.911877777777778	0.115
hsa-miR-10400-5p	0.0196	0.8232	0.979277419354839	0.4021	0	0	0.3649
hsa-miR-10401-5p	0.0607	0.4874	0.976612290502793	0.0489	0.5759	0.911877777777778	0.114
hsa-miR-11399-3p:Novel	-9e-04	0.9921	0.9964	-0.0468	0.5928	0.911877777777778	0.1331
hsa-miR-1181-3p:Novel	-0.0061	0.9442	0.9964	0.2379	0.0058	0.0646285714285714	0.2194
hsa-miR-1184	-0.0488	0.5769	0.979277419354839	-0.0187	0.8307	0.970226865671642	0.1477
hsa-miR-1202	-0.0531	0.5442	0.976612290502793	-0.1025	0.2403	0.797591489361702	0.159
hsa-miR-1202-3p:Novel	0.0327	0.7089	0.979277419354839	-0.0067	0.9392	0.985219801980198	0.148
hsa-miR-1203	0.1291	0.1386	0.8436	-0.0326	0.7098	0.935257142857143	0.1255
hsa-miR-12118-3p:Novel	0.0385	0.6598	0.979277419354839	0.0013	0.9884	0.996689032258064	0.152
hsa-miR-12120-3p:Novel	-0.1533	0.0781	0.8436	0.0878	0.3148	0.854234482758621	0.1786
hsa-miR-12121	-0.051	0.5599	0.976612290502793	0.045	0.607	0.911877777777778	0.1936
hsa-miR-12123	0.144	0.0983	0.8436	0.0279	0.7503	0.935257142857143	0.1236
hsa-miR-12126-5p:Novel	7e-04	0.9935	0.9964	0.0469	0.5921	0.911877777777778	0.1341
hsa-miR-12127	0.0239	0.785	0.979277419354839	0.1574	0.0705	0.379241379310345	0.1765
hsa-miR-12136	-0.0902	0.3017	0.965177777777778	-0.0522	0.551	0.911877777777778	0.1579
hsa-miR-12136-3p:Novel	0.1002	0.2512	0.955006896551724	0.1871	0.031	0.219818181818182	0.1906
hsa-miR-1229-5p	-0.0848	0.3317	0.965177777777778	-0.0036	0.9672	0.988713725490196	0.1806
hsa-miR-1231	0.0309	0.724	0.979277419354839	0.0187	0.8308	0.970226865671642	0.1742
hsa-miR-1231-3p:Novel	-0.0511	0.5591	0.976612290502793	-0.103	0.2379	0.797591489361702	0.1757
hsa-miR-124-5p	-0.0533	0.542	0.976612290502793	0.0739	0.3981	0.911877777777778	0.1713
hsa-miR-1246-3p:Novel	0.0324	0.7109	0.979277419354839	0.3891	0	0	0.3128
hsa-miR-1260a-3p:Novel	-0.0489	0.5758	0.979277419354839	0.0231	0.7917	0.957404651162791	0.163
hsa-miR-1260b	0.052	0.552	0.976612290502793	-0.0201	0.8184	0.9672	0.1177
hsa-miR-1267-3p:Novel	-0.1003	0.2508	0.955006896551724	0.1168	0.1807	0.76630243902439	0.204
hsa-miR-1272	0.0182	0.8356	0.979277419354839	-0.0508	0.5613	0.911877777777778	0.119
hsa-miR-1272-3p:Novel	0.0855	0.3281	0.965177777777778	0.0208	0.8119	0.9672	0.1154
hsa-miR-1275-3p:Novel	-0.0774	0.376	0.976612290502793	0.1115	0.2014	0.76630243902439	0.2579
hsa-miR-128-3p	-0.0862	0.324	0.965177777777778	0.0873	0.3176	0.854234482758621	0.2189
hsa-miR-1284	-0.0718	0.4113	0.976612290502793	-0.0478	0.5845	0.911877777777778	0.1326
hsa-miR-1285-3p	0.0663	0.4483	0.976612290502793	0.0687	0.4323	0.911877777777778	0.2521
hsa-miR-1287-5p	-0.0585	0.5034	0.976612290502793	-0.0534	0.5419	0.911877777777778	0.1089
hsa-miR-1288-5p	0.1841	0.0339	0.758295652173913	0.0879	0.3142	0.854234482758621	0.184
hsa-miR-1290-5p:Novel	0.0431	0.622	0.979277419354839	-0.0177	0.8397	0.97032	0.1687
hsa-miR-1291-3p:Novel	-0.0804	0.3577	0.976612290502793	-0.0958	0.2725	0.8502	0.1578
hsa-miR-1293	0.0259	0.7671	0.979277419354839	-0.0777	0.3739	0.911877777777778	0.1442
hsa-miR-1302	-0.1061	0.2243	0.940992	0.038	0.6641	0.922410666666667	0.1491
hsa-miR-1306-3p	0.0896	0.3048	0.965177777777778	-0.0033	0.9697	0.988713725490196	0.1334
hsa-miR-1307-3p	0.063	0.4711	0.976612290502793	0.0171	0.8449	0.972726199261993	0.2068
hsa-miR-1324	-0.051	0.5603	0.976612290502793	-0.0704	0.4209	0.911877777777778	0.1491
hsa-miR-137-3p	-0.1829	0.0351	0.758295652173913	-0.0055	0.9502	0.985219801980198	0.1515
hsa-miR-143-3p	-0.0804	0.3576	0.976612290502793	-0.047	0.591	0.911877777777778	0.1353
hsa-miR-1469-3p:Novel	-0.0036	0.9675	0.9964	0.1087	0.2129	0.772381395348837	0.1749
hsa-miR-148a-3p	-0.0364	0.6773	0.979277419354839	-0.0283	0.7463	0.935257142857143	0.1627
hsa-miR-149-3p	0.0196	0.8225	0.979277419354839	0.3756	0	0	0.3524
hsa-miR-151a-3p	-0.1386	0.1115	0.8436	-0.0323	0.7119	0.935257142857143	0.1871
hsa-miR-181b-5p	-0.0025	0.9768	0.9964	0.0064	0.9416	0.985219801980198	0.2141
hsa-miR-181c-3p	0.0201	0.8183	0.979277419354839	0.1817	0.0363	0.25168	0.2027
hsa-miR-182-5p	-0.0062	0.9436	0.9964	0.1007	0.2487	0.808275	0.2179
hsa-miR-192-5p	-0.0089	0.9193	0.995908333333333	-0.031	0.7233	0.935257142857143	0.1463
hsa-miR-194-1-3p:Novel	-0.0246	0.7789	0.979277419354839	-0.0409	0.6404	0.919549090909091	0.1285
hsa-miR-194-3p	-0.1094	0.2102	0.936891428571429	-0.0355	0.6851	0.933411353711791	0.1346
hsa-miR-194-5p	-0.1758	0.043	0.758295652173913	-0.1531	0.0784	0.400996721311475	0.191
hsa-miR-197-5p	0.0142	0.8708	0.979277419354839	0.005	0.9542	0.985219801980198	0.1259
hsa-miR-199a-3p, hsa-miR-199b-3p	-0.2215	0.0104	0.758295652173913	-0.0026	0.9763	0.992200651465798	0.2392
hsa-miR-200a-3p	0.0315	0.7191	0.979277419354839	-0.0075	0.9321	0.985219801980198	0.1567
hsa-miR-200b-3p	0.0512	0.5581	0.976612290502793	-0.0129	0.8829	0.98507615658363	0.1551
hsa-miR-200c-3p	0.0094	0.9145	0.995908333333333	-0.0337	0.7	0.935257142857143	0.1446
hsa-miR-21-5p	-0.0191	0.8277	0.979277419354839	0.0127	0.8843	0.98507615658363	0.1808
hsa-miR-2110	0.0798	0.3615	0.976612290502793	0.0061	0.9442	0.985219801980198	0.148
hsa-miR-2110-3p:Novel	0.1301	0.1357	0.8436	0.1046	0.2307	0.784408695652174	0.1564
hsa-miR-2114-5p	0.0185	0.8324	0.979277419354839	-0.0717	0.4121	0.911877777777778	0.1115
hsa-miR-219a-5p	-0.0157	0.8574	0.979277419354839	0.3587	0	0	0.3401
hsa-miR-2278-3p:Novel	0.125	0.1517	0.845185714285714	0.0899	0.3033	0.854234482758621	0.1354
hsa-miR-2681-3p	-0.0263	0.7639	0.979277419354839	0.0574	0.5113	0.911877777777778	0.1629
hsa-miR-2861	0.0845	0.3336	0.965177777777778	0.07	0.4237	0.911877777777778	0.1439
hsa-miR-2861-5p:Novel	0.0133	0.8796	0.980125714285714	0.4379	0	0	0.3909
hsa-miR-300	-0.0239	0.785	0.979277419354839	-0.0853	0.3289	0.869633898305085	0.1238
hsa-miR-3064-5p	0.0385	0.6601	0.979277419354839	-0.0885	0.3112	0.854234482758621	0.1297
hsa-miR-3125	-0.1395	0.1093	0.8436	0.1622	0.0622	0.363422222222222	0.216
hsa-miR-3127-5p	-0.0867	0.3209	0.965177777777778	0.0794	0.3637	0.911877777777778	0.1792
hsa-miR-3136-5p	-0.0401	0.6464	0.979277419354839	-0.1227	0.1593	0.710022857142857	0.173
hsa-miR-3137	-0.0339	0.6989	0.979277419354839	-0.0536	0.5399	0.911877777777778	0.1245
hsa-miR-3137-3p:Novel	-0.0018	0.9836	0.9964	-0.0938	0.2828	0.854234482758621	0.1233
hsa-miR-3138-5p:Novel	-0.0416	0.6344	0.979277419354839	-0.0985	0.2594	0.834358762886598	0.1242
hsa-miR-3141-3p:Novel	-0.0721	0.4095	0.976612290502793	-0.0487	0.5778	0.911877777777778	0.16
hsa-miR-3154	-0.0445	0.611	0.979277419354839	-0.0903	0.3011	0.854234482758621	0.1465
hsa-miR-3154-5p:Novel	0.0642	0.4628	0.976612290502793	0.1986	0.0219	0.170458536585366	0.2007
hsa-miR-3155a	0.0328	0.7077	0.979277419354839	0.1088	0.2124	0.772381395348837	0.1637
hsa-miR-3155b	0.1218	0.1626	0.85956	0.1094	0.2101	0.772381395348837	0.1597
hsa-miR-3156-3p	0.121	0.1653	0.85956	0.1957	0.0239	0.17486511627907	0.2639
hsa-miR-3160-3p	0.1309	0.1332	0.8436	0.01	0.9094	0.985219801980198	0.208
hsa-miR-3168-3p:Novel	-0.1526	0.0795	0.8436	-0.0961	0.271	0.8502	0.1407
hsa-miR-3169	-0.1064	0.2228	0.940992	-0.0875	0.3164	0.854234482758621	0.1636
hsa-miR-3170	-0.1933	0.0258	0.758295652173913	-0.1117	0.2003	0.76630243902439	0.208
hsa-miR-3176-5p:Novel	-0.0201	0.8186	0.979277419354839	-0.1079	0.2162	0.773689887640449	0.14
hsa-miR-3180	-0.1152	0.1865	0.9168	0.158	0.0693	0.379241379310345	0.2219
hsa-miR-3180-3p	-0.0661	0.45	0.976612290502793	0.0846	0.333	0.873075630252101	0.1193
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	-0.0438	0.617	0.979277419354839	0.2685	0.0018	0.0330352941176471	0.2717
hsa-miR-3180-5p	-0.1424	0.102	0.8436	-0.0678	0.4378	0.911877777777778	0.1701
hsa-miR-3190-3p	-0.0269	0.7586	0.979277419354839	-0.0345	0.6932	0.935257142857143	0.199
hsa-miR-3195	-0.0608	0.4868	0.976612290502793	0.2902	7e-04	0.0156	0.2939
hsa-miR-320a-3p	0.0705	0.4204	0.976612290502793	0.1619	0.0626	0.363422222222222	0.2347
hsa-miR-320c	0.0148	0.8657	0.979277419354839	0.1646	0.0583	0.363422222222222	0.1779
hsa-miR-320d-1-5p:Novel	-0.0678	0.4381	0.976612290502793	0.1447	0.0966	0.470925	0.2642
