miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	0.028	0.7832	0.895085714285714	-0.0758	0.456	0.806835233160622	0.1156
hsa-let-7b-5p	-0.0668	0.5112	0.78615	-0.0739	0.4673	0.806835233160622	0.118
hsa-miR-10392-5p	0.1063	0.295	0.66695652173913	0.068	0.5037	0.810074226804124	0.2008
hsa-miR-10397-3p	-0.1129	0.266	0.636763636363636	-0.1493	0.1403	0.786021052631579	0.1733
hsa-miR-10400-5p	0.2013	0.0457	0.259243636363636	0.0585	0.5652	0.839442654028436	0.2149
hsa-miR-10401-5p	-0.0946	0.3517	0.684281481481481	-0.0447	0.6607	0.925786547085202	0.1348
hsa-miR-11399-3p:Novel	-0.0557	0.5842	0.816776170212766	-0.0815	0.4224	0.806835233160622	0.1887
hsa-miR-1181-3p:Novel	-0.1202	0.236	0.598838709677419	-0.0981	0.3341	0.806835233160622	0.1807
hsa-miR-1184	0.0524	0.6066	0.816776170212766	0.0181	0.8589	0.984941176470588	0.1372
hsa-miR-1202	-0.0658	0.5176	0.78615	0.0768	0.4498	0.806835233160622	0.1755
hsa-miR-1202-3p:Novel	0.0473	0.6418	0.839203278688525	-0.01	0.9221	0.984941176470588	0.1282
hsa-miR-1203	0.0015	0.9884	0.9907	-0.0883	0.3849	0.806835233160622	0.1609
hsa-miR-12118-3p:Novel	-0.0605	0.5521	0.801186976744186	-0.0647	0.5245	0.822331658291457	0.1326
hsa-miR-12120-3p:Novel	-0.0607	0.5504	0.801186976744186	-0.0218	0.8306	0.984941176470588	0.1354
hsa-miR-12121	0.0558	0.5831	0.816776170212766	0.1229	0.2257	0.806835233160622	0.1864
hsa-miR-12123	0.0472	0.643	0.839203278688525	0.037	0.7162	0.945873417721519	0.1666
hsa-miR-12126-5p:Novel	-0.2164	0.0314	0.20475	-0.1332	0.1886	0.806835233160622	0.191
hsa-miR-12127	-0.1265	0.2123	0.57531724137931	-0.0782	0.4415	0.806835233160622	0.1281
hsa-miR-12136	0.0599	0.556	0.803111111111111	0.0605	0.5522	0.839442654028436	0.147
hsa-miR-12136-3p:Novel	0.0691	0.4969	0.78615	-0.0759	0.4551	0.806835233160622	0.1495
hsa-miR-1229-5p	0.0648	0.5241	0.78615	0.1019	0.3156	0.806835233160622	0.2
hsa-miR-1231	-0.0825	0.4168	0.711665217391304	-0.1106	0.2759	0.806835233160622	0.1749
hsa-miR-1231-3p:Novel	0.0012	0.9907	0.9907	0.0367	0.7185	0.945873417721519	0.1428
hsa-miR-124-5p	0.008	0.9373	0.974792	-0.0143	0.8886	0.984941176470588	0.1226
