miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.0592	0.3691	0.846758823529412	-0.0475	0.4714	0.814852682926829	0.1073
hsa-let-7b-5p	-0.0862	0.1905	0.74412	-0.029	0.6602	0.859476543209877	0.1107
hsa-miR-10392-5p	-0.0376	0.5688	0.880296585365854	-0.0242	0.7139	0.88000608365019	0.1065
hsa-miR-10397-3p	-0.061	0.3552	0.842168888888889	-0.059	0.3712	0.814852682926829	0.0927
hsa-miR-10400-5p	0.102	0.1215	0.661623529411765	0.2123	0.0011	0.0490285714285714	0.2323
hsa-miR-10401-5p	-0.0214	0.7456	0.962962962962963	-0.0073	0.9116	0.960875675675676	0.0974
hsa-miR-11399-3p:Novel	-0.0132	0.8411	0.968351291512915	-0.0669	0.3099	0.814852682926829	0.1182
hsa-miR-1181-3p:Novel	-0.0373	0.5715	0.880296585365854	0.0538	0.4148	0.814852682926829	0.0992
hsa-miR-1184	-0.0479	0.4676	0.880296585365854	-0.03	0.65	0.859476543209877	0.109
hsa-miR-1202	-0.089	0.1767	0.735072	0.012	0.8556	0.940504225352113	0.1408
hsa-miR-1202-3p:Novel	-0.0077	0.907	0.984998657718121	-0.0241	0.7146	0.88000608365019	0.089
hsa-miR-1203	0.026	0.6941	0.962962962962963	-0.0726	0.271	0.813577142857143	0.1058
hsa-miR-12118-3p:Novel	0.0062	0.9256	0.984998657718121	-0.0222	0.7366	0.88000608365019	0.0985
hsa-miR-12120-3p:Novel	-0.0963	0.1435	0.661623529411765	0.0306	0.6429	0.859476543209877	0.1134
hsa-miR-12121	0.0417	0.5278	0.880296585365854	0.0704	0.2858	0.814852682926829	0.1561
hsa-miR-12123	0.1282	0.0511	0.509925	0.0571	0.3866	0.814852682926829	0.1291
hsa-miR-12126-5p:Novel	-0.0869	0.1873	0.74412	-0.0459	0.4866	0.814852682926829	0.1141
hsa-miR-12127	-0.0573	0.3853	0.847233802816902	-0.0254	0.7008	0.88000608365019	0.1025
hsa-miR-12136	-0.0449	0.4966	0.880296585365854	-0.0434	0.511	0.814852682926829	0.1103
hsa-miR-12136-3p:Novel	0.0962	0.1442	0.661623529411765	0.0454	0.4916	0.814852682926829	0.1073
hsa-miR-1229-5p	0.0242	0.7144	0.962962962962963	0.0022	0.9731	0.981692903225806	0.1602
hsa-miR-1231	-0.0216	0.7429	0.962962962962963	-0.0385	0.5598	0.831162085308057	0.1156
hsa-miR-1231-3p:Novel	-0.0427	0.5172	0.880296585365854	-0.0404	0.5407	0.81892427184466	0.1163
hsa-miR-124-5p	-0.034	0.6059	0.900194285714286	0.0011	0.987	0.987	0.0907
hsa-miR-1246-3p:Novel	-0.0134	0.8392	0.968351291512915	0.1838	0.005	0.12	0.1905
hsa-miR-1260a-3p:Novel	-0.0972	0.14	0.661623529411765	-0.029	0.6604	0.859476543209877	0.1208
hsa-miR-1260b	-0.073	0.2683	0.813577142857143	-0.0827	0.2097	0.787045161290323	0.1483
hsa-miR-1267-3p:Novel	0.0616	0.3499	0.842168888888889	0.0709	0.282	0.814852682926829	0.152
hsa-miR-1272	-0.0515	0.435	0.875169811320755	-0.0603	0.3603	0.814852682926829	0.1138
hsa-miR-1272-3p:Novel	0.0724	0.272	0.813577142857143	0.1139	0.0834	0.565669565217391	0.136
hsa-miR-1275-3p:Novel	0.017	0.7967	0.968351291512915	0.0602	0.3616	0.814852682926829	0.1582
hsa-miR-128-3p	-0.0448	0.4969	0.880296585365854	0.0726	0.2708	0.813577142857143	0.1486
hsa-miR-1284	-0.1201	0.0677	0.56394	-0.0691	0.2948	0.814852682926829	0.143
hsa-miR-1285-3p	0.0289	0.661	0.937418181818182	-0.0012	0.9858	0.987	0.1143
hsa-miR-1287-5p	-0.0472	0.4743	0.880296585365854	-0.046	0.4858	0.814852682926829	0.0889
hsa-miR-1288-5p	0.0638	0.333	0.842168888888889	0.0104	0.875	0.944547945205479	0.1081
hsa-miR-1290-5p:Novel	0.0553	0.4016	0.858213698630137	0.0171	0.7953	0.902304	0.1895
hsa-miR-1291-3p:Novel	-0.192	0.0033	0.23712	-0.1196	0.069	0.53898	0.1968
hsa-miR-1293	-0.0397	0.5479	0.880296585365854	-0.0533	0.4187	0.814852682926829	0.1283
hsa-miR-1302	-0.1387	0.0347	0.509925	-0.0866	0.1885	0.78416	0.1284
hsa-miR-1306-3p	0.0232	0.7257	0.962962962962963	-0.0349	0.5972	0.846938181818182	0.0977
hsa-miR-1307-3p	0.0517	0.433	0.875169811320755	-0.0059	0.9286	0.972225503355705	0.1316
hsa-miR-1324	-0.0125	0.8501	0.968566423357664	0.0727	0.2702	0.813577142857143	0.1288
hsa-miR-137-3p	0.0254	0.7009	0.962962962962963	-0.0156	0.8136	0.909832258064516	0.1011
hsa-miR-143-3p	-0.0257	0.6972	0.962962962962963	-0.053	0.4214	0.814852682926829	0.1084
hsa-miR-1469-3p:Novel	-0.0732	0.2669	0.813577142857143	-0.0093	0.888	0.94558361774744	0.1122
