miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.0111	0.839	0.92602113022113	-0.0447	0.4152	0.704675849056604	0.0686
hsa-let-7a-5p	-0.0371	0.4989	0.754259731543624	-0.0209	0.7031	0.853221351351351	0.0776
hsa-let-7b-5p	-0.006	0.9135	0.962820422535211	-0.0402	0.4636	0.730373333333333	0.0684
hsa-miR-10392-5p	0.1117	0.041	0.300046031746032	0.0201	0.714	0.857181818181818	0.127
hsa-miR-10397-3p	-0.0218	0.691	0.883928774928775	-0.0755	0.1679	0.58896171875	0.0831
hsa-miR-10400-5p	0.0542	0.3229	0.611738818565401	0.0183	0.7382	0.874543007915567	0.1412
hsa-miR-10401-5p	-0.0799	0.1444	0.464173103448276	-0.051	0.3519	0.671787711864407	0.1207
hsa-miR-10523-3p:Novel	0.0466	0.3949	0.681961923076923	0.0247	0.6525	0.831985552407932	0.0849
hsa-miR-106b-5p	-0.0723	0.1867	0.508011428571429	-0.0116	0.8324	0.923798288508557	0.1202
hsa-miR-11399-3p:Novel	-0.0588	0.2833	0.572980630630631	0.0227	0.6792	0.845906077348066	0.0884
hsa-miR-1181-3p:Novel	-0.0875	0.1099	0.41956974789916	-0.0679	0.2154	0.593341104294479	0.0983
hsa-miR-1184	-0.0956	0.0807	0.377440625	-0.0907	0.0975	0.545632608695652	0.1131
hsa-miR-1202	-0.0301	0.5828	0.807645679012346	-0.0025	0.9635	0.976549661399549	0.095
hsa-miR-1202-3p:Novel	-0.0882	0.1071	0.41956974789916	-0.0635	0.2461	0.600931891891892	0.1155
hsa-miR-1203	-0.0604	0.2706	0.565615277777778	-0.0532	0.332	0.654791666666667	0.1059
hsa-miR-12117-3p:Novel	0.0813	0.1376	0.454282352941176	0.0212	0.6997	0.85139647696477	0.0885
hsa-miR-12118-3p:Novel	-0.0134	0.8076	0.918216169154229	-0.0246	0.6541	0.831985552407932	0.0827
hsa-miR-12119	-0.0714	0.1921	0.508011428571429	-0.0122	0.8244	0.923081296758105	0.0942
hsa-miR-12120-3p:Novel	0.0153	0.7804	0.918216169154229	-0.0071	0.8965	0.951816312056738	0.0828
hsa-miR-12121	0.0164	0.7644	0.917688770053476	-0.0053	0.923	0.96233587962963	0.0871
hsa-miR-12123	0.0193	0.7244	0.900985041551246	0.0548	0.3171	0.640680717488789	0.1123
hsa-miR-12126-5p:Novel	-0.0741	0.176	0.498670625	-0.0732	0.1812	0.591508695652174	0.1109
hsa-miR-12127	-0.074	0.1768	0.498670625	-0.0182	0.7404	0.874841052631579	0.112
hsa-miR-12128	-0.0962	0.0787	0.373378947368421	-0.0564	0.303	0.638718309859155	0.1093
hsa-miR-12136	0.0607	0.268	0.565615277777778	-0.0071	0.8967	0.951816312056738	0.0945
hsa-miR-12136-3p:Novel	0.0873	0.1105	0.41956974789916	0.0937	0.0869	0.541918055555556	0.1237
hsa-miR-122-5p	-3e-04	0.9962	0.9962	0.0447	0.4151	0.704675849056604	0.0898
hsa-miR-1229-5p	-0.0616	0.2609	0.565615277777778	-0.0212	0.699	0.85139647696477	0.1
hsa-miR-1231	-0.0391	0.4755	0.743900696864111	-0.0654	0.2328	0.600931891891892	0.1126
hsa-miR-1231-3p:Novel	-0.0747	0.1728	0.497353846153846	-0.0626	0.2533	0.606743915343915	0.1131
