miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.1564	0.0048	0.0578973684210526	-0.0753	0.1762	0.439521111111111	0.097
hsa-let-7a-5p	-0.0568	0.3084	0.556110843373494	-0.0173	0.7561	0.891046981627297	0.098
hsa-let-7b-5p	-0.1605	0.0038	0.0550387096774194	-0.0819	0.1413	0.407266025641026	0.1008
hsa-miR-10392-5p	0.1356	0.0146	0.119189090909091	0.0624	0.2625	0.550759345794393	0.1851
hsa-miR-10397-3p	-0.086	0.1223	0.345362893081761	-0.108	0.0521	0.359870149253731	0.1192
hsa-miR-10400-5p	0.0104	0.8524	0.922235180722892	-0.0402	0.4706	0.731139792387543	0.0877
hsa-miR-10401-5p	-0.0686	0.2184	0.463825471698113	-0.0329	0.5555	0.777007788161994	0.0875
hsa-miR-10523-3p:Novel	-0.0798	0.1521	0.390245142857143	-0.0852	0.1258	0.397949315068493	0.1399
hsa-miR-106b-5p	-0.0681	0.2216	0.466542325581395	-0.0859	0.1229	0.397949315068493	0.1504
hsa-miR-11399-3p:Novel	0.028	0.615	0.789831818181818	-0.0094	0.8663	0.954097555012225	0.0793
hsa-miR-1181-3p:Novel	-0.1264	0.0229	0.155789393939394	-0.0691	0.2148	0.491620812182741	0.1193
hsa-miR-1184	-0.0977	0.0791	0.277753488372093	-0.1307	0.0186	0.276709302325581	0.153
hsa-miR-1202	-0.1777	0.0013	0.03648125	-0.0451	0.4186	0.703937827715356	0.1903
hsa-miR-1202-3p:Novel	-0.0963	0.0834	0.285851908396947	0.0016	0.9772	0.985983820224719	0.0988
hsa-miR-1203	-0.0466	0.4034	0.643407446808511	0.0478	0.3907	0.679939147286822	0.1199
hsa-miR-12117-3p:Novel	-0.0019	0.9733	0.982048764044944	-0.0045	0.936	0.979815473441108	0.1137
hsa-miR-12118-3p:Novel	-0.0039	0.9439	0.973004576659039	0.002	0.9714	0.984556659142212	0.0917
hsa-miR-12119	-0.0988	0.0758	0.277753488372093	0.0316	0.5704	0.778585106382979	0.1325
hsa-miR-12120-3p:Novel	-0.0298	0.5931	0.775047093023256	0.0225	0.6866	0.858728133704735	0.0845
hsa-miR-12121	0.02	0.7203	0.854728497409326	0.0067	0.9048	0.964976722090261	0.0655
hsa-miR-12123	0.0746	0.1803	0.4216390625	0.0886	0.1114	0.397949315068493	0.1184
hsa-miR-12126-5p:Novel	-0.0229	0.6815	0.83604781420765	0.0317	0.5699	0.778585106382979	0.0911
hsa-miR-12127	-0.0704	0.2062	0.449435922330097	-0.0209	0.7077	0.859774324324324	0.1097
hsa-miR-12128	-0.1082	0.0517	0.24695	0.0146	0.7937	0.918564885496183	0.0978
hsa-miR-12136	-0.0731	0.1893	0.429271212121212	-0.0934	0.0934	0.397949315068493	0.1079
hsa-miR-12136-3p:Novel	0.019	0.7335	0.854728497409326	-0.0073	0.8955	0.960966904761905	0.0919
hsa-miR-122-5p	-0.0336	0.547	0.74651367781155	-0.0445	0.425	0.708255925925926	0.0982
hsa-miR-1229-5p	-0.013	0.8151	0.906033578431373	-0.0384	0.4914	0.746159121621622	0.0861
hsa-miR-1231	-0.0483	0.3864	0.631702181818182	0.0088	0.8748	0.95746803874092	0.0963
hsa-miR-1231-3p:Novel	0.0351	0.5287	0.737224534161491	-0.0092	0.8691	0.954097555012225	0.0857
hsa-miR-124-5p	-0.1649	0.0029	0.0500807692307692	-0.0728	0.1913	0.462066137566138	0.1683
hsa-miR-1246-3p:Novel	-0.0562	0.3133	0.561518326693227	-0.0872	0.1173	0.397949315068493	0.1361
hsa-miR-1250-5p	0.1116	0.0448	0.226013483146067	0.0925	0.0963	0.397949315068493	0.1248
hsa-miR-1255b-5p	0.1905	6e-04	0.0299333333333333	0.1346	0.0153	0.274788	0.2152
hsa-miR-1257	0.0306	0.5825	0.766986803519062	-0.0324	0.5616	0.777806153846154	0.0746
hsa-miR-1257-3p:Novel	-0.089	0.1099	0.326788741721854	-0.0902	0.1052	0.397949315068493	0.1304
hsa-miR-125b-5p	0.0515	0.3551	0.61559806949807	-0.0695	0.2121	0.490891237113402	0.1179
hsa-miR-1260a-3p:Novel	-0.1493	0.0071	0.075902380952381	-0.0093	0.8675	0.954097555012225	0.1323
hsa-miR-1260b	-0.1055	0.0579	0.254017592592593	-0.1078	0.0525	0.359870149253731	0.1448
hsa-miR-1267-3p:Novel	-0.0488	0.381	0.631250922509225	-0.0971	0.0811	0.391203191489362	0.1147
hsa-miR-1272	-0.0405	0.4672	0.687779672131148	-0.0893	0.1088	0.397949315068493	0.1229
hsa-miR-1272-3p:Novel	-0.0372	0.5045	0.71457570977918	-0.0274	0.6232	0.818177777777778	0.0757
hsa-miR-1275-3p:Novel	-0.0179	0.7482	0.868066666666667	-0.0726	0.1926	0.462066137566138	0.1033
hsa-miR-128-3p	-0.0088	0.8746	0.939462679425837	0.0085	0.8783	0.95746803874092	0.0976
hsa-miR-1281	0.0217	0.6974	0.843806182795699	-0.0221	0.6921	0.858913498622589	0.0915
hsa-miR-1284	-0.0738	0.1854	0.426895384615385	0.0051	0.9266	0.979815473441108	0.0964
hsa-miR-1285-3p	-0.0746	0.1802	0.4216390625	-0.1268	0.0224	0.276709302325581	0.1414
hsa-miR-1287-5p	-0.1246	0.025	0.165073529411765	-0.102	0.0667	0.391203191489362	0.134
hsa-miR-1288-5p	0.1056	0.0576	0.254017592592593	0.1645	0.003	0.110523076923077	0.1604
hsa-miR-1290-5p:Novel	-0.089	0.1097	0.326788741721854	-0.075	0.1783	0.442302209944751	0.1101
hsa-miR-1291-3p:Novel	-0.1102	0.0474	0.233874725274725	-0.0071	0.8989	0.960966904761905	0.1421
hsa-miR-1293	0.1191	0.032	0.181873417721519	0.1418	0.0106	0.218377272727273	0.1556
hsa-miR-1294	0.1064	0.0558	0.254017592592593	0.1198	0.0311	0.310308888888889	0.147
