miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	0.0073	0.9155	0.979420045045045	-0.0629	0.3608	0.766756465517241	0.0817
hsa-let-7a-5p	-0.031	0.6532	0.901947674418605	-0.0228	0.7403	0.891751824817518	0.0943
hsa-let-7b-5p	-0.0155	0.8216	0.948389830508475	-0.0561	0.4154	0.776830708661417	0.0766
hsa-let-7i-5p	-0.0276	0.6891	0.914408077994429	-0.0524	0.4467	0.794691011235955	0.0749
hsa-miR-10392-5p	0.1119	0.1035	0.540247252747253	-0.0355	0.6065	0.856264792899408	0.1317
hsa-miR-10397-3p	-9e-04	0.9891	0.9987	-0.0961	0.1623	0.70172268907563	0.1103
hsa-miR-10400-5p	0.0211	0.7595	0.946857506361323	-0.0464	0.5003	0.800033444816054	0.1342
hsa-miR-10401-5p	-0.101	0.1417	0.560895833333333	-0.1145	0.0956	0.701538461538462	0.1465
hsa-miR-10523-3p:Novel	0.0371	0.5899	0.886716772151899	0.0479	0.4866	0.800033444816054	0.1326
hsa-miR-106b-5p	-0.0258	0.7081	0.915630081300813	0.0476	0.4896	0.800033444816054	0.1153
hsa-miR-11399-3p:Novel	-0.0767	0.2649	0.698559782608696	0.0272	0.6928	0.890047297297297	0.1163
hsa-miR-1181-3p:Novel	-0.1526	0.0259	0.418306451612903	-0.1404	0.0407	0.690446428571429	0.1473
hsa-miR-1184	-0.1621	0.0179	0.418306451612903	-0.1242	0.0704	0.701538461538462	0.1739
hsa-miR-1193-3p:Novel	0.0081	0.9068	0.979420045045045	-0.0741	0.2816	0.7184375	0.0987
hsa-miR-1202	-0.0467	0.4981	0.846886120996441	-0.0076	0.9117	0.957934065934066	0.1082
hsa-miR-1202-3p:Novel	-0.1512	0.0273	0.418306451612903	-0.0711	0.3019	0.72675	0.1295
hsa-miR-1203	-0.0355	0.6065	0.888075153374233	-0.0272	0.6933	0.890047297297297	0.1009
hsa-miR-12114-3p:Novel	-0.0497	0.4705	0.824677121771218	-0.0568	0.4096	0.776830708661417	0.1095
hsa-miR-12117-3p:Novel	0.1035	0.1322	0.552136752136752	0.043	0.5328	0.812371794871795	0.1062
hsa-miR-12118-3p:Novel	-0.0404	0.5576	0.879455445544555	-0.0844	0.2201	0.717566666666667	0.125
hsa-miR-12119	-0.0075	0.9138	0.979420045045045	-0.0204	0.767	0.891751824817518	0.0919
hsa-miR-12120-3p:Novel	0.035	0.6116	0.888409785932722	-0.0198	0.7737	0.892008495145631	0.1059
hsa-miR-12121	-0.0274	0.6911	0.914408077994429	-0.0333	0.6291	0.866152173913043	0.081
hsa-miR-12123	-0.0069	0.9197	0.980353139013453	-0.0039	0.9553	0.982180735930736	0.1185
hsa-miR-12124-5p:Novel	-0.0844	0.2198	0.642269938650307	-0.0932	0.1755	0.70172268907563	0.1351
hsa-miR-12126-5p:Novel	-0.0999	0.1461	0.57353305785124	-0.0452	0.512	0.805927152317881	0.1268
hsa-miR-12127	-0.0159	0.8178	0.948389830508475	-0.1039	0.1306	0.701538461538462	0.1547
hsa-miR-12128	-0.0806	0.2413	0.676176470588235	-0.0615	0.3721	0.766756465517241	0.1063
hsa-miR-12136	0.0418	0.5436	0.87714527027027	-0.047	0.4953	0.800033444816054	0.1088
hsa-miR-12136-3p:Novel	0.0943	0.1705	0.600962962962963	0.0682	0.3217	0.745865853658537	0.1098
hsa-miR-122-5p	0.0527	0.444	0.824677121771218	-0.0615	0.372	0.766756465517241	0.1036
hsa-miR-1229-5p	-0.0287	0.6773	0.910528169014085	-0.0355	0.6062	0.856264792899408	0.0935
hsa-miR-1231	-0.0413	0.5491	0.878190235690236	-0.0935	0.1742	0.70172268907563	0.143
hsa-miR-1231-3p:Novel	-0.0959	0.1632	0.600962962962963	-0.0853	0.2152	0.717566666666667	0.1254
hsa-miR-1233-3p	-0.057	0.4075	0.81859631147541	0.0345	0.6165	0.861286764705882	0.1179
hsa-miR-124-5p	-0.0255	0.7113	0.915630081300813	-0.0993	0.1486	0.701538461538462	0.1284
hsa-miR-1246-3p:Novel	-0.0295	0.6688	0.91025787965616	-0.0648	0.3469	0.766756465517241	0.1027
hsa-miR-1250-5p	-0.0106	0.8773	0.973583916083916	-0.1288	0.0605	0.701538461538462	0.1374
hsa-miR-1257	-0.0081	0.9063	0.979420045045045	-0.0204	0.7674	0.891751824817518	0.0923
hsa-miR-1257-3p:Novel	-0.0501	0.4671	0.824677121771218	0.0031	0.964	0.986853448275862	0.1044
hsa-miR-125b-5p	-0.1058	0.1238	0.54712962962963	-0.1263	0.0657	0.701538461538462	0.1678
hsa-miR-1260a-3p:Novel	-0.1403	0.0408	0.423369565217391	-0.0995	0.1477	0.701538461538462	0.1712
hsa-miR-1260b	-0.1157	0.0922	0.534085365853659	-0.1562	0.0226	0.6175	0.1712
hsa-miR-1267-3p:Novel	-0.044	0.5228	0.868286713286713	-0.1171	0.0881	0.701538461538462	0.1261
hsa-miR-1272	-0.0285	0.6789	0.910528169014085	-0.0974	0.1565	0.70172268907563	0.1155
hsa-miR-1272-3p:Novel	-0.0056	0.9357	0.985309734513274	0.0777	0.2589	0.7184375	0.1227
hsa-miR-1275-3p:Novel	-0.0361	0.6008	0.888075153374233	-0.0567	0.4103	0.776830708661417	0.1162
hsa-miR-128-3p	-0.0021	0.9754	0.995359442060086	0.034	0.6216	0.862201166180758	0.1168
hsa-miR-1281	-0.0575	0.404	0.81859631147541	-0.0927	0.1777	0.703395833333333	0.1215
hsa-miR-1284	0.104	0.1304	0.552136752136752	0.0218	0.7523	0.891751824817518	0.1362
hsa-miR-1285-3p	-0.0069	0.9205	0.980353139013453	-0.0741	0.2818	0.7184375	0.1069
hsa-miR-1287-5p	0.0099	0.8855	0.97534064665127	-0.0891	0.1951	0.717566666666667	0.1085
hsa-miR-1288-5p	0.1112	0.1057	0.540433673469388	0.1235	0.072	0.701538461538462	0.155
hsa-miR-1290-5p:Novel	-0.0192	0.7802	0.946857506361323	-0.0869	0.2066	0.717566666666667	0.1132
