miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.1283	0.0647	0.903897058823529	-0.0932	0.1804	0.638465517241379	0.1149
hsa-let-7a-5p	0.013	0.8526	0.982973300970874	0.0092	0.8946	0.9796875	0.1098
hsa-let-7b-5p	-0.1398	0.044	0.898981481481481	-0.0973	0.1619	0.60525390625	0.1202
hsa-let-7i-5p	-0.0224	0.7484	0.97922181372549	-0.0927	0.183	0.638465517241379	0.1141
hsa-miR-10392-5p	0.1028	0.1396	0.969370567375887	0.0145	0.8356	0.956409638554217	0.1885
hsa-miR-10397-3p	-0.0574	0.4106	0.969370567375887	-0.1179	0.09	0.60525390625	0.1391
hsa-miR-10400-5p	-0.0521	0.4546	0.969370567375887	-0.0678	0.3305	0.751136363636364	0.1087
hsa-miR-10401-5p	-0.0183	0.793	0.97922181372549	0.0321	0.6452	0.910138888888889	0.103
hsa-miR-10523-3p:Novel	0.0092	0.895	0.989656976744186	-0.008	0.9088	0.9796875	0.1221
hsa-miR-106b-5p	-0.0261	0.7087	0.97922181372549	-0.0155	0.8238	0.952080291970803	0.1266
hsa-miR-11399-3p:Novel	0.0568	0.4154	0.969370567375887	-0.0151	0.8291	0.953565375302663	0.1189
hsa-miR-1181-3p:Novel	-0.1204	0.0832	0.925170454545454	-0.0793	0.2547	0.679329608938548	0.1362
hsa-miR-1184	-0.0657	0.346	0.969370567375887	-0.1105	0.1121	0.60525390625	0.1619
hsa-miR-1193-3p:Novel	-0.0401	0.5657	0.969370567375887	-0.0072	0.9181	0.9796875	0.1418
hsa-miR-1202	-0.232	7e-04	0.2375	-0.166	0.0165	0.461029411764706	0.2529
hsa-miR-1202-3p:Novel	-0.0988	0.1557	0.969370567375887	0.0181	0.7957	0.94489375	0.1144
hsa-miR-1203	0.0395	0.5714	0.969370567375887	0.1644	0.0176	0.464444444444444	0.1887
hsa-miR-12114-3p:Novel	6e-04	0.9935	0.996598101265823	-0.0604	0.3861	0.78263829787234	0.1161
hsa-miR-12117-3p:Novel	0.0563	0.4196	0.969370567375887	0.0074	0.916	0.9796875	0.1338
hsa-miR-12118-3p:Novel	0.0071	0.9189	0.994253986332574	8e-04	0.9905	0.994688160676533	0.1362
hsa-miR-12119	0.0507	0.4672	0.969370567375887	0.0327	0.6396	0.910138888888889	0.1216
hsa-miR-12120-3p:Novel	0.0012	0.9862	0.996598101265823	0.0649	0.3517	0.762364253393665	0.1057
hsa-miR-12121	0.0155	0.8238	0.97922181372549	0.0258	0.7113	0.920248655913979	0.0888
hsa-miR-12123	0.0759	0.2758	0.969370567375887	0.0887	0.2026	0.640077160493827	0.1295
hsa-miR-12124-5p:Novel	0.045	0.5185	0.969370567375887	-0.0393	0.5729	0.891633986928105	0.1236
hsa-miR-12126-5p:Novel	-0.0157	0.8218	0.97922181372549	0.0259	0.71	0.920248655913979	0.1266
hsa-miR-12127	-0.0061	0.9307	0.995847826086956	-0.0436	0.5313	0.876276041666667	0.1278
hsa-miR-12128	0.0151	0.8288	0.97922181372549	0.0431	0.5366	0.881100682593857	0.1013
hsa-miR-12136	-0.0608	0.3829	0.969370567375887	-0.0857	0.2183	0.640077160493827	0.119
hsa-miR-12136-3p:Novel	-0.0395	0.571	0.969370567375887	-0.0467	0.5029	0.859271582733813	0.1093
hsa-miR-122-5p	-0.0544	0.4355	0.969370567375887	-0.0986	0.1563	0.60525390625	0.1383
hsa-miR-1229-5p	-0.0374	0.5914	0.978797909407666	-0.0579	0.4061	0.807102510460251	0.0972
hsa-miR-1231	-0.0352	0.6132	0.97922181372549	0.0211	0.7626	0.937390463917526	0.1196
hsa-miR-1231-3p:Novel	0.0606	0.3847	0.969370567375887	0.0343	0.6228	0.904678899082569	0.1437
hsa-miR-1233-3p	0.0496	0.4767	0.969370567375887	0.0774	0.2663	0.691215846994535	0.1624
hsa-miR-124-5p	-0.1202	0.0839	0.925170454545454	-0.029	0.6774	0.916643258426966	0.1381
hsa-miR-1246-3p:Novel	-0.1025	0.1408	0.969370567375887	-0.1075	0.1224	0.60525390625	0.1628
hsa-miR-1250-5p	6e-04	0.993	0.996598101265823	0.0273	0.6955	0.920248655913979	0.1062
hsa-miR-1257	0.0549	0.4313	0.969370567375887	-0.0098	0.8884	0.9796875	0.1048
hsa-miR-1257-3p:Novel	-0.0192	0.7833	0.97922181372549	-0.0548	0.4314	0.819655511811024	0.1416
hsa-miR-125b-5p	0.0477	0.4938	0.969370567375887	-0.0671	0.3359	0.759773809523809	0.1248
hsa-miR-1260a-3p:Novel	-0.1776	0.0103	0.543611111111111	0.0173	0.8037	0.944944306930693	0.1536
hsa-miR-1260b	-0.0437	0.5306	0.969370567375887	-0.1022	0.1418	0.60525390625	0.1565
hsa-miR-1267-3p:Novel	-0.0999	0.151	0.969370567375887	-0.1311	0.0591	0.60525390625	0.1729
hsa-miR-1272	0.0642	0.3572	0.969370567375887	-0.0858	0.2179	0.640077160493827	0.1415
hsa-miR-1272-3p:Novel	9e-04	0.9897	0.996598101265823	-0.0252	0.7181	0.920248655913979	0.1009
hsa-miR-1275-3p:Novel	-0.0485	0.4862	0.969370567375887	-0.0977	0.1605	0.60525390625	0.1255
hsa-miR-128-3p	0.0628	0.3674	0.969370567375887	-0.027	0.6983	0.920248655913979	0.1261
hsa-miR-1281	0.0214	0.7592	0.97922181372549	-0.0189	0.7868	0.942462216624685	0.1049
hsa-miR-1284	0.0505	0.4687	0.969370567375887	0.0483	0.4885	0.859271582733813	0.099
