miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.0223	0.8075	0.980268934911243	0.0727	0.4259	0.799050917431193	0.1211
hsa-let-7b-5p	0.0194	0.8324	0.986683615819209	0.0832	0.362	0.764788265306122	0.1438
hsa-miR-10392-5p	0.1025	0.261	0.849161904761905	0.1519	0.0949	0.441069318181818	0.1914
hsa-miR-10397-3p	-0.0478	0.6008	0.923607462686567	0.0151	0.8692	0.97652884097035	0.1268
hsa-miR-10400-5p	0.1096	0.2296	0.849161904761905	0.2098	0.0204	0.29758275862069	0.2243
hsa-miR-10401-5p	-0.0077	0.9328	0.993529166666667	0.0116	0.899	0.977368965517241	0.1751
hsa-miR-10523-3p:Novel	0.0798	0.3824	0.877429281767956	-0.0139	0.8792	0.97652884097035	0.1577
hsa-miR-11399-3p:Novel	-0.0175	0.8479	0.986683615819209	0.0345	0.7063	0.925672843450479	0.1314
hsa-miR-1181-3p:Novel	0.0138	0.88	0.98776301369863	0.0689	0.4507	0.811758232931727	0.1573
hsa-miR-1184	0.1197	0.1891	0.849161904761905	0.0324	0.723	0.93578164556962	0.1678
hsa-miR-1202	0.0282	0.7575	0.966168404907976	0.0079	0.9315	0.986109487179487	0.1166
hsa-miR-1202-3p:Novel	0.0609	0.5053	0.913433333333333	-0.0649	0.4777	0.811758232931727	0.1421
hsa-miR-1203	-0.0592	0.5171	0.913433333333333	-0.0935	0.3057	0.739830177514793	0.1587
hsa-miR-12117-3p:Novel	0.0473	0.6052	0.923607462686567	-0.02	0.8273	0.969529226361032	0.1255
hsa-miR-12118-3p:Novel	0.0416	0.649	0.946625441696113	0.052	0.5693	0.860697802197802	0.1811
hsa-miR-12120-3p:Novel	-0.028	0.7593	0.966168404907976	0.0019	0.9837	0.996372235872236	0.1425
hsa-miR-12121	0.0829	0.3639	0.870380701754386	0.1077	0.2375	0.69243986013986	0.1716
hsa-miR-12123	0.0608	0.5062	0.913433333333333	0.1214	0.1829	0.603275	0.1611
hsa-miR-12126-5p:Novel	-0.0368	0.6871	0.947783986928105	-0.1277	0.161	0.564909401709402	0.1646
hsa-miR-12127	-0.1643	0.0706	0.750742222222222	0.0071	0.9386	0.986109487179487	0.1202
hsa-miR-12128	-0.0987	0.2796	0.849175524475524	-0.0847	0.3534	0.763753684210526	0.1557
hsa-miR-12136	0.0979	0.2832	0.849175524475524	0.1599	0.0785	0.389289156626506	0.1949
hsa-miR-12136-3p:Novel	0.0632	0.489	0.913433333333333	0.157	0.0842	0.405150588235294	0.1909
hsa-miR-1229-5p	-0.1135	0.2134	0.849161904761905	0.0519	0.5703	0.860697802197802	0.1926
hsa-miR-1231	-0.0288	0.7529	0.966168404907976	0.0076	0.9335	0.986109487179487	0.1725
hsa-miR-1231-3p:Novel	-0.0397	0.6638	0.947783986928105	-0.0296	0.7464	0.950925	0.1344
hsa-miR-124-5p	0.0563	0.538	0.913433333333333	0.0632	0.4894	0.811758232931727	0.1518
hsa-miR-1246-3p:Novel	0.0651	0.476	0.913433333333333	0.1153	0.2062	0.653765891472868	0.1474
hsa-miR-1250-5p	0.1978	0.029	0.5726	0.0977	0.2845	0.739830177514793	0.1897
hsa-miR-1255b-5p	0.122	0.1806	0.849161904761905	0.0409	0.655	0.908118644067797	0.1369
hsa-miR-1257	0.0267	0.77	0.966168404907976	-0.0802	0.38	0.775472139303483	0.1649
hsa-miR-1257-3p:Novel	-0.0486	0.5953	0.923607462686567	0.0204	0.8232	0.969529226361032	0.1236
hsa-miR-125b-5p	-0.0527	0.5641	0.923607462686567	-0.0907	0.3207	0.745655376344086	0.1259
hsa-miR-1260a-3p:Novel	0.0372	0.6838	0.947783986928105	-0.0651	0.4761	0.811758232931727	0.1374
hsa-miR-1260b	-0.166	0.0676	0.750742222222222	-0.1101	0.2275	0.679178832116788	0.1842
hsa-miR-1267-3p:Novel	0.0047	0.9593	0.995032843137255	0.0897	0.3258	0.745655376344086	0.1526
hsa-miR-1272	-0.0639	0.4843	0.913433333333333	-0.0064	0.9445	0.987980818414322	0.1508
hsa-miR-1272-3p:Novel	0.0343	0.7074	0.947783986928105	0.0409	0.6545	0.908118644067797	0.1295
hsa-miR-1275-3p:Novel	0.0997	0.2744	0.849175524475524	0.1776	0.0504	0.389289156626506	0.2238
hsa-miR-128-3p	-0.0203	0.824	0.982551162790698	0.176	0.0525	0.389289156626506	0.1951
hsa-miR-1284	-0.0918	0.3144	0.850558552631579	0.0532	0.5603	0.860697802197802	0.1741
hsa-miR-1285-3p	0.0915	0.3161	0.850558552631579	0.0431	0.6378	0.90078724137931	0.1659
hsa-miR-1287-5p	0.0784	0.3905	0.877552197802198	0.0969	0.2882	0.739830177514793	0.1425
hsa-miR-1288-5p	-0.0084	0.927	0.993529166666667	0.0022	0.981	0.996372235872236	0.1675
hsa-miR-1290-5p:Novel	0.0836	0.3598	0.86708	0.2003	0.027	0.30675	0.2286
hsa-miR-1291-3p:Novel	0.0341	0.7091	0.947783986928105	-0.0347	0.7047	0.925672843450479	0.1094
hsa-miR-1293	-0.0409	0.6545	0.946625441696113	0.0636	0.4862	0.811758232931727	0.1608
hsa-miR-1294	0.0976	0.2849	0.849175524475524	-0.0056	0.9512	0.990133842239186	0.1506
hsa-miR-1302	-0.0355	0.6976	0.947783986928105	-0.0449	0.6234	0.897783802816901	0.1205
hsa-miR-1306-3p	-0.0234	0.798	0.974274626865672	0.0268	0.7699	0.955324848484849	0.1125
hsa-miR-1307-3p	-0.0512	0.5751	0.923607462686567	-0.1052	0.249	0.707229166666667	0.1438
hsa-miR-1324	0.0473	0.605	0.923607462686567	0.0122	0.8936	0.977368965517241	0.1144
hsa-miR-137-3p	-0.0473	0.6049	0.923607462686567	0.0133	0.8842	0.97652884097035	0.1417
hsa-miR-143-3p	0.0032	0.9723	0.995032843137255	0.103	0.2588	0.720062585034014	0.1908
hsa-miR-1469-3p:Novel	0.1424	0.1176	0.826404109589041	0.0526	0.5648	0.860697802197802	0.1597
hsa-miR-148a-3p	-0.0714	0.4348	0.909207	0.0963	0.2916	0.739830177514793	0.1676
hsa-miR-149-3p	0.12	0.1881	0.849161904761905	0.1482	0.1033	0.454297849462366	0.1911
hsa-miR-151a-3p	0.1247	0.1711	0.84411686746988	0.1596	0.079	0.389289156626506	0.1818
hsa-miR-1587-3p:Novel	0.1625	0.0737	0.750742222222222	0.1766	0.0517	0.389289156626506	0.1918
hsa-miR-181b-5p	0.1247	0.1713	0.84411686746988	0.2043	0.024	0.301172727272727	0.2183
hsa-miR-181c-3p	0.1033	0.2574	0.849161904761905	0.0366	0.6888	0.922036893203883	0.1629
hsa-miR-182-3p	-0.1101	0.2275	0.849161904761905	-0.0415	0.6503	0.908118644067797	0.1702
hsa-miR-182-5p	-0.0492	0.5908	0.923607462686567	-0.0071	0.9386	0.986109487179487	0.133
hsa-miR-192-5p	-0.1433	0.1152	0.826404109589041	0.0651	0.4764	0.811758232931727	0.1268
hsa-miR-194-1-3p:Novel	-0.1026	0.2608	0.849161904761905	0.0343	0.7074	0.925672843450479	0.1427
hsa-miR-194-3p	-0.0545	0.5513	0.916592276422764	0.0551	0.5465	0.849880228136882	0.1412
hsa-miR-194-5p	-0.0721	0.4298	0.909207	-0.0013	0.9888	0.996372235872236	0.1708
hsa-miR-197-5p	0.0963	0.2912	0.849175524475524	0.0805	0.3782	0.775472139303483	0.154
hsa-miR-199a-3p, hsa-miR-199b-3p	0.1045	0.2522	0.849161904761905	-0.0277	0.7624	0.950925	0.154
hsa-miR-200a-3p	-0.0509	0.5779	0.923607462686567	0.0927	0.31	0.741461988304094	0.1582
hsa-miR-200b-3p	-0.1028	0.2598	0.849161904761905	0.0728	0.4255	0.799050917431193	0.1351
hsa-miR-200c-3p	-0.0845	0.3547	0.863525595238095	0.0734	0.4216	0.799050917431193	0.1365
hsa-miR-21-5p	-0.1319	0.1475	0.826404109589041	0.0764	0.403	0.799050917431193	0.14
hsa-miR-2110	0.0559	0.5408	0.913433333333333	0.0694	0.4477	0.811758232931727	0.1162
hsa-miR-2110-3p:Novel	0.1325	0.1457	0.826404109589041	0.2153	0.0172	0.29758275862069	0.225
hsa-miR-2114-5p	0.0624	0.4949	0.913433333333333	0.0276	0.7626	0.950925	0.1144
hsa-miR-215-5p	-0.1625	0.0736	0.750742222222222	0.0641	0.4833	0.811758232931727	0.1202
hsa-miR-219a-5p	0.0937	0.3045	0.85055306122449	0.218	0.0158	0.29758275862069	0.2421
