miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-let-7a-3p	-0.1205	0.1974	0.656834523809524	0.1056	0.2591	0.812772180451128	0.1495
hsa-let-7b-5p	-0.1088	0.2452	0.656834523809524	0.1035	0.2688	0.816847887323944	0.1531
hsa-miR-10392-5p	0.0408	0.6635	0.934256849315068	0.1578	0.0906	0.75457536231884	0.182
hsa-miR-10397-3p	-0.1384	0.1385	0.583984536082474	-0.0715	0.4459	0.852210747663551	0.1651
hsa-miR-10400-5p	0.1059	0.2581	0.656834523809524	0.0825	0.3785	0.825865384615385	0.1565
hsa-miR-10401-5p	-0.0972	0.2991	0.679621666666667	-0.1265	0.1761	0.79899595959596	0.1685
hsa-miR-10523-3p:Novel	-0.176	0.0587	0.460703773584906	-0.2496	0.0069	0.3681	0.2393
hsa-miR-11399-3p:Novel	0.0092	0.9215	0.981495128205128	0.0896	0.3387	0.825865384615385	0.1587
hsa-miR-1181-3p:Novel	-0.1758	0.0591	0.460703773584906	-0.0696	0.4578	0.8589	0.1999
hsa-miR-1184	0.107	0.2529	0.656834523809524	-0.0242	0.7966	0.93178446866485	0.1498
hsa-miR-1202	0.0263	0.779	0.972860683760684	0.1316	0.159	0.787940963855422	0.1716
hsa-miR-1202-3p:Novel	-0.0142	0.8801	0.981495128205128	0.0074	0.9369	0.98003094629156	0.1499
hsa-miR-1203	0.0042	0.964	0.98569	-0.1295	0.1658	0.788513953488372	0.1713
hsa-miR-12117-3p:Novel	-0.0603	0.5201	0.838127952755905	-0.0298	0.7512	0.93178446866485	0.1668
hsa-miR-12118-3p:Novel	-0.0235	0.802	0.972860683760684	-0.0214	0.8198	0.93178446866485	0.1532
hsa-miR-12120-3p:Novel	-0.134	0.1517	0.603969902912621	-0.0611	0.5145	0.866610655737705	0.1698
hsa-miR-12121	-0.0487	0.6038	0.901292700729927	-0.0379	0.6866	0.900062179487179	0.1007
hsa-miR-12123	-0.0058	0.9504	0.982321158690176	0.0368	0.6953	0.908554952076677	0.133
hsa-miR-12126-5p:Novel	-0.0904	0.3346	0.699473469387755	0.0239	0.7992	0.93178446866485	0.1374
hsa-miR-12127	-0.1051	0.2615	0.656834523809524	-0.0438	0.6406	0.899535275080906	0.1161
hsa-miR-12128	-0.1917	0.0392	0.422633333333333	-0.0908	0.3325	0.825865384615385	0.1917
hsa-miR-12136	-0.0723	0.4402	0.792638427947598	-0.1016	0.278	0.816847887323944	0.146
hsa-miR-12136-3p:Novel	0.0174	0.8526	0.981495128205128	0.0845	0.3671	0.825865384615385	0.1839
