ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
has-miR-548o	0.472531355668545	-0.121731904717004	0.551027424719179	-0.220918051000895	0.825156241981228	NA	53_81_vs_37_53	NA	0.589	0.445	0.377	0	0	0
has-miR-548x	1.67875585033516	0.720757973284303	0.505030644410347	1.42715690871755	0.153534672053431	NA	53_81_vs_37_53	NA	1.852	0.923	2.352	0	0	0.084
hsa-let-7a-2-3p	0.569890448135439	-0.360030807346964	0.441720838004045	-0.815064122792565	0.415035606664355	NA	53_81_vs_37_53	NA	0.677	0.54	0.488	0	0	0
hsa-let-7a-3p	534.428735832435	-0.0136654970089191	0.335105048160691	-0.0407797408123979	0.96747149041153	0.99334401669653	53_81_vs_37_53	FALSE	750.204	555.93	276.185	21.77	15.454	13.356
hsa-let-7a-5p	14.2545033059458	0.00533810449519094	0.275992369745903	0.019341493027889	0.984568683461659	0.99334401669653	53_81_vs_37_53	FALSE	12.437	18.405	11.496	7.808	4.295	6.906
hsa-let-7b-3p	0.470368105074011	-1.15578463397628	0.674064224644869	-1.71465061001451	0.0864093038644653	NA	53_81_vs_37_53	NA	0.477	0.704	0.197	0	0	0
hsa-let-7b-5p	319.033725136674	0.332370291602823	0.353881434675202	0.9392136999441	0.347621036512544	0.889946590173461	53_81_vs_37_53	FALSE	411.971	375.092	154.507	13.989	10.223	11.267
hsa-let-7c-3p	4.06344818730709	-0.173453179422847	0.376134226697544	-0.461147024416694	0.644693125992025	0.961088675517342	53_81_vs_37_53	FALSE	6.17	2.761	3.264	0.409	0.496	0
hsa-let-7c-5p	23.6780984884947	0.0817860458693391	0.346652596910277	0.235930861612751	0.813486320037418	0.98759037505854	53_81_vs_37_53	FALSE	37.122	20.964	12.205	3.575	1.793	4.093
hsa-let-7d-3p	4.91113572196864	-0.125291174801781	0.392978227891666	-0.318824723379639	0.749859429335325	0.970407908886003	53_81_vs_37_53	FALSE	8.117	3.33	3.239	1.636	1.413	0.77
hsa-let-7d-5p	61.4386930829004	0.109164256705849	0.354447640261813	0.307984154232807	0.758094389773886	0.973459302179677	53_81_vs_37_53	FALSE	86.575	65.838	29.198	2.961	3.293	4.246
hsa-let-7e-3p	0.077571363360395	-0.519958409817453	1.37820011010205	-0.377273522187537	0.705970347073645	NA	53_81_vs_37_53	NA	0.103	0.083	0.043	0	0	0
hsa-let-7e-5p	6.95094202924967	0.591090554831616	0.332363942620037	1.77844368487155	0.0753310133210494	0.595184746683419	53_81_vs_37_53	FALSE	10.018	4.872	5.995	2.081	1.745	3.159
hsa-let-7f-1-3p	0.123785377612623	-0.754402572088455	1.32043039922072	-0.571330811933503	0.567775419253972	NA	53_81_vs_37_53	NA	0.116	0.122	0.134	0	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.215886009869965	0.417974901504234	-0.516504720960568	0.605501942531905	NA	53_81_vs_37_53	NA	0.661	0.485	0.45	0	0	0
hsa-let-7f-5p	1.94152510180154	-0.367926777550383	0.342076089771425	-1.07556999320306	0.282119613394054	NA	53_81_vs_37_53	NA	2.772	1.661	1.361	1.208	0.448	0.662
hsa-let-7g-3p	3.10102160605074	-0.493050360102829	0.351977014273432	-1.40080272321364	0.161273074088683	0.753003137807812	53_81_vs_37_53	FALSE	5.671	2.442	1.068	0.764	0	0
hsa-let-7g-5p	355.953910745183	0.193496161891152	0.391835922927328	0.493819352869897	0.621433764233171	0.952799553072694	53_81_vs_37_53	FALSE	470.097	414.573	165.538	9.466	5.345	6.615
hsa-let-7i-3p	0.310021668201733	-0.554041309921341	0.538224316899187	-1.0293873623423	0.303297685295601	NA	53_81_vs_37_53	NA	0.255	0.385	0.284	0	0	0
hsa-let-7i-5p	389.310207941621	-0.0106180638482953	0.38005444866367	-0.0279382701232155	0.977711385202529	0.99334401669653	53_81_vs_37_53	FALSE	494.295	498.389	151.347	10.131	5.639	7.905
hsa-miR-1-2-5p:Novel	8.51897987372947	0.0955076325161181	0.288780764973496	0.330727126250544	0.740850610499899	0.970407908886003	53_81_vs_37_53	FALSE	12.27	6.368	6.905	3.487	3.609	4.178
hsa-miR-1-3p	1.77994078240622	-0.1112137932828	0.283322623946397	-0.392534107349794	0.694663615312993	NA	53_81_vs_37_53	NA	1.823	1.814	1.695	0.91	1.078	1.223
hsa-miR-1-5p	11.8979326528047	-0.0556324604140773	0.264838680255968	-0.210061688724276	0.833619526299835	0.991746250441425	53_81_vs_37_53	FALSE	15.597	10.717	9.236	7.873	5.936	5.264
hsa-miR-100-3p	0.232401788571646	-0.155714493348993	0.638076809986966	-0.244037223907533	0.807201990759318	NA	53_81_vs_37_53	NA	0.268	0.217	0.211	0	0	0
hsa-miR-100-5p	7.91713435628907	1.40351653977561	0.543976145615541	2.58010677690186	0.00987697702586034	0.233433920440455	53_81_vs_37_53	FALSE	11.357	4.671	7.888	0.069	0.367	1.142
hsa-miR-101-2-5p	1.15334966874104	0.00639155367499867	0.358292126686801	0.017838945371484	0.985767335783069	NA	53_81_vs_37_53	NA	0.778	1.45	1.222	0.069	0.264	0.467
hsa-miR-101-3p	2.95533316450904	0.171668382466172	0.243745272430857	0.704294203346525	0.481249575476414	0.915957658913958	53_81_vs_37_53	FALSE	2.942	2.8	3.147	1.873	1.766	2.314
hsa-miR-101-5p	15.5263877770501	-0.592541886163662	0.383951157848417	-1.54327412237573	0.122764279553408	0.701820571606209	53_81_vs_37_53	FALSE	8.178	27.17	10.227	1.369	1.54	1.418
hsa-miR-10226	2.54379708201568	-0.550773162650415	0.307345799543488	-1.79203087684458	0.0731280201273816	0.595184746683419	53_81_vs_37_53	FALSE	3.414	2.65	1.48	1.962	1.345	0.903
hsa-miR-10226-3p:Novel	10.3985557476518	0.189848755921048	0.273868380203305	0.693211665326658	0.488176728537351	0.915957658913958	53_81_vs_37_53	FALSE	13.625	8.098	9.523	6.478	5.032	7.392
hsa-miR-10392-3p	1.26715670124506	0.953019233773178	0.3848690068417	2.47621714617609	0.0132782791883893	NA	53_81_vs_37_53	NA	1.21	0.88	1.77	0.543	0	0.467
hsa-miR-10392-5p	131.460449085105	0.171316331818199	0.198362495140454	0.86365283768434	0.387778628989104	0.900293797242876	53_81_vs_37_53	FALSE	135.14	130.808	128.218	67.019	94.485	92.635
hsa-miR-10393-3p	0.285659248288026	-0.245983664406408	0.771806200925473	-0.318711697459089	0.749945143598113	NA	53_81_vs_37_53	NA	0.39	0.322	0.131	0	0	0
hsa-miR-10393-5p	0.124257840991661	-0.27161671932319	1.7928663952386	-0.151498583522194	0.879582428127174	NA	53_81_vs_37_53	NA	0.275	0.045	0.051	0	0	0
hsa-miR-10394-3p	2.35991817264254	-0.255843856374581	0.380131300505965	-0.673040752061316	0.500921365167439	0.918434820903024	53_81_vs_37_53	FALSE	2.44	2.556	2.05	0.683	0.82	0.824
hsa-miR-10394-5p	0.730480195741912	0.0183700120568514	0.544440032633032	0.0337411118870337	0.973083595078087	NA	53_81_vs_37_53	NA	1.161	0.585	0.43	0	0	0
hsa-miR-10395-3p	1.18573342961718	0.0480934343428592	0.498543388512102	0.0964679011918974	0.923148966138681	NA	53_81_vs_37_53	NA	2.034	0.563	0.976	0	0	0
