ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	a.drinker.x	a.no_drinker.x	a.drinker.y	a.no_drinker.y
has-miR-548o	0.472531355668545	0.0774823083704707	0.800522918312284	0.096789619132734	0.922893467958773	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.417	1.1	0	0
has-miR-548x	1.67875585033516	0.0262205863476777	0.753193792213841	0.0348125364530797	0.972229224047616	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	1.683	1.628	0	0
hsa-let-7a-2-3p	0.569890448135439	0.464056677438746	0.648856324810674	0.715191729962947	0.474490578519074	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.596	0.274	0	0
hsa-let-7a-3p	534.428735832435	-0.274290813893704	0.494372255916275	-0.554826470561805	NA	NA	a.drinker_vs_a.no_drinker	NA	303.038	3128.443	15.422	33.166
hsa-let-7a-5p	14.2545033059458	1.07119465496706	0.405496070255062	2.64168936160903	0.00824936782005382	0.652824971577895	a.drinker_vs_a.no_drinker	FALSE	14.649	9.829	5.863	7.32
hsa-let-7b-3p	0.470368105074011	0.254665289213832	1.0164083733048	0.250554103943281	0.802158869677976	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	0.459	0.595	0	0
hsa-let-7b-5p	319.033725136674	-0.226960373515926	0.521780377378173	-0.43497299506806	NA	NA	a.drinker_vs_a.no_drinker	NA	197.628	1680.057	11.169	17.351
hsa-let-7c-3p	4.06344818730709	0.117855354293368	0.528034277219514	0.223196408600522	0.823382646968395	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	3.576	9.531	0.298	0.82
hsa-let-7c-5p	23.6780984884947	-0.181690996798596	0.504958863761065	-0.35981346172501	0.718986635525852	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	13.564	137.064	2.85	4.183
hsa-let-7d-3p	4.91113572196864	0.336001158615528	0.586962429544917	0.572440656680592	0.567023478614996	0.999744130083085	a.drinker_vs_a.no_drinker	FALSE	3.878	16.496	1.14	1.582
