ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no.x	yes.x	no.y	yes.y
has-miR-548o	0.590526924218119	1.10880158811027	0.936682644368394	1.18375374496015	0.236510557143123	NA	yes_vs_no	NA	0.327	0.779	0	0
has-miR-548x	1.95399684612723	0.119664846284747	0.752222371289831	0.159081743447165	0.873604471663261	NA	yes_vs_no	NA	2.731	1.272	0.364	0
hsa-let-7a-2-3p	0.521997086861559	0.875057898987608	0.824926753554984	1.06077042018165	0.288794248047218	NA	yes_vs_no	NA	0.325	0.614	0	0
hsa-let-7a-3p	734.90774367092	1.38175121461108	0.484378904752078	2.8526246726585	0.00433598002521497	0.0837177681791506	yes_vs_no	FALSE	123.656	1327.541	14.535	22.502
hsa-let-7a-5p	18.2026981662667	0.625215987291059	0.432540523596274	1.44545066458241	0.148331341157108	0.396155430142397	yes_vs_no	FALSE	11.626	22.5	7.161	7.752
hsa-let-7b-3p	0.561002579815261	0.937784542814462	1.11795917143254	0.838836128168075	0.401561273999399	NA	yes_vs_no	NA	0.334	0.712	0	0
hsa-let-7b-5p	444.92697583632	1.37814914717238	0.518114521210425	2.65993152238377	0.00781565399360541	0.104258904508125	yes_vs_no	FALSE	78.72	797.833	11.004	16.814
hsa-let-7c-3p	5.52428008215547	0.0992720131285394	0.589502235000497	0.168399723079007	0.866268825944359	0.942962863120198	yes_vs_no	FALSE	4.637	5.836	0.288	0.248
hsa-let-7c-5p	32.91428857325	0.968151798620732	0.504455359382985	1.91920212683419	0.0549587584823188	0.255949697595405	yes_vs_no	FALSE	8.559	55.778	2.828	2.959
hsa-let-7d-3p	5.46722742579595	1.49555618888483	0.517882050386059	2.88783167474129	0.00387907396692599	0.0837177681791506	yes_vs_no	FALSE	2.461	7.842	0.692	2.025
hsa-let-7d-5p	86.3110398131264	1.29754679862357	0.497573106122101	2.60775106744849	0.00911392065622861	0.1094367411373	yes_vs_no	FALSE	16.657	153.17	3.959	3.78
hsa-let-7e-3p	0.0954216179557762	0.825095706744262	2.18954780950746	0.376833839006178	0.706297091510482	NA	yes_vs_no	NA	0.065	0.108	0	0
hsa-let-7e-5p	8.24986628466064	1.30208308893601	0.492744939609589	2.64250930708223	0.00822942035220166	0.105591892817804	yes_vs_no	FALSE	3.564	12.26	3.035	1.948
hsa-let-7f-1-3p	0.15270136638033	0.984048701980393	2.38515547807363	0.412572140905111	0.679920115943028	NA	yes_vs_no	NA	0.158	0.143	0	0
hsa-let-7f-2-3p	0.570591126837175	-0.00967412200070105	0.70748835779086	-0.0136738956820556	0.989090149729297	NA	yes_vs_no	NA	0.461	0.604	0	0
hsa-let-7f-5p	2.24495921175798	0.449722411652205	0.536555280693831	0.83816603402106	0.401937460424046	NA	yes_vs_no	NA	1.251	2.772	0.807	1.148
hsa-let-7g-3p	2.91376556288025	0.99437001046668	0.529003302097202	1.87970473251218	0.0601483302520209	NA	yes_vs_no	NA	1.505	3.699	0.277	0.099
hsa-let-7g-5p	502.607637147254	1.54591045853136	0.568696995006735	2.71833765978147	0.00656108435582482	0.0980257246019065	yes_vs_no	FALSE	87.16	903.426	6.713	9.873
hsa-let-7i-3p	0.317818999205325	1.02214411186143	1.04794380645848	0.975380650719966	0.329371477986918	NA	yes_vs_no	NA	0.213	0.384	0	0
hsa-let-7i-5p	557.546446689883	1.44494083501673	0.54441711210701	2.65410620438528	0.00795187947498291	0.104258904508125	yes_vs_no	FALSE	84.991	1013.415	6.548	10.135
hsa-miR-1-2-5p:Novel	9.91990563943058	0.669041158978024	0.473300017685621	1.41356673141394	0.157489155170372	0.4092109518402	yes_vs_no	FALSE	5.271	12.184	3.368	4.216
hsa-miR-1-3p	1.95848828440311	0.673028558190699	0.445648820800326	1.5102217862532	0.130986841364382	NA	yes_vs_no	NA	1.689	2.038	1.331	0.693
hsa-miR-1-5p	12.0041051666854	0.470350456364747	0.413249471622776	1.13817557834434	0.255047174163201	0.508877907114176	yes_vs_no	FALSE	7.745	13.373	4.954	7.396
hsa-miR-100-3p	0.263971285568161	0.450202392129897	1.15708082434198	0.389084653948804	0.69721352521319	NA	yes_vs_no	NA	0.261	0.246	0	0
hsa-miR-100-5p	10.4753957123294	-0.388559781352898	0.832025921814708	-0.467004417969841	NA	NA	yes_vs_no	NA	6.683	13.404	0.859	0.139
hsa-miR-101-2-5p	1.37680209790895	0.714531970966047	0.559687050304417	1.2766633971206	0.201721109230069	NA	yes_vs_no	NA	1.194	1.357	0.647	0.289
hsa-miR-101-3p	3.36982087563934	0.33551560674036	0.38218806714564	0.877880906241128	0.380008352033801	NA	yes_vs_no	NA	2.956	3.314	2.339	1.986
hsa-miR-101-5p	20.2058215005029	1.62999337598252	0.570828744603426	2.85548580269015	0.00429710440297606	0.0837177681791506	yes_vs_no	FALSE	4.157	35.001	1.418	1.224
