ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
has-miR-548o	0.482823240473649	0.172854346174606	0.722770036060855	0.239155384908696	0.810985096580389	1	_16_vs_former	FALSE	0.244	0.358	0.526	2.91	0	0	0	0
has-miR-548x	1.71019385279228	-0.409143180207324	0.657659417207122	-0.622120157489465	0.533862861317756	1	_16_vs_former	FALSE	2.377	1.065	0.887	0.705	0	0	0	0
hsa-let-7a-2-3p	0.582280496450522	-0.0795808976871662	0.5735172509345	-0.138759379177341	0.889640294098641	1	_16_vs_former	FALSE	0.643	0.524	0.522	0.373	0	0	0	0
hsa-let-7a-3p	545.835883653848	-0.0518430652962762	0.418329020187806	-0.123928923871936	0.901371551537639	1	_16_vs_former	FALSE	138.076	102.619	193.388	6783.166	19.388	12.133	15.299	39.092
hsa-let-7a-5p	14.4832834314234	0.415293575111568	0.350322624218637	1.18546033399311	0.235835488946951	1	_16_vs_former	FALSE	13.692	8.13	15.297	48.239	6.883	4.146	8.163	6.801
hsa-let-7b-3p	0.480698235865222	-0.000606141419510721	0.903733212924139	-0.000670708358221644	0.999464852196296	1	_16_vs_former	FALSE	0.473	0.319	0.404	1.414	0	0	0	0
hsa-let-7b-5p	325.576365342963	-0.119349812325773	0.448931779412654	-0.265852893020673	0.790352505749851	1	_16_vs_former	FALSE	73.946	102.488	133.369	3874.255	13.365	8.247	11.853	19.499
hsa-let-7c-3p	4.15360253394004	-0.766014620533086	0.476836055547822	-1.60645280829914	0.108174455890455	0.953484541222135	_16_vs_former	FALSE	4.199	3.604	2.786	8.456	0	0.806	0.198	0.87
hsa-let-7c-5p	24.1345725633802	0.221232281613075	0.432949711297184	0.510988403134001	0.609359177226547	1	_16_vs_former	FALSE	7.838	4.893	14.821	270.667	2.893	2.917	2.522	4.452
hsa-let-7d-3p	4.98802947660127	0.683545312500695	0.498661016437821	1.37076147917796	0.170449322736206	1	_16_vs_former	FALSE	4.046	2.918	4.645	22.848	1.466	1.024	2.041	0
hsa-let-7d-5p	62.6685910720595	0.354361952059083	0.43784010321006	0.809341011618283	0.418319022346045	1	_16_vs_former	FALSE	14.557	21.987	22.964	737.136	3.341	2.782	4.361	6.277
hsa-let-7e-3p	0.0792749011251618	-0.639240119971949	1.90830069685726	-0.334978717465596	0.737641140673955	1	_16_vs_former	FALSE	0.115	0.061	0.003	0.012	0	0	0	0
hsa-let-7e-5p	7.09148982818418	-0.620975132450197	0.439009987020295	-1.41448976289801	0.157218151033637	1	_16_vs_former	FALSE	4.369	5.348	3.471	44.569	2.044	2.372	2.617	1.745
hsa-let-7f-1-3p	0.126336688110519	-0.367937231898939	1.82774681038401	-0.201306455472153	0.840458955154352	1	_16_vs_former	FALSE	0.144	0.063	0.173	0.178	0	0	0	0
hsa-let-7f-2-3p	0.545050262627577	-0.485256712551674	0.55361561311959	-0.876522809422376	0.380745881971316	1	_16_vs_former	FALSE	0.44	0.584	0.346	1.523	0	0	0	0
hsa-let-7f-5p	1.98393839625423	-0.295627849497441	0.4243589206404	-0.696645775824174	0.48602450100063	1	_16_vs_former	FALSE	1.965	1.895	1.741	2.668	0.666	0.794	1.109	1.554
hsa-let-7g-3p	3.1637586197932	-0.260288489148553	0.429117827985581	-0.606566477022016	0.544138653060946	1	_16_vs_former	FALSE	2.835	3.74	4.071	0.477	0	0	0.578	0
