ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	modAct.x	inactive.x	modInact.x	modAct.y	inactive.y	modInact.y
has-miR-548o	0.456174797804644	-0.728783334092648	0.77137502043878	-0.94478472180509	0.344768793404553	NA	modInact_vs_inactive	NA	0.296	1.514	0.477	0	0.574	0
has-miR-548x	1.75776823233766	1.98204072875401	0.76504796353287	2.59074048063765	0.00957696829035794	NA	modInact_vs_inactive	NA	1.264	0.633	2.494	0	0.147	0
hsa-let-7a-2-3p	0.587834483239343	0.239544316795833	0.639037989149218	0.374851449934533	0.707770947928445	NA	modInact_vs_inactive	NA	0.597	0.834	0.482	0	0	0
hsa-let-7a-3p	443.827434357223	-1.19598316218909	0.489086802217637	-2.44533926649875	NA	NA	modInact_vs_inactive	NA	221.916	1893.003	629.875	17.358	18.785	15.422
hsa-let-7a-5p	13.6079112998423	-0.566301437445945	0.399976909291063	-1.41583532521836	0.156823724263255	0.625241975081991	modInact_vs_inactive	FALSE	11.328	37.524	12.751	6.12	9.438	5.333
hsa-let-7b-3p	0.434462254486377	-1.55310173480512	0.98009115999473	-1.58465028376899	0.113045813468025	NA	modInact_vs_inactive	NA	0.251	2.362	0.33	0	0	0
hsa-let-7b-5p	267.441761365015	-1.54953652227012	0.509396182563008	-3.04190839136973	NA	NA	modInact_vs_inactive	NA	146.015	1190.286	346.283	11.169	15.235	12.966
hsa-let-7c-3p	3.71076339359523	-0.218779911680352	0.508518674515213	-0.430229847289131	0.667028452284393	0.912471140194161	modInact_vs_inactive	FALSE	3.684	8.509	3.589	0.198	1.459	0.277
hsa-let-7c-5p	19.928374473075	-0.896849836285128	0.494015513999057	-1.81542848528202	NA	NA	modInact_vs_inactive	NA	9.25	74.019	30.827	2.665	4.045	3.144
hsa-let-7d-3p	4.34898582159741	0.101460350657027	0.561106054555134	0.180822056424731	0.856507249960764	0.964617549010451	modInact_vs_inactive	FALSE	3.129	4.52	6.962	1.419	1.395	0.787
hsa-let-7d-5p	52.1829517559646	-1.41516674787569	0.508529073968229	-2.7828630068929	NA	NA	modInact_vs_inactive	NA	29.425	192.001	73.188	3.78	4.767	3.247
hsa-let-7e-3p	0.0755607995236198	0.280930711268537	2.15645395513368	0.130274384296381	0.896349345710549	NA	modInact_vs_inactive	NA	0.103	0.074	0.052	0	0	0
hsa-let-7e-5p	6.1783070517625	-0.643987346156892	0.464705419684295	-1.38579693474286	0.165808918643146	0.641187429456399	modInact_vs_inactive	FALSE	4.039	11.68	9.604	2.038	2.207	2.215
hsa-let-7f-1-3p	0.123155456027445	0.578947789938155	2.06364605805275	0.280546069263665	0.779058585725298	NA	modInact_vs_inactive	NA	0.15	0.015	0.124	0	0	0
hsa-let-7f-2-3p	0.57808125970411	-0.0983853023173134	0.602201752910563	-0.163375981291647	0.870222412939902	NA	modInact_vs_inactive	NA	0.393	0.614	0.697	0	0	0
