ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_modAct	Average_inactive	Average_modInact	Median_modAct	Median_inactive	Median_modInact
hsa-let-7a-2-3p	0.562876085633188	0.476877944560307	0.385992571648732	1.23545886524025	0.216659776531894	NA	modInact_vs_modAct	NA	0.381815524934495	0.402867348868631	0.889261393969124	0	0	0
hsa-let-7a-3p	537.845674841454	0.94550866131041	0.291585798536208	3.24264304385524	NA	NA	modInact_vs_modAct	NA	46.236077301425	28.2343055734919	1475.56191735074	14.3947031965405	15.2456481543312	21.2995608552745
hsa-let-7a-5p	14.253716496382	0.42169167488334	0.240497934493272	1.75341079652864	0.0795315191075713	0.323113062719723	modInact_vs_modAct	FALSE	10.5838686731041	13.1451570244864	19.2513545627078	4.83294029086618	4.15228239906743	8.10009436673245
hsa-let-7b-3p	0.472399670651828	0.580121429166	0.599289849529111	0.968014775524443	0.333036990527479	NA	modInact_vs_modAct	NA	0.279088546664206	0.271652328549979	0.842865036471612	0	0	0
hsa-let-7b-5p	321.057731259428	1.42895122494453	0.303307359818703	4.71123162259781	NA	NA	modInact_vs_modAct	NA	34.5475737183595	24.1191705332883	867.608395634062	9.06352512859902	12.165099131561	15.2611176704849
hsa-let-7c-3p	4.02114454436268	-0.111447685958171	0.329165787384167	-0.338576152897995	0.734929049846222	0.888812247502015	modInact_vs_modAct	FALSE	3.86460007956449	2.93387784545827	5.01239974525752	0	0.364527897454914	0.534447855622228
hsa-let-7c-5p	23.8050067293618	0.94815792339216	0.302416841780903	3.13526825360833	NA	NA	modInact_vs_modAct	NA	5.31008858398191	4.65854677674575	59.0649616838981	2.98780896382574	2.62356558784401	2.94580766445683
hsa-let-7d-3p	4.89419156909436	0.556180874788713	0.344474412026479	1.61457819614759	0.10640207034945	0.36815531163796	modInact_vs_modAct	FALSE	2.36904581553256	4.5794553624695	7.99161390207228	0.881942487028445	0.738858438763927	1.61081574730507
hsa-let-7d-5p	61.8068070467631	0.965001019526008	0.309378302480511	3.11916191856019	NA	NA	modInact_vs_modAct	NA	7.34960858900027	4.67501563859451	166.197947504041	3.34114338072032	2.70251843766618	4.23754343423465
hsa-let-7e-3p	0.077900208162606	-0.196664077298975	1.25656563752609	-0.156509195720301	0.875631671428201	NA	modInact_vs_modAct	NA	0.110021377947672	0.0720752066987719	0.0457512313055891	0	0	0
hsa-let-7e-5p	6.98308009235967	0.965141539396309	0.29139948749597	3.31209072359696	0.000926015106017021	0.0337626115446098	modInact_vs_modAct	TRUE	3.38077547555064	5.00568254323744	12.5443602567775	2.03821964866418	1.8700085345902	2.39379289198306
hsa-let-7f-1-3p	0.124169912282316	-0.19337353712359	1.20421777621649	-0.160580204795803	0.872424046832069	NA	modInact_vs_modAct	NA	0.189571996798807	0.0703172258867229	0.0906015293029224	0	0	0
hsa-let-7f-2-3p	0.535943224109526	0.031090409521258	0.368431110725684	0.0843859506327261	0.932749577212884	NA	modInact_vs_modAct	NA	0.562967178544217	0.332075127790766	0.657247096036116	0	0	0
hsa-let-7f-5p	1.9503997742703	0.199424858175637	0.293299112560175	0.679936793653687	0.496544483129122	NA	modInact_vs_modAct	NA	1.75904607757738	1.56951174413415	2.45237407387957	0.666131998054403	0.636530157000117	1.04200792112999
hsa-let-7g-3p	3.07740478889559	0.327739715989621	0.299973715004984	1.09256144653932	0.274586397825388	0.591737921627657	modInact_vs_modAct	FALSE	2.3099766982295	2.18894781239217	4.6158323665802	0	0.137942038942478	0.346295134676333
hsa-let-7g-5p	358.172757261355	1.20524851397515	0.337213270560521	3.5741431882908	NA	NA	modInact_vs_modAct	NA	34.4941464177296	19.0496433538754	978.337688580068	6.66131998054403	6.51773148790955	7.226916531029
hsa-let-7i-3p	0.311373207798076	0.150737146807898	0.473552288128206	0.318311516144735	0.750248649649756	NA	modInact_vs_modAct	NA	0.271688298467966	0.155245405749003	0.473583343965963	0	0	0
hsa-let-7i-5p	391.867982948106	1.37267288834415	0.326897879310321	4.19908777395611	NA	NA	modInact_vs_modAct	NA	31.3133216097893	22.2471670834055	1076.57402583239	6.51289660380276	6.70152993144205	9.08204304054169
hsa-miR-1-2-5p:Novel	8.53655959075167	0.388153510703574	0.255521712161728	1.51906273412061	0.128746705831936	0.408438432351943	modInact_vs_modAct	FALSE	8.58852089965225	7.05917086064063	9.58731049626219	3.33863538561228	3.6461221731462	4.20230923266086
hsa-miR-1-3p	1.75467153769047	0.32263760690904	0.249761971694931	1.29178034878393	0.196433222615111	NA	modInact_vs_modAct	NA	1.46983553990951	1.4806603703135	2.2850517443387	1.05110197384487	0.909544627958065	1.15937604548589
hsa-miR-1-5p	11.8913058227885	0.346714982109392	0.23349201655467	1.48491150672045	0.137567267494046	0.415916612286932	modInact_vs_modAct	FALSE	11.847952483228	10.8089149232278	12.7585411448857	6.47462178312189	6.01997517122638	6.46517514616908
hsa-miR-100-3p	0.233363052527815	-0.0966915016094236	0.57006346170367	-0.169615329002941	0.865312666435022	NA	modInact_vs_modAct	NA	0.21997588089395	0.279601561810048	0.214041450983369	0	0	0
hsa-miR-100-5p	7.92546196937314	0.164172886208376	0.486143882015561	0.337704314055568	0.735586023425611	0.888812247502015	modInact_vs_modAct	FALSE	4.45616278169869	3.60400898212782	15.0799767950234	0	0.268973831914053	0.758944958502633
hsa-miR-101-2-5p	1.14860098347448	0.0342446560183548	0.321392682335221	0.106550826762872	0.915145330964746	NA	modInact_vs_modAct	NA	1.24976018412212	0.881106723594357	1.23532655285515	0	0.50360341156205	0.432736656178044
hsa-miR-101-3p	2.95334688096816	-0.174577399056703	0.215641538502017	-0.809572220034362	0.418186079650076	0.718265261272447	modInact_vs_modAct	FALSE	3.33553003949522	2.57259709586507	2.8064200837128	1.93808455821598	1.90785877674011	2.04176639078519
hsa-miR-101-5p	15.5867845872653	1.41068068525334	0.331460618255329	4.25595261566388	2.08160793069402e-05	0.00738970815396376	modInact_vs_modAct	TRUE	2.25847911021326	2.45836172937696	40.5328675654673	1.19418668024306	1.18484663999696	1.60165043756325
hsa-miR-10226	2.55013122421107	0.281702955186364	0.273849124435405	1.02867940793001	0.303630349470367	0.618054897144382	modInact_vs_modAct	FALSE	1.93722944390364	2.78981241122384	3.0675761198076	1.38014767891898	1.32123292576973	1.67448575759999
hsa-miR-10226-3p:Novel	10.412205164902	0.308868499490429	0.242047449187632	1.27606591404728	0.20193221963525	0.506972687203068	modInact_vs_modAct	FALSE	8.78872531542771	9.29514689103301	13.0929331333593	5.6705914708929	4.96664006354671	6.03121757353221
hsa-miR-10392-3p	1.26303817188185	-0.0316235785668695	0.344642139629679	-0.0917577246962585	0.92689053311093	NA	modInact_vs_modAct	NA	1.46505392263165	0.984707783899332	1.24276952433347	0.370959487290253	0.404635458541959	0.351167275641288
hsa-miR-10392-5p	131.636793563749	-0.286433009496291	0.173021353425915	-1.65547779984819	0.0978276160114083	0.355778632340693	modInact_vs_modAct	FALSE	142.575323272203	88.1264674139818	151.788468869564	93.8461852593565	68.7777982287348	82.7347193818283
hsa-miR-10393-3p	0.287235763726644	0.0177560836295136	0.693215002881911	0.0256141075361844	0.979565133575622	NA	modInact_vs_modAct	NA	0.133071525017935	0.496135507482152	0.304941329715761	0	0	0
