ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
has-miR-548o	0.482823240473649	0.224963596721419	0.601450221812618	0.374035271021159	0.708378075111208	0.892528303300844	nowine_vs_all	FALSE	1.1	0.449	0.259	0	0	0
has-miR-548x	1.71019385279228	1.09539971142989	0.53452893567941	2.04928047541073	0.0404346967288711	0.269593945364017	nowine_vs_all	FALSE	1.628	1.343	3.357	0	0	0.27
hsa-let-7a-2-3p	0.582280496450522	0.289537432584002	0.48624870136866	0.595451323096662	0.551541827643044	0.821154750185056	nowine_vs_all	FALSE	0.274	0.624	0.459	0	0	0
hsa-let-7a-3p	545.835883653848	-0.375327416868433	0.368423168452522	-1.01873999522047	NA	NA	nowine_vs_all	NA	3128.443	359.241	26.704	33.166	15.972	12.188
hsa-let-7a-5p	14.4832834314234	0.634871993672707	0.294390019865072	2.15656765118494	0.0310393673189146	0.241654136019819	nowine_vs_all	FALSE	9.829	14.453	15.616	7.32	5.802	6.284
hsa-let-7b-3p	0.480698235865222	-0.187446040621067	0.75050227201643	-0.249760790353695	0.802772343650823	0.932190996175275	nowine_vs_all	FALSE	0.595	0.496	0.278	0	0	0
hsa-let-7b-5p	325.576365342963	-0.123615502318594	0.388117843305046	-0.318499920709486	NA	NA	nowine_vs_all	NA	1680.057	233.196	22.753	17.351	10.84	12.472
hsa-let-7c-3p	4.15360253394004	-0.00350534905252524	0.42398371533058	-0.00826765020866925	0.993403444694671	0.996513111416201	nowine_vs_all	FALSE	9.531	3.746	2.738	0.82	0.499	0
hsa-let-7c-5p	24.1345725633802	0.148839035753877	0.388228427941059	0.383380054220229	0.701437990094018	0.890894630602885	nowine_vs_all	FALSE	137.064	15.363	4.72	4.183	2.85	2.723
hsa-let-7d-3p	4.98802947660127	-0.0034395930407906	0.428063835364898	-0.00803523389883792	0.993588879918729	0.996513111416201	nowine_vs_all	FALSE	16.496	4.157	2.506	1.582	1.074	1.309
hsa-let-7d-5p	62.6685910720595	-0.523413157017444	0.401691767939255	-1.30302186600099	NA	NA	nowine_vs_all	NA	359.981	41.066	4.039	6.038	3.371	2.697
hsa-let-7e-3p	0.0792749011251618	0.383560373397499	1.54244624772072	0.248670171789966	0.803615923639339	NA	nowine_vs_all	NA	0.272	0.063	0.045	0	0	0
hsa-let-7e-5p	7.09148982818418	-0.162134704398992	0.37606358380619	-0.431136412513026	0.666369185938753	0.875644512970931	nowine_vs_all	FALSE	32.399	4.963	3.292	2.652	2.098	2.351
hsa-let-7f-1-3p	0.126336688110519	-0.00425961213153696	1.47491848118827	-0.00288803224440254	0.997695686864366	NA	nowine_vs_all	NA	0.051	0.139	0.089	0	0	0
hsa-let-7f-2-3p	0.545050262627577	0.388664435664472	0.455160369419855	0.853906582771828	0.393156751904159	0.70850633272176	nowine_vs_all	FALSE	1.469	0.468	0.36	0.333	0	0
hsa-let-7f-5p	1.98393839625423	0.16155426461318	0.369848035649608	0.436812552835175	0.662247294632507	0.872998618700032	nowine_vs_all	FALSE	2.096	1.953	1.803	1.006	0.67	0.741
hsa-let-7g-3p	3.1637586197932	0.608264560288098	0.377107525124015	1.61297380657696	0.106750198604728	0.417957889223847	nowine_vs_all	FALSE	3.646	3.095	2.843	0.666	0.099	0
hsa-let-7g-5p	363.341853496098	-0.145821092809077	0.426537054298863	-0.341872039813226	NA	NA	nowine_vs_all	NA	1957.155	252.423	19.904	11.731	6.568	7.227
hsa-let-7i-3p	0.31660162036802	0.180191287668981	0.586562483206438	0.307198794379019	0.758692063138539	NA	nowine_vs_all	NA	0.293	0.327	0.235	0	0	0
hsa-let-7i-5p	395.441775918989	-0.0798315900946121	0.405359627649038	-0.196940160414126	NA	NA	nowine_vs_all	NA	2085.458	283.276	15.456	9.961	8.005	6.142
hsa-miR-1-2-5p:Novel	8.58091814941217	-0.0583038921986475	0.318565694130675	-0.183019996417854	0.854782328744451	0.950864107367309	nowine_vs_all	FALSE	7.985	7.83	12.189	3.804	4.123	3.244
hsa-miR-1-3p	1.81295966087876	0.0247140099521107	0.321379581174151	0.07689975157046	0.938703295181572	0.980431705527561	nowine_vs_all	FALSE	2.008	1.774	1.687	1.369	1.132	0.351
hsa-miR-1-5p	11.3434619956984	0.371311266861187	0.279209258709124	1.32986731377706	0.183561992539324	0.528162448138802	nowine_vs_all	FALSE	8.028	11.526	15.771	5.739	6.475	7.387
hsa-miR-100-3p	0.237372480447786	0.5558178387467	0.691827421514444	0.803405331245744	0.421740494616628	NA	nowine_vs_all	NA	0.29	0.21	0.312	0	0	0
