ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
has-miR-548o	0.482823240473649	0.93979571330357	0.952095097416125	0.987081769304417	0.323602554258838	NA	16__vs_former	NA	0.244	0.358	0.526	2.91	0	0	0	0
has-miR-548x	1.71019385279228	0.271586637257663	0.888344567870556	0.305722179298829	0.759816184715762	0.92050175345979	16__vs_former	FALSE	2.377	1.065	0.887	0.705	0	0	0	0
hsa-let-7a-2-3p	0.582280496450522	0.347140709212875	0.769922444491779	0.45087750291787	0.652077838641951	NA	16__vs_former	NA	0.643	0.524	0.522	0.373	0	0	0	0
hsa-let-7a-3p	545.835883653848	4.77611774679998	0.555446890440116	8.59869382474274	8.06284734050827e-18	8.62250458863815e-15	16__vs_former	TRUE	138.076	102.619	193.388	6783.166	19.388	12.133	15.299	39.092
hsa-let-7a-5p	14.4832834314234	1.44009384614516	0.465917506783468	3.09087730162163	0.00199566081055835	0.0289597597168524	16__vs_former	TRUE	13.692	8.13	15.297	48.239	6.883	4.146	8.163	6.801
hsa-let-7b-3p	0.480698235865222	0.782222122686757	1.20214160595554	0.650690500030567	0.515246296877297	NA	16__vs_former	NA	0.473	0.319	0.404	1.414	0	0	0	0
hsa-let-7b-5p	325.576365342963	4.04215017406883	0.596319050820734	6.77850249544347	1.21427879995585e-11	2.38559081160558e-09	16__vs_former	TRUE	73.946	102.488	133.369	3874.255	13.365	8.247	11.853	19.499
hsa-let-7c-3p	4.15360253394004	1.24738401656212	0.619864102973095	2.01235078879259	0.0441829721173554	0.259120949187745	16__vs_former	FALSE	4.199	3.604	2.786	8.456	0	0.806	0.198	0.87
hsa-let-7c-5p	24.1345725633802	3.40494582027763	0.561250473044	6.06671349747031	1.30554143512153e-09	1.66717641265019e-07	16__vs_former	TRUE	7.838	4.893	14.821	270.667	2.893	2.917	2.522	4.452
hsa-let-7d-3p	4.98802947660127	-0.0794265618461674	0.706725324278869	-0.112386749303505	0.910516761287393	0.972392302711745	16__vs_former	FALSE	4.046	2.918	4.645	22.848	1.466	1.024	2.041	0
hsa-let-7d-5p	62.6685910720595	4.87254588664445	0.568394145315037	8.57247726213612	1.01282356170378e-17	8.62250458863815e-15	16__vs_former	TRUE	14.557	21.987	22.964	737.136	3.341	2.782	4.361	6.277
hsa-let-7e-3p	0.0792749011251618	0.133576443075799	2.55120466847965	0.0523581838517886	0.958243292840294	NA	16__vs_former	NA	0.115	0.061	0.003	0.012	0	0	0	0
hsa-let-7e-5p	7.09148982818418	0.756364377710809	0.564804338440774	1.33916177024926	0.180518014970456	0.535000730362827	16__vs_former	FALSE	4.369	5.348	3.471	44.569	2.044	2.372	2.617	1.745
hsa-let-7f-1-3p	0.126336688110519	0.422381643141284	2.43933441422135	0.173154464053306	0.862530015323141	NA	16__vs_former	NA	0.144	0.063	0.173	0.178	0	0	0	0
hsa-let-7f-2-3p	0.545050262627577	-0.0869091073373763	0.730161094398605	-0.119027305075682	0.905253723231798	NA	16__vs_former	NA	0.44	0.584	0.346	1.523	0	0	0	0
hsa-let-7f-5p	1.98393839625423	-0.588982853650208	0.59892284717715	-0.983403549265501	0.325408864153662	0.681576014492379	16__vs_former	FALSE	1.965	1.895	1.741	2.668	0.666	0.794	1.109	1.554
hsa-let-7g-3p	3.1637586197932	0.494224811853818	0.627775240232661	0.787263944450331	0.431127371591149	0.754802312287074	16__vs_former	FALSE	2.835	3.74	4.071	0.477	0	0	0.578	0
hsa-let-7g-5p	363.341853496098	5.47225844894867	0.656094858114813	8.34065132696263	7.38824469038519e-17	4.71739423481094e-14	16__vs_former	TRUE	77.191	114.184	134.135	4399.409	8.124	4.867	4.896	9.497
hsa-let-7i-3p	0.31660162036802	0.870970718527365	0.925795855428052	0.940780533225289	0.346817338824218	NA	16__vs_former	NA	0.242	0.225	0.436	1.088	0	0	0	0
hsa-let-7i-5p	396.674351708047	5.6193143401223	0.625621430062196	8.98197227605145	NA	NA	16__vs_former	NA	64.852	135.134	137.293	4932.715	7.641	6.377	9.592	9.085
hsa-miR-1-2-5p:Novel	8.58091814941217	0.657808903075693	0.491422517342339	1.33858111881643	0.180707076198277	0.535000730362827	16__vs_former	FALSE	7.564	8.645	7.498	17.278	3.441	4.186	3.33	3.682
hsa-miR-1-3p	1.81295966087876	-0.630156643704964	0.530340382632774	-1.18821169260517	0.234750018216965	0.594704956027396	16__vs_former	FALSE	1.782	1.759	1.9	1.787	1.088	1.316	1.02	0.468
hsa-miR-1-5p	11.3434619956984	0.137289005175625	0.452449557127863	0.303434942111848	0.761558420148996	0.92050175345979	16__vs_former	FALSE	11.225	12.014	8.66	12.239	6.475	6.693	4.639	5.732
hsa-miR-100-3p	0.237372480447786	0.395841296467058	1.13703769389967	0.348133838122331	0.727739672774799	NA	16__vs_former	NA	0.194	0.28	0.307	0.191	0	0	0	0
hsa-miR-100-5p	8.07805130086412	-0.0470473013129623	0.929957707691712	-0.0505907966822926	0.959651596619178	0.98748999909967	16__vs_former	FALSE	4.671	7.302	1.686	51.906	0.419	0.612	0.37	0.319
hsa-miR-101-2-5p	1.17779876591377	0.647086873651828	0.607897027306866	1.06446790259624	0.287116787384881	0.646076013199108	16__vs_former	FALSE	1.353	0.878	0.7	1.964	0.519	0	0.139	0.768
hsa-miR-101-3p	3.01246083249487	0.707714055299751	0.415000726613004	1.70533208718863	0.0881325064429201	0.390270210106904	16__vs_former	FALSE	3.074	2.632	2.73	4.385	2.085	1.858	1.792	2.717
hsa-miR-101-5p	15.7321033637468	3.69730390021328	0.612241514985156	6.03896307211856	1.55107733598952e-09	1.88640548386535e-07	16__vs_former	TRUE	5.836	14.506	6.029	121.664	1.38	1.322	1.358	2.255
hsa-miR-10226	2.52905127272241	-1.18361089109372	0.585635782102242	-2.0210699674889	0.0432725227257577	0.2577415727934	16__vs_former	FALSE	2.336	2.725	2.894	1.885	1.333	1.455	1.85	0
hsa-miR-10226-3p:Novel	10.5521557801129	0.267055503797306	0.471653468598811	0.566211258004049	0.57125017773785	0.843336967596803	16__vs_former	FALSE	8.141	11.417	12.229	20.733	4.766	6.206	7.565	7.455
hsa-miR-10392-3p	1.29431974221773	-0.368914049677011	0.710808331498646	-0.519006366876996	0.603756301334231	0.856187447866533	16__vs_former	FALSE	1.709	1.025	0.647	0.253	0.526	0.35	0	0
hsa-miR-10392-5p	133.973309876585	0.313005402239176	0.34751148263072	0.900705207982403	0.367745078911119	0.713310760704445	16__vs_former	FALSE	106.145	135.187	126.059	349.369	78.409	92.657	70.153	84.063
hsa-miR-10393-3p	0.291932199581347	0.924604801094714	1.37052794776766	0.674634036176149	0.499908303053873	NA	16__vs_former	NA	0.378	0.107	0.12	0.787	0	0	0	0
hsa-miR-10393-5p	0.127057997458076	0.67168558136778	3.43642442766299	0.195460600256696	0.845032379194881	NA	16__vs_former	NA	0.209	0.01	0.093	0.07	0	0	0	0
hsa-miR-10394-3p	2.39452150517589	0.494918664386917	0.662661467811373	0.746865010910512	0.455145048244068	0.768809823555126	16__vs_former	FALSE	2.582	2.103	1.712	3.214	0.794	0.837	0.504	1.336
hsa-miR-10394-5p	0.692080497533452	-0.473523678568256	0.970669307411705	-0.487832132892828	0.62566874908988	NA	16__vs_former	NA	0.77	0.734	0.45	0.195	0	0	0	0
hsa-miR-10395-3p	1.20695765698872	0.65516199702867	0.871332229099916	0.751908371053198	0.45210616367104	0.766719217806	16__vs_former	FALSE	0.914	0.645	1.014	6.6	0	0	0	0
hsa-miR-10395-5p	2.60248748651653	-0.420873872881754	0.527318787381546	-0.798139347493468	0.424789629906006	0.75376759756097	16__vs_former	FALSE	2.957	2.092	3.07	0.677	1.721	1.396	1.261	0
