ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.28.x	light.28.x	heavy.28.x	abstemious.28.y	light.28.y	heavy.28.y
has-miR-548o	0.472531355668545	-0.0686038416560331	0.831328128971729	-0.082523180998205	0.934230685429399	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.1	0.369	0.574	0	0	0
has-miR-548x	1.67875585033516	0.472810105572267	0.774807169683586	0.610229388772114	0.541709864340493	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.628	1.894	0.979	0	0	0
hsa-let-7a-2-3p	0.569890448135439	0.436625842369563	0.673003191925598	0.648772320262388	0.516485551149177	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.274	0.583	0.641	0	0	0
hsa-let-7a-3p	534.428735832435	-0.111074291721628	0.513523732437425	-0.216298263751935	0.828755262359821	0.999665900789424	light.28_vs_abstemious.28	FALSE	3128.443	340.014	179.281	33.166	14.81	21.761
hsa-let-7a-5p	14.2545033059458	1.05935866844387	0.421297376978985	2.51451522447222	0.0119196156053526	0.701504647903891	light.28_vs_abstemious.28	FALSE	9.829	14.862	13.938	7.32	5.938	5.362
hsa-let-7b-3p	0.470368105074011	0.387408061266138	1.06092402596528	0.36516098399568	0.714991240534729	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.595	0.537	0.199	0	0	0
hsa-let-7b-5p	319.033725136674	0.0131490080927898	0.541611689597785	0.0242775559415171	0.98063121561828	0.999665900789424	light.28_vs_abstemious.28	FALSE	1680.057	205.592	170.971	17.351	10.131	13.365
hsa-let-7c-3p	4.06344818730709	-0.0808542675244444	0.544659785671617	-0.148449123014917	0.881988334932165	0.999665900789424	light.28_vs_abstemious.28	FALSE	9.531	3.774	2.913	0.82	0.223	0.826
hsa-let-7c-5p	23.6780984884947	-0.00777024256318857	0.525180092014443	-0.0147953867279777	0.98819542003746	0.999665900789424	light.28_vs_abstemious.28	FALSE	137.064	14.407	10.741	4.183	2.576	3.061
hsa-let-7d-3p	4.91113572196864	0.771987144633005	0.600743413458061	1.28505303152508	0.198773752963157	0.999665900789424	light.28_vs_abstemious.28	FALSE	16.496	4.03	3.368	1.582	1.422	0
hsa-let-7d-5p	61.4386930829004	-0.00996482727959599	0.540112905493539	-0.0184495263457748	0.985280242843462	0.999665900789424	light.28_vs_abstemious.28	FALSE	359.981	35.104	33.819	6.038	2.946	4.716
hsa-let-7e-3p	0.077571363360395	-0.554175751297391	2.20610724117642	-0.251200730841115	0.801658919547173	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.272	0.064	0.048	0	0	0
hsa-let-7e-5p	6.95094202924967	-0.417401847396976	0.500176561249824	-0.834509010886049	0.403994211765988	0.999665900789424	light.28_vs_abstemious.28	FALSE	32.399	4.373	5.712	2.652	2.035	3.081
hsa-let-7f-1-3p	0.123785377612623	0.466638094922599	2.10632619201424	0.221541229792315	0.824671037303761	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.051	0.086	0.278	0	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.769076190166048	0.608632272846893	-1.26361388391167	0.206368647832153	0.999665900789424	light.28_vs_abstemious.28	FALSE	1.469	0.46	0.414	0.333	0	0
hsa-let-7f-5p	1.94152510180154	0.031760523283708	0.519470202902601	0.0611402215300172	0.951247536901541	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.096	1.859	2.159	1.006	0.696	0.658
hsa-let-7g-3p	3.10102160605074	-0.205033938795773	0.508979934245429	-0.402833049007598	0.687071046729784	0.999665900789424	light.28_vs_abstemious.28	FALSE	3.646	3.077	2.969	0.666	0.049	0
hsa-let-7g-5p	355.953910745183	0.0767407810819256	0.598011613970278	0.128326573078461	0.897890536680773	0.999665900789424	light.28_vs_abstemious.28	FALSE	1957.155	221.156	186.24	11.731	6.691	5.362
hsa-let-7i-3p	0.310021668201733	0.502416129378661	0.832842557326185	0.60325463073315	0.546339309711941	0.999665900789424	light.28_vs_abstemious.28	FALSE	0.293	0.344	0.204	0	0	0
hsa-let-7i-5p	388.102227217454	0.476393401643743	0.574828092126693	0.828758037696504	NA	NA	light.28_vs_abstemious.28	NA	2085.458	247.674	205.667	9.961	7.018	9.869
hsa-miR-1-2-5p:Novel	8.51897987372947	0.356824393549409	0.455051936282874	0.784139930189411	0.432958007726713	0.999665900789424	light.28_vs_abstemious.28	FALSE	7.985	8.002	10.457	3.804	3.599	4.783
hsa-miR-1-3p	1.77994078240622	0.144642019354375	0.429294581752825	0.336929524625715	0.736170027851964	0.999665900789424	light.28_vs_abstemious.28	FALSE	2.008	1.804	1.611	1.369	1.085	0.832
