ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
has-miR-548o	0.482823240473649	-0.0695532387322841	0.50316265138642	-0.138232117468648	0.890056972675655	NA	former_vs_never	NA	0.244	0.358	0.526	2.91	0	0	0	0
has-miR-548x	1.71019385279228	-1.25980814712761	0.446516125986196	-2.82141690704931	0.00478120219373638	NA	former_vs_never	NA	2.377	1.065	0.887	0.705	0	0	0	0
hsa-let-7a-2-3p	0.582280496450522	-0.0436563831239341	0.400769173499412	-0.108931489771875	0.91325683002751	NA	former_vs_never	NA	0.643	0.524	0.522	0.373	0	0	0	0
hsa-let-7a-3p	545.835883653848	-0.30347972425144	0.292387519796811	-1.03793665496509	0.299299546998255	0.714559998790214	former_vs_never	FALSE	138.076	102.619	193.388	6783.166	19.388	12.133	15.299	39.092
hsa-let-7a-5p	14.4832834314234	-0.345057145609805	0.247380929924011	-1.39484133120446	0.163063692179484	0.597214685949791	former_vs_never	FALSE	13.692	8.13	15.297	48.239	6.883	4.146	8.163	6.801
hsa-let-7b-3p	0.480698235865222	-0.581523974934529	0.628101843194812	-0.925843445987411	0.354527345168625	NA	former_vs_never	NA	0.473	0.319	0.404	1.414	0	0	0	0
hsa-let-7b-5p	325.576365342963	0.0333841050873853	0.313857426511484	0.106367102599574	0.915291093293598	0.976679770438703	former_vs_never	FALSE	73.946	102.488	133.369	3874.255	13.365	8.247	11.853	19.499
hsa-let-7c-3p	4.15360253394004	0.12572662190222	0.328003076388674	0.383309276505803	0.701490461914045	0.904724354172906	former_vs_never	FALSE	4.199	3.604	2.786	8.456	0	0.806	0.198	0.87
hsa-let-7c-5p	24.1345725633802	-0.476169561718288	0.307367258269854	-1.54918765387897	0.121336616478362	0.528446508578748	former_vs_never	FALSE	7.838	4.893	14.821	270.667	2.893	2.917	2.522	4.452
hsa-let-7d-3p	4.98802947660127	-0.676311630703752	0.355118132284707	-1.90446944050026	0.0568490729740539	0.383220009904234	former_vs_never	FALSE	4.046	2.918	4.645	22.848	1.466	1.024	2.041	0
hsa-let-7d-5p	62.6685910720595	-0.229456066091374	0.309865272050567	-0.740502685483027	0.458995032289639	0.810703761084621	former_vs_never	FALSE	14.557	21.987	22.964	737.136	3.341	2.782	4.361	6.277
hsa-let-7e-3p	0.0792749011251618	-0.392885785324851	1.32290386649211	-0.296987404206967	0.76647612552572	NA	former_vs_never	NA	0.115	0.061	0.003	0.012	0	0	0	0
hsa-let-7e-5p	7.09148982818418	0.172510216783839	0.303086837732645	0.569177527055831	0.569235669955446	0.860195482956927	former_vs_never	FALSE	4.369	5.348	3.471	44.569	2.044	2.372	2.617	1.745
hsa-let-7f-1-3p	0.126336688110519	-0.255766469872984	1.26704364926826	-0.201860819886271	0.840025532694031	NA	former_vs_never	NA	0.144	0.063	0.173	0.178	0	0	0	0
hsa-let-7f-2-3p	0.545050262627577	0.093282539010993	0.380043186137089	0.245452470702485	0.806106105516004	NA	former_vs_never	NA	0.44	0.584	0.346	1.523	0	0	0	0
hsa-let-7f-5p	1.98393839625423	0.325766989847583	0.300271579117471	1.0849078384476	0.277962475962912	NA	former_vs_never	NA	1.965	1.895	1.741	2.668	0.666	0.794	1.109	1.554
hsa-let-7g-3p	3.1637586197932	0.269014542152894	0.306495095061313	0.877712389162634	0.380099819401402	0.763458801241402	former_vs_never	FALSE	2.835	3.74	4.071	0.477	0	0	0.578	0
hsa-let-7g-5p	363.341853496098	-0.161921675359649	0.346467250100708	-0.467350594645188	0.640249063736866	0.884737135884778	former_vs_never	FALSE	77.191	114.184	134.135	4399.409	8.124	4.867	4.896	9.497
hsa-let-7i-3p	0.31660162036802	-0.0332982755893162	0.489250627327532	-0.0680597504211773	0.945738070538878	NA	former_vs_never	NA	0.242	0.225	0.436	1.088	0	0	0	0
hsa-let-7i-5p	396.674351708047	-0.164033422804029	0.33127203173671	-0.495162304961502	NA	NA	former_vs_never	NA	64.852	135.134	137.293	4932.715	7.641	6.377	9.592	9.085
hsa-miR-1-2-5p:Novel	8.58091814941217	0.588878388438066	0.257662749412816	2.28546186742186	0.0222857599187394	0.281760638735703	former_vs_never	FALSE	7.564	8.645	7.498	17.278	3.441	4.186	3.33	3.682
hsa-miR-1-3p	1.81295966087876	0.0159660537648151	0.252273947294365	0.0632885556992737	0.9495367287236	NA	former_vs_never	NA	1.782	1.759	1.9	1.787	1.088	1.316	1.02	0.468
hsa-miR-1-5p	11.3434619956984	0.201948306799494	0.231934976303367	0.87071087775631	0.383912037571924	0.766908366906963	former_vs_never	FALSE	11.225	12.014	8.66	12.239	6.475	6.693	4.639	5.732
hsa-miR-100-3p	0.237372480447786	0.117437870167184	0.590491835455965	0.198881446136341	0.842355483430654	NA	former_vs_never	NA	0.194	0.28	0.307	0.191	0	0	0	0
hsa-miR-100-5p	8.07805130086412	1.4349656336179	0.487420493572623	2.94399938562308	0.00324000642741169	0.126495250936865	former_vs_never	FALSE	4.671	7.302	1.686	51.906	0.419	0.612	0.37	0.319
