ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
has-miR-548o	0.287925216163174	0.161405948230892	2.53521294748981	0.0636656373937759	0.949236466602303	NA	a.no_drinker_vs_a.drinker	NA	0.298792780381634	0.819544209917442	0	1.30347504090334
has-miR-548x	1.36713054679273	-1.55890548956355	1.54501356984497	-1.00899145482585	0.312978732350495	NA	a.no_drinker_vs_a.drinker	NA	1.55684599555533	0.295243993802183	0	0.146758758346356
hsa-let-7a-2-3p	0.638897923688425	-2.67349773240995	1.32403655343231	-2.01920235923957	0.0434661912221626	NA	a.no_drinker_vs_a.drinker	NA	0.712761274170731	0.117407006677085	0	0
hsa-let-7a-3p	137.524839917561	-0.360198466595688	0.80996059326592	-0.444711100256491	NA	NA	a.no_drinker_vs_a.drinker	NA	159.78637672273	25.8561155565589	15.4690236278502	18.7851210683336
hsa-let-7a-5p	8.92447060168507	-0.240449178707068	0.709476781879386	-0.338910567404509	0.73467710344478	0.92460314783625	a.no_drinker_vs_a.drinker	FALSE	9.59056116517887	7.71202519428746	4.23737818104111	7.31958632117258
hsa-let-7b-3p	0.294680240946625	-0.555650758743068	2.75351236582244	-0.201797081298781	0.840075363397661	NA	a.no_drinker_vs_a.drinker	NA	0.305198564178095	0.0587035033385424	0	0
hsa-let-7b-5p	73.1459732231244	0.175454067335519	0.869154035344656	0.201867632434042	NA	NA	a.no_drinker_vs_a.drinker	NA	86.3016461793923	13.6428759588243	9.51161725236062	9.12432528632336
hsa-let-7c-3p	2.40175442813894	0.361668277632754	0.923338959226305	0.391696109017004	0.695282765334582	NA	a.no_drinker_vs_a.drinker	NA	1.92363683651621	10.8660711284322	0.364527897454914	1.32665842522031
hsa-let-7c-5p	6.4291207821317	-0.050925781518818	0.823332667256053	-0.061853225973093	0.950679716397563	0.983688783718138	a.no_drinker_vs_a.drinker	FALSE	7.24062247900704	4.41994397788905	2.89275075094738	4.18262075495576
hsa-let-7d-3p	2.77160257766232	-0.295881953209606	1.2857594805103	-0.230122318905379	0.817996722270705	0.954577068370685	a.no_drinker_vs_a.drinker	FALSE	3.91656614441506	2.50610861117754	0.688387168850663	2.60695008180667
hsa-let-7d-5p	14.2466789840754	-0.640394185828937	0.877802569399027	-0.729542391596521	0.465669946659593	0.797359205007884	a.no_drinker_vs_a.drinker	FALSE	16.371803950745	6.32935409935656	3.3258573759326	4.64330448827109
hsa-let-7e-3p	0.0485034830290293	1.20713188640705	7.28641491779442	0.165668837147754	0.868417571465724	NA	a.no_drinker_vs_a.drinker	NA	0.039477633030267	0.521390016361334	0	0
hsa-let-7e-5p	4.19330498161414	-0.342977243967291	0.817615110113231	-0.419484962698148	0.674861742179693	0.909650850621744	a.no_drinker_vs_a.drinker	FALSE	3.88771599022813	18.1222660765872	2.15239821197981	2.09131037747788
hsa-let-7f-1-3p	0.0924076546196397	-1.56899987205665	7.22605455159389	-0.217130919902973	0.828106318126615	NA	a.no_drinker_vs_a.drinker	NA	0.099529902145846	0.0293517516692712	0	0
hsa-let-7f-2-3p	0.586428844638111	-0.0939183070717012	1.48208399952744	-0.063369085086707	0.949472604284503	NA	a.no_drinker_vs_a.drinker	NA	0.499536702358825	0.856805658053612	0	1.30347504090334
hsa-let-7f-5p	1.71469356427272	-0.89103866789414	1.00503000454122	-0.886579170639669	0.375305512231475	NA	a.no_drinker_vs_a.drinker	NA	1.67545097571057	2.10233548994653	0.565595900642725	1.98998763783047
hsa-let-7g-3p	2.59430250875676	-0.030297137970863	0.939707168418475	-0.0322410416660469	0.974279826662371	NA	a.no_drinker_vs_a.drinker	NA	3.21849133744041	7.44686901902927	0	0.666131998054403
hsa-let-7g-5p	73.6452310998158	0.562227308735216	0.958050229492509	0.586845335899595	NA	NA	a.no_drinker_vs_a.drinker	NA	87.5393817128063	9.01368063426674	6.16032433671052	7.33793791731781
hsa-let-7i-3p	0.318675899686391	-2.08677079984832	1.93353803928005	-1.07924993325982	0.28047632543681	NA	a.no_drinker_vs_a.drinker	NA	0.332384261364168	0	0	0
hsa-let-7i-5p	69.8407741425435	-0.0260592683133217	0.967066717010993	-0.0269467120054194	NA	NA	a.no_drinker_vs_a.drinker	NA	81.5836109546552	5.45360035568173	7.0051216253873	4.32985798735362
hsa-miR-1-2-5p:Novel	6.95114167052812	0.0921983664086769	0.736210503841017	0.125233701404221	0.900338537397268	0.97380290082577	a.no_drinker_vs_a.drinker	FALSE	7.51362534582532	5.23676950992028	3.91601592862825	3.99679198832642
hsa-miR-1-3p	1.50732516730025	-0.272289668923694	0.679236648356318	-0.400875997463634	0.688511422470984	NA	a.no_drinker_vs_a.drinker	NA	1.58453052066128	2.5617371141327	1.06675298760654	2.60695008180667
hsa-miR-1-5p	12.4579438851916	-0.233483110775687	0.761990010317981	-0.306412298867611	0.759290745285447	0.929320222322308	a.no_drinker_vs_a.drinker	FALSE	13.0939493878084	8.17163077353613	7.24252298654801	7.31958632117258
hsa-miR-100-3p	0.190235440183834	-1.00079878515087	2.89493602386084	-0.345706701945057	0.729563147059554	NA	a.no_drinker_vs_a.drinker	NA	0.211451173679428	0.125316703143983	0	0
hsa-miR-100-5p	4.89071042680515	-0.6668255035999	1.49666943455933	-0.445539601599626	0.655929847562051	0.902360172451621	a.no_drinker_vs_a.drinker	FALSE	4.41546374488264	2.60226962447827	0.341132630767015	1.30347504090334
hsa-miR-101-2-5p	0.966393901087905	-1.81018501507001	1.21544344064584	-1.4893206500075	0.136402952509416	NA	a.no_drinker_vs_a.drinker	NA	1.00936396130203	0.205462261684898	0	0
hsa-miR-101-3p	2.69240224678202	-1.02253304408341	0.739323600213923	-1.38306560724903	0.166644750104659	0.579270563554498	a.no_drinker_vs_a.drinker	FALSE	2.71334070575553	2.44240589310688	1.54074127001561	1.98998763783047
hsa-miR-101-5p	6.27918412751605	-0.22136017664526	0.874007097917876	-0.25327045646723	0.800059224311194	0.94481321599586	a.no_drinker_vs_a.drinker	FALSE	7.07615181576003	3.03054423804617	1.38766257142486	2.66452799221761
hsa-miR-10226	2.06707024362648	-1.41504834382198	0.979896331386119	-1.44407964240494	0.148716573797942	NA	a.no_drinker_vs_a.drinker	NA	2.39019067418462	1.64583219628116	0.963574063632482	1.32665842522031
hsa-miR-10226-3p:Novel	6.82976929142188	0.3465681242065	0.615807250831462	0.56278668972891	0.573580144917246	0.86349992592643	a.no_drinker_vs_a.drinker	FALSE	7.73454705259137	13.325134927806	5.30609052325434	9.99197997081605
hsa-miR-10392-3p	1.14361965486988	0.991720917100759	1.14163667967187	0.868683474138023	0.385020282907	NA	a.no_drinker_vs_a.drinker	NA	1.32151161234276	1.82601910805218	0	1.04565518873894
hsa-miR-10392-5p	121.023425839154	-0.0753725211593465	0.563565572765762	-0.13374223835116	0.893606403805153	0.97380290082577	a.no_drinker_vs_a.drinker	FALSE	128.81955321283	113.255873140308	90.7415909100885	105.469344805015
hsa-miR-10393-3p	0.323450045795872	-0.769061560734966	2.69905445456616	-0.284937400738209	0.775692101504036	NA	a.no_drinker_vs_a.drinker	NA	0.321400628643242	0.162017594191302	0	0
hsa-miR-10393-5p	0.209906270829041	-0.525150562660068	7.30788722287389	-0.0718607918601059	0.94271269290724	NA	a.no_drinker_vs_a.drinker	NA	0.217301266956257	0.0293517516692712	0	0
hsa-miR-10394-3p	1.88154243818769	-1.62178953290171	1.03720876092399	-1.56360955865523	0.117909288718065	NA	a.no_drinker_vs_a.drinker	NA	2.11823512032532	0.786512094933012	0.848443419875397	0.663329212610155
hsa-miR-10394-5p	0.643198601227578	-1.11399378316452	1.95767982698149	-0.569037780239156	0.56933050122658	NA	a.no_drinker_vs_a.drinker	NA	0.967873759920872	1.14938199518406	0	0
hsa-miR-10395-3p	0.855224262890426	0.107831610624384	1.71743524612427	0.0627864199641459	0.949936579830994	NA	a.no_drinker_vs_a.drinker	NA	0.90024190679984	2.3481401335417	0	0
hsa-miR-10395-5p	1.7987363894186	0.828068693238749	0.787928255545675	1.05094428002874	0.293284181743022	NA	a.no_drinker_vs_a.drinker	NA	1.79906032805448	3.10061632546126	0.948056866475024	2.65331685044062
hsa-miR-10396a-3p	0.831312224780565	-0.335046212456769	0.838075015235605	-0.399780695481751	0.689318050474377	NA	a.no_drinker_vs_a.drinker	NA	1.07301745144636	1.22371336958869	0.60474837425266	1.30347504090334
hsa-miR-10396a-5p	3.79066675514212	0.433181728954207	0.775572888950174	0.558531293610029	0.576481641683543	0.865769563201304	a.no_drinker_vs_a.drinker	FALSE	4.38718131540686	3.64583154026155	2.25923697564622	4.64330448827109
hsa-miR-10396b-3p	0.862498754058936	0.6255767239132	0.855020524718252	0.731651119274992	0.464381538436227	NA	a.no_drinker_vs_a.drinker	NA	0.87763992137225	2.19599023271838	0.473982931959656	0.663329212610155
hsa-miR-10396b-5p	2.9837461797604	0.326797967797306	0.965249284038211	0.338563284326009	0.734938745541282	0.92460314783625	a.no_drinker_vs_a.drinker	FALSE	3.4928639563177	2.16142316249218	1.25933267481965	2.65331685044062
hsa-miR-10397-3p	15.4702990347638	0.282675151459529	0.590650333248815	0.478582903533978	0.632235383256326	0.889426281881957	a.no_drinker_vs_a.drinker	FALSE	16.9222801868123	16.8694261815229	12.8461955667203	15.2565718900336
hsa-miR-10397-5p	1.74249332974007	-0.813806354934943	1.18648883858122	-0.685894656967929	0.492779539733942	NA	a.no_drinker_vs_a.drinker	NA	2.15908274004945	1.51625648812849	0.600182533201377	0.666131998054403
hsa-miR-10398-3p	1.01824569489397	-1.209106217248	0.972669630434026	-1.24308005453863	0.213838334874545	NA	a.no_drinker_vs_a.drinker	NA	1.10889367743033	1.07211991515883	0	1.04565518873894
hsa-miR-10398-5p	0.306255100659311	0.37095515406705	1.28822772546012	0.287957747481762	0.773379081960547	NA	a.no_drinker_vs_a.drinker	NA	0.327943267777385	0.918012017434422	0	1.04565518873894
hsa-miR-10399-3p	0.178334305317897	-1.13421050170673	2.93307165763785	-0.386697167371684	0.698980413443675	NA	a.no_drinker_vs_a.drinker	NA	0.201148977731478	0.0587035033385424	0	0
hsa-miR-10399-5p	0.974095274949662	-1.63435054418816	2.32603690365395	-0.702633110257528	0.482284422801734	NA	a.no_drinker_vs_a.drinker	NA	1.03376072214972	0.0880552550078138	0	0
hsa-miR-103a-1-5p	0.790264266389321	-1.29166502481418	1.76243544384108	-0.732886432423936	0.463627698833693	NA	a.no_drinker_vs_a.drinker	NA	0.795451116803264	0.176110510015627	0	0
hsa-miR-103a-2-5p	0.258794632252719	-1.21341455229161	2.23801519512777	-0.542183339475642	0.587692211387228	NA	a.no_drinker_vs_a.drinker	NA	0.295764963243103	0.0293517516692712	0	0
hsa-miR-103a-3p	1.92849842539826	-0.30164097293042	0.760487009776809	-0.396641847990206	0.691631588313685	NA	a.no_drinker_vs_a.drinker	NA	2.00909801028259	1.58982928622416	1.04997926081163	1.04565518873894
hsa-miR-103b-3p:Novel	3.89523832653987	0.274479521680527	1.11335175391301	0.246534413509329	0.805268568204277	0.947786516334338	a.no_drinker_vs_a.drinker	FALSE	4.66745604023174	1.25072706584516	0.661842090614104	1.32082882511721
hsa-miR-103b-5p	0.104944566496707	-1.3391770782391	7.04343849037396	-0.190131152571192	0.849206359090131	NA	a.no_drinker_vs_a.drinker	NA	0.111451321212933	0.0293517516692712	0	0
hsa-miR-10400-3p	1.88255861342613	1.40198331209009	0.863444663128523	1.62370951140086	0.104437820111498	NA	a.no_drinker_vs_a.drinker	NA	1.78569104861123	11.6644064300821	0.712477826200736	2.20138137519534
