ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_modAct	Average_inactive	Average_modInact	Median_modAct	Median_inactive	Median_modInact
hsa-let-7a-2-3p	0.495740013583872	0.342373879528588	0.659540745275889	0.519109519739181	0.603684370137606	NA	modInact_vs_modAct	NA	0.341260779559371	0.426900119482668	0.640055181104726	0	0	0
hsa-let-7a-3p	729.287654254226	1.28293742892603	0.372942183494874	3.44004375397685	NA	NA	modInact_vs_modAct	NA	59.2110842486036	23.853428678523	2189.50915189207	14.6231107961072	12.6311748769707	28.9300081291261
hsa-let-7a-5p	17.9674373755126	0.729265090513281	0.336073458880644	2.1699574043789	0.0300100729584605	0.210997048374853	modInact_vs_modAct	FALSE	10.078421655736	17.8521244637794	25.5299216680967	6.5968915797187	5.13873380683451	9.2577218088521
hsa-let-7b-3p	0.611041895686337	0.707446474702171	0.875446328699864	0.808098054112362	0.419034137717162	NA	modInact_vs_modAct	NA	0.387666261748156	0.180087888316117	1.14691819342594	0	0	0
hsa-let-7b-5p	443.587425115276	1.67362063942293	0.406783299125867	4.11428060842064	NA	NA	modInact_vs_modAct	NA	43.800069854557	19.6902715913689	1312.663100836	9.38928430531664	11.1017011834235	21.1733875033387
hsa-let-7c-3p	5.43143779716859	-0.429757388983451	0.469506492144171	-0.915338544139844	0.360013930305479	0.624386108824467	modInact_vs_modAct	FALSE	5.9300499961662	3.23520097528151	6.09252925807645	0.302684741349187	0.26280865108556	0.358519155077063
hsa-let-7c-5p	32.9736786185067	1.27237199948717	0.390779199841523	3.25598701262292	0.00112998920150359	0.0452014359308525	modInact_vs_modAct	TRUE	5.87530237837959	4.65437402590794	90.325783134332	2.37930004617628	2.35089076831038	5.010628316232
hsa-let-7d-3p	5.55116701070545	0.616835515598851	0.418555508019963	1.4737245210722	0.140555777860301	0.413746778631604	modInact_vs_modAct	FALSE	2.88425839867358	2.27647330151512	11.0123833438674	1.54010737271271	0.642144706682473	2.01089039930732
hsa-let-7d-5p	85.6272259126247	1.11656727787375	0.389306681128523	2.86809174360184	NA	NA	modInact_vs_modAct	NA	8.38540723503048	4.34140617748619	252.411762681254	2.64441441598806	2.8426836228425	5.64617758636306
hsa-let-7e-3p	0.0934976607638798	-0.247200371756578	1.78403050494759	-0.138562861493134	0.8897955923726	NA	modInact_vs_modAct	NA	0.12644802358162	0.097578519697024	0.0436745181656089	0	0	0
hsa-let-7e-5p	8.35235711255472	0.870141343632454	0.387054056449048	2.24811322639374	0.0245689709021624	0.195306776215244	modInact_vs_modAct	FALSE	3.65249478582079	3.37155335720873	17.8914174451721	2.01223119478448	1.57928483777268	3.23407242459063
hsa-let-7f-1-3p	0.149332938051286	-0.171113438740205	1.95015886884666	-0.087743332850314	0.930080677784582	NA	modInact_vs_modAct	NA	0.226196680310022	0.0735328294380587	0.118979490237949	0	0	0
hsa-let-7f-2-3p	0.580384312200835	-0.0738837490646748	0.550633332980609	-0.134179579475761	0.89326057309682	NA	modInact_vs_modAct	NA	0.52729896609001	0.358182967052535	0.714351522909368	0	0	0
hsa-let-7f-5p	2.23171841617483	0.0459260356984454	0.423697338038427	0.108393495958854	0.913683560211928	NA	modInact_vs_modAct	NA	1.9275683245913	1.93208627181087	2.50732018928869	0.436080377331303	0.601505463760014	1.23055012551199
hsa-let-7g-3p	2.91444153775426	0.0554241180875374	0.427483625419443	0.129652025930013	0.896841739850228	NA	modInact_vs_modAct	NA	2.35625216129226	2.24134764139636	3.69271224920812	0.421242003124752	0.672803817577735	0
hsa-let-7g-5p	499.71024080883	1.47438613094169	0.442927620239933	3.32872926313111	NA	NA	modInact_vs_modAct	NA	48.7915162236137	13.7174213107136	1488.32022461577	8.3783475745791	5.44363700056328	9.19891648011034
hsa-let-7i-3p	0.311433093009404	0.0375356330840943	0.849477690777973	0.0441867202536164	0.964755567417646	NA	modInact_vs_modAct	NA	0.229458647145439	0.139062733326921	0.513763187329587	0	0	0
hsa-let-7i-5p	554.072422674257	1.42870204348465	0.426482423075135	3.34996700024129	NA	NA	modInact_vs_modAct	NA	32.4209213792362	18.2489779863421	1675.0201977679	7.00380014290842	6.00732776383548	12.2216823565825
hsa-miR-1-2-5p:Novel	9.99972304752344	0.540643344323055	0.36511371994909	1.48075329625641	0.138672326077622	0.41052500492286	modInact_vs_modAct	FALSE	9.93447766989704	5.42784300441774	11.8201788924269	3.13063383970037	3.29279963041391	4.7384281331519
hsa-miR-1-3p	1.90874118979687	0.424881897294845	0.363081502106185	1.17021080619686	0.241916145180287	NA	modInact_vs_modAct	NA	1.7058573276314	1.26503463261444	2.42128839342543	1.16592138857929	0.720232969764131	1.08642875079812
hsa-miR-1-5p	12.1869542046203	0.402424419483413	0.320808942040609	1.25440524482785	0.209694747170012	0.485985153774604	modInact_vs_modAct	FALSE	11.9396573042559	9.46722781900626	11.7035148864186	6.30339730685341	5.18221749762559	6.4452978413023
hsa-miR-100-3p	0.265852770238565	0.140623736024142	0.884622920969677	0.158964608185822	0.873696757788565	NA	modInact_vs_modAct	NA	0.178317771847617	0.29947177766034	0.293208001303707	0	0	0
