ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageall	Averagenowine	Medianabstemious	Medianall	Mediannowine
has-miR-548o	0.581102944228438	1.13913729503014	1.34308850207624	0.848147604025485	0.396355773038354	1	nowine_vs_abstemious	FALSE	1.20037687898266	0.554381092198915	0.349242854976361	0	0	0
has-miR-548x	1.91458455148291	0.237503885936003	1.0627102574717	0.223488843046504	0.82315506551642	1	nowine_vs_abstemious	FALSE	2.10335383147435	1.13404458563904	4.10532744697975	0	0	0.454938180378302
hsa-let-7a-2-3p	0.510410667426444	0.209858585409207	1.18939964934892	0.176440766166431	0.859947680234144	1	nowine_vs_abstemious	FALSE	0.329590982228212	0.514831239896316	0.466708080785978	0	0	0
hsa-let-7a-3p	721.349463558236	0.204029179960847	0.701552832653563	0.290825110332922	NA	NA	nowine_vs_abstemious	NA	4236.50970629053	523.84123209524	31.1498557877144	44.4134993683841	15.3914985086323	15.1357120494502
hsa-let-7a-5p	17.9512808805938	2.02076704268976	0.606815984551688	3.33011504992356	0.000868101068248498	0.300399615704324	nowine_vs_abstemious	FALSE	10.5852654502723	18.2949288729477	19.8980688458933	6.48239738112973	6.9299468054582	8.21453328035354
hsa-let-7b-3p	0.606591480187684	-0.353082347078376	1.60155530400585	-0.220462163370343	0.825511236706981	1	nowine_vs_abstemious	FALSE	0.786546107368133	0.640695664374501	0.367187520682863	0	0	0
hsa-let-7b-5p	438.698457124774	0.364564987142373	0.768569010731995	0.474342553566084	NA	NA	nowine_vs_abstemious	NA	2275.20531437432	358.326528421872	25.3082140991124	25.3362465757159	11.8530413965532	12.5708958150822
hsa-let-7c-3p	5.50667541683246	1.05738952321282	0.840550244240636	1.25797301286621	0.208401516360104	1	nowine_vs_abstemious	FALSE	9.0545127133878	5.22461261210841	3.65060039488646	0.523971304420287	0.377277105977878	0
hsa-let-7c-5p	32.6764061115394	1.06962089970396	0.717535604136678	1.49068686423011	0.136043726408893	1	nowine_vs_abstemious	FALSE	184.437246534493	22.1319450786222	5.77724125461192	4.54735461940635	2.35828998763951	3.81469689108054
hsa-let-7d-3p	5.58240542391933	1.24050646011395	0.788405560235517	1.57343697543607	0.115617670956604	1	nowine_vs_abstemious	FALSE	21.4922571936763	4.19514365322206	2.60214486171922	0.905011703545244	1.63921138043521	1.24347844518682
