ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious.28	Averageheavy.28	Averagelight.28	Medianabstemious.28	Medianheavy.28	Medianlight.28
has-miR-548o	0.287925216163174	-0.134558014126555	2.70122142975288	-0.0498137667073319	0.960270796057489	NA	heavy.28_vs_abstemious.28	NA	0.819544209917442	0.364885941835411	0.263037463529591	1.30347504090334	0	0
has-miR-548x	1.36713054679273	0.25298815791746	1.53294363985532	0.165034220006509	0.868917047669526	NA	heavy.28_vs_abstemious.28	NA	0.295243993802183	0.93566086562828	1.89289696748308	0.146758758346356	0	0
hsa-let-7a-2-3p	0.638897923688425	2.50375501636929	1.38775988656626	1.80417018866596	0.0712046312061173	NA	heavy.28_vs_abstemious.28	NA	0.117407006677085	0.551304615329799	0.800106679773202	0	0	0
hsa-let-7a-3p	137.524839917561	0.350341306507636	0.837117600468691	0.418509067676375	0.675574958227053	0.906390831708979	heavy.28_vs_abstemious.28	FALSE	25.8561155565589	36.5396009758887	226.460861962824	18.7851210683336	21.219997861349	13.7586767277156
hsa-let-7a-5p	8.92447060168507	0.177842580226175	0.734590160336622	0.242097689063355	0.808704468810251	0.97021626782193	heavy.28_vs_abstemious.28	FALSE	7.71202519428746	13.5402846557546	7.45382550634282	7.31958632117258	4.35224684351315	3.45036919729746
hsa-let-7b-3p	0.294680240946625	0.409157574215746	2.92614802763121	0.139828050512868	0.888795849911234	NA	heavy.28_vs_abstemious.28	NA	0.0587035033385424	0.15355254752847	0.387236573185268	0	0	0
hsa-let-7b-5p	73.1459732231244	-0.357421554314282	0.896635763130286	-0.398625137443181	0.690169436613261	0.916259424469329	heavy.28_vs_abstemious.28	FALSE	13.6428759588243	29.3413953374219	117.116208110294	9.12432528632336	10.5965128357126	8.95350147642299
hsa-let-7c-3p	2.40175442813894	-0.216769418067234	0.950165922611736	-0.228138489192916	0.819538578903102	NA	heavy.28_vs_abstemious.28	NA	10.8660711284322	2.12372416817324	1.81539287020995	1.32665842522031	0.624489609151907	0
hsa-let-7c-5p	6.4291207821317	0.0891913330747418	0.859369664095583	0.103786922905416	0.91733844443017	0.983526154977664	heavy.28_vs_abstemious.28	FALSE	4.41994397788905	5.00900712818456	8.44788979994379	4.18262075495576	3.36917616263829	2.43505707850035
hsa-let-7d-3p	2.77160257766232	-0.541382223428716	1.30389647775562	-0.415203378998762	0.677993025423149	NA	heavy.28_vs_abstemious.28	NA	2.50610861117754	1.83474282120952	5.04279843401806	2.60695008180667	0	1.19800709346518
hsa-let-7d-5p	14.2466789840754	0.797547783828175	0.910179990113121	0.876252820861347	0.380892607022741	0.781297318219612	heavy.28_vs_abstemious.28	FALSE	6.32935409935656	7.38442276638778	21.2338298373645	4.64330448827109	4.33872992806906	2.83627861823916
hsa-let-7e-3p	0.0485034830290293	-1.45200655904361	7.47716958728202	-0.194192005690675	0.846025542259245	NA	heavy.28_vs_abstemious.28	NA	0.521390016361334	0.0130241553094379	0.0537885308136664	0	0	0
hsa-let-7e-5p	4.19330498161414	0.224914867698608	0.848490970740297	0.265076324268215	0.790950665629162	NA	heavy.28_vs_abstemious.28	NA	18.1222660765872	3.41584145343196	4.14299237898672	2.09131037747788	2.35777754014989	2.09774884319636
hsa-let-7f-1-3p	0.0924076546196397	1.47477127598355	7.49196673802345	0.196847013281405	0.843947259535132	NA	heavy.28_vs_abstemious.28	NA	0.0293517516692712	0.185348708051615	0.0531033350164954	0	0	0
hsa-let-7f-2-3p	0.586428844638111	0.211277907487422	1.55865750836916	0.135551207595622	0.892176080010682	NA	heavy.28_vs_abstemious.28	NA	0.856805658053612	0.376534484030433	0.566078886044676	1.30347504090334	0	0
hsa-let-7f-5p	1.71469356427272	0.924247175770987	1.04862449258569	0.881390032662682	0.37810675062965	NA	heavy.28_vs_abstemious.28	NA	2.10233548994653	1.18294670568556	1.94188771195361	1.98998763783047	0.504595849319647	0.615156600840658
