ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageheavy_drinker	Averagelight_drinker	Averageno_coffee	Medianheavy_drinker	Medianlight_drinker	Medianno_coffee
has-miR-548o	0.33500521171989	0.488768588905848	1.1471103172828	0.426086821417153	0.670044582702996	NA	light_drinker_vs_heavy_drinker	NA	0.264363389203379	0.271998459407308	0.443657275046656	0	0	0
has-miR-548x	1.34253497827163	1.5704846308514	0.800885945128481	1.96093418844984	0.0498867005046205	NA	light_drinker_vs_heavy_drinker	NA	0.757874704157389	2.30832834194701	1.28830648163251	0.146758758346356	0	0
hsa-let-7a-2-3p	0.651958530811686	0.323508530067177	0.709869380443086	0.45572965813126	0.648584392158377	NA	light_drinker_vs_heavy_drinker	NA	1.00391009822231	0.592728959461831	0.472723100622391	0	0	0
hsa-let-7a-3p	107.079579117193	0.17727940937238	0.429526034061523	0.412732629256617	0.679802515945475	0.896057808205007	light_drinker_vs_heavy_drinker	FALSE	413.869038451367	34.3863988361906	33.7921699882557	12.8231235514742	19.5846081878921	13.2075923453746
hsa-let-7a-5p	8.88540308861354	-0.288697668035318	0.391683450685084	-0.737068843553036	0.461080484985135	0.799955241812075	light_drinker_vs_heavy_drinker	FALSE	11.0973657587122	10.0817340091498	7.28475352027436	4.30690809738007	4.85698031107973	3.68039716000373
hsa-let-7b-3p	0.306565999064634	0.64311976310855	1.37031071536149	0.469324041546953	0.638838033207875	NA	light_drinker_vs_heavy_drinker	NA	0.269788994592998	0.452700371545229	0.135047198169451	0	0	0
hsa-let-7b-5p	59.8544926669154	0.316567738859496	0.447917194025026	0.706755050001069	0.479718712703319	0.809272091313513	light_drinker_vs_heavy_drinker	FALSE	202.416785245061	29.9507375947899	25.8569445202397	8.40233765124546	14.6073365908961	9.00851330251101
hsa-let-7c-3p	2.47103870395693	0.135947680812082	0.557092015599023	0.244030926678964	0.807206867816294	0.936422743610607	light_drinker_vs_heavy_drinker	FALSE	3.01486851976902	1.98420292730942	2.19562464933458	0.538363512172509	0	0.199667848910863
hsa-let-7c-5p	5.84057718586428	-0.137764786493626	0.457881171641557	-0.300874539129275	0.763510166071118	0.91797473711689	light_drinker_vs_heavy_drinker	FALSE	12.634695392701	4.68890971400916	4.44506018868896	2.52159510388576	2.6640359808412	3.88753090126807
hsa-let-7d-3p	3.14167103099851	1.31997368453841	0.665059895788102	1.98474407026788	0.0471729529506391	0.38401641970655	light_drinker_vs_heavy_drinker	FALSE	3.01187351073313	6.07187893918162	2.1478762496137	0.453385718287157	2.05272324387623	0.542558255711826
hsa-let-7d-5p	11.7133277948065	-0.741448165853705	0.484134750737282	-1.53149131460727	0.125648011366497	0.529274581854034	light_drinker_vs_heavy_drinker	FALSE	36.8878162283304	5.69862074478294	6.93511537426207	3.37088337134305	3.22394328450515	3.95657840988255
hsa-let-7e-3p	0.0608586128850125	0.942470409599998	4.01983640672739	0.234454916628629	0.814631829136165	NA	light_drinker_vs_heavy_drinker	NA	0.0193013320573743	0.0613017543545611	0.109770098003405	0	0	0
hsa-let-7e-5p	4.1603212682273	-0.193768002042251	0.480963049264933	-0.402875028213479	0.687040162757387	0.900883547737967	light_drinker_vs_heavy_drinker	FALSE	4.83836938731473	3.63985933725042	5.46975769739403	2.06075060680065	2.43901942216388	1.87014972087734
hsa-let-7f-1-3p	0.0894118093577484	0.530247744007681	4.01890572457828	0.131938338529532	0.895033063924819	NA	light_drinker_vs_heavy_drinker	NA	0.0888468809264644	0.139029371704678	0.0544768396864712	0	0	0
hsa-let-7f-2-3p	0.572280003248808	1.20720552553382	0.773776589461153	1.56014738876308	0.118725055078452	NA	light_drinker_vs_heavy_drinker	NA	0.357790425895654	0.460160294110668	0.736975141289008	0	0	0
hsa-let-7f-5p	1.70744674594843	0.836651086599319	0.548933393870667	1.52413953303129	0.127473859012116	NA	light_drinker_vs_heavy_drinker	NA	1.83164179817877	1.75765771424217	1.49835924094582	0.51878839290166	0.388185170349034	0.640644299447531
hsa-let-7g-3p	3.30512279180099	0.190295539008403	0.569652590144082	0.334055426589515	0.738337734229747	0.912094233451516	light_drinker_vs_heavy_drinker	FALSE	3.02928646073305	2.30876170488404	5.08591341112483	0.505632505701458	0	0
hsa-let-7g-5p	58.7401199969797	0.331523830070911	0.499233175360083	0.664066104644973	0.506648003021627	0.820151754378714	light_drinker_vs_heavy_drinker	FALSE	215.805642337268	24.7529028684873	21.6465896391956	4.33872992806906	6.31838676913375	6.69887873638286
hsa-let-7i-3p	0.319245396108944	0.686969643806429	0.910236916137694	0.754715208345285	0.450419879302844	NA	light_drinker_vs_heavy_drinker	NA	0.46861170169393	0.236994034077585	0.255792893403964	0	0	0
hsa-let-7i-5p	56.5348814994354	0.178703658235474	0.473398228412366	0.377491185032086	0.705808614012378	0.905509077547772	light_drinker_vs_heavy_drinker	FALSE	172.446807268743	43.049383497427	25.0155812586751	4.94266693993167	8.2212209310353	6.46388409884906
hsa-miR-1-2-5p:Novel	7.00675042297127	-0.305955409759512	0.412796848668025	-0.741176708947127	0.45858630349846	0.798187640646783	light_drinker_vs_heavy_drinker	FALSE	7.49496989760758	8.00576727473589	6.62227941690171	3.77360339308926	4.1131383644347	3.74165486413029
hsa-miR-1-3p	1.57424954783031	0.656314546366021	0.430252132472473	1.52541846241287	0.127154756684367	NA	light_drinker_vs_heavy_drinker	NA	1.63789003663517	1.85889692406006	1.37686481596785	1.05110197384487	1.54534193452202	0.963798837883693
hsa-miR-1-5p	11.0494412944013	-0.222637096134852	0.384566804395861	-0.578929573717642	0.562636694333179	0.855838865720007	light_drinker_vs_heavy_drinker	FALSE	12.4070001938349	16.0854848073877	9.62484178896355	6.35809514030493	7.54797332984769	6.02253960679167
