ID	Average__37	Average_37_53	Average__53	Median__37	Median_37_53	Median__53	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	1.05280097594527	1.01451618520748	0.553128150448935	0	0	0	-0.320407511115695	0.434803611720681	NA	_53_vs__37	NA	female
hsa-let-7a-3p	825.670396067984	900.680911178036	134.952942573045	27.3933060903325	27.9351848589916	28.7851131392044	-0.195458086628245	0.491517077208344	0.770746265660204	_53_vs__37	FALSE	female
hsa-let-7a-5p	18.283471341047	27.8225786036988	15.5206601757081	10.6505651254002	10.7133555262098	10.275828206325	-0.281855147209347	0.272319240047843	0.609777940247309	_53_vs__37	FALSE	female
hsa-let-7b-3p	0.633025096876247	0.901772445132695	0.487381917987137	0	0	0	-0.34794702985551	0.593994201208671	NA	_53_vs__37	NA	female
hsa-let-7b-5p	450.769016662035	601.534246370932	84.2535635304798	18.3988463528351	13.9034568130222	15.3823424914254	-0.21728686399013	0.488246979377494	0.769048799950337	_53_vs__37	FALSE	female
hsa-let-7c-3p	13.5241271842119	9.16862982620672	7.14614485559293	4.57395057759599	2.60844224795511	1.64447954623012	-0.320127345639049	0.311962902802943	0.634938948087188	_53_vs__37	FALSE	female
hsa-let-7c-5p	41.6504332228724	33.1632349606206	10.8032354359069	4.69653903840513	3.12636468374509	4.34701286769318	-0.272024193742242	0.350866946673891	0.663672548138258	_53_vs__37	FALSE	female
hsa-let-7d-3p	8.08956617699115	5.95094252079537	4.06845211186029	2.50365759192463	2.85580277086489	1.81608521001171	-0.0394894904401305	0.906609620907319	0.979969462756746	_53_vs__37	FALSE	female
hsa-let-7d-5p	95.9361511628959	106.545213898599	19.8358619525897	6.02348339658646	5.36622995068285	7.44374123519703	0.0363076245952887	0.901535404550948	0.979705696894098	_53_vs__37	FALSE	female
hsa-let-7e-3p	0.102712309215618	0.20158391873164	0.12971820106744	0	0	0	-0.492829727528467	0.63213956277328	NA	_53_vs__37	NA	female
hsa-let-7e-5p	11.2732339046157	7.64916115400102	5.95374189442063	3.01600983177882	2.55772040821313	3.69081949078312	-0.0159914480190122	0.956406795902238	0.992348384116392	_53_vs__37	FALSE	female
hsa-let-7f-1-3p	0.117344696822475	0.146124544457744	0.146733120159815	0	0	0	-0.831320021460603	0.542020615777654	NA	_53_vs__37	NA	female
hsa-let-7f-2-3p	0.796491560081615	0.383266490955612	0.509325596712762	0	0	0	-0.179225719230346	0.688461038207102	NA	_53_vs__37	NA	female
hsa-let-7f-5p	3.86210541401385	2.31131008999744	1.60493831173053	1.27358850466711	1.50411630957122	0.855962409507187	-0.909464415134079	0.00888487726380086	0.164549194994516	_53_vs__37	FALSE	female
hsa-let-7g-3p	9.00367059462028	7.32916982282111	3.37233303887026	4.82061162196899	3.4209164563804	1.43925565696022	-0.899855804987819	0.00102915602853209	0.0690442617965206	_53_vs__37	FALSE	female
hsa-let-7g-5p	507.058143649409	664.701072132665	90.2415822793313	9.05952269671483	8.93956843955919	8.59204016636219	0.00632989401093433	0.985678377187413	0.998371393589915	_53_vs__37	FALSE	female
hsa-let-7i-3p	0.415068566834897	0.444632954244183	0.478950855682344	0	0	0	-0.150812225933491	0.772683913899493	NA	_53_vs__37	NA	female
hsa-let-7i-5p	539.41578439822	796.476695594024	92.5372422705703	12.9461225003879	9.0668225038059	10.6920385961813	-0.196697022420493	0.560175268240205	0.815417860150547	_53_vs__37	FALSE	female
hsa-miR-1-2-5p:Novel	13.7718963235017	8.41109932769565	8.4348218469033	4.13386974964145	4.22206291413155	4.29848572671217	-0.368672392643537	0.218898004800256	0.566164806791557	_53_vs__37	FALSE	female
hsa-miR-1-3p	2.4386312731048	2.81852262275602	2.50208641713139	1.28896749333608	2.05880610749161	1.6825393838834	0.29866391320274	0.257375310566191	0.598443510093253	_53_vs__37	FALSE	female
hsa-miR-1-5p	16.0014034157673	10.0479921612508	11.3046752126071	7.64712609521155	6.35422183244314	6.12935013739645	-0.316355084839314	0.248048591993081	0.593702873385327	_53_vs__37	FALSE	female
hsa-miR-100-3p	0.384871606844569	0.228109450166687	0.35996784011285	0	0	0	-0.490340932258807	0.435250799934868	NA	_53_vs__37	NA	female
hsa-miR-100-5p	14.359803547352	4.94924809097146	7.72949950846412	0.887598291573874	0.882986644013603	1.29330513032516	0.116305723098017	0.805503514379888	0.943684394607358	_53_vs__37	FALSE	female
hsa-miR-101-2-5p	1.16769859615864	1.98304264825041	1.7948414112513	0.44836134304317	1.12434698900264	0.954765473012988	0.391740456230709	0.26782373511832	NA	_53_vs__37	NA	female
