ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	1.06971169432742	0.914568122991649	0.712706325950715	0.212678321005629	0	0	-0.281788128669218	0.588801730718423	NA	low_vs_no	NA	female	stool
hsa-let-7a-3p	3031.20946160002	384.386298538233	250.812382740307	41.0997573862571	28.7851131392044	17.3893918518184	0.360907860787356	0.339556641922703	0.868352119197181	low_vs_no	FALSE	female	stool
hsa-let-7a-5p	15.5677564934227	22.3915531540151	15.808500930765	10.2274071046455	11.0397669668576	8.72361676506764	0.596089248090955	0.0814654141498793	0.619657139544295	low_vs_no	FALSE	female	stool
hsa-let-7b-3p	0.682136051588899	0.755921377713821	0.356918240216332	0	0	0	0.0691324365850817	0.937158934670162	NA	low_vs_no	NA	female	stool
hsa-let-7b-5p	1627.33685839373	239.865560440209	242.294939021737	24.0536458651862	15.3823424914254	13.4406388940051	0.210622460703818	0.614307694960213	0.944854758076961	low_vs_no	FALSE	female	stool
hsa-let-7c-3p	10.4744670606166	10.9150816793351	5.90963568423979	2.81996044968249	4.40412177348224	0.865704475811065	0.774482753962944	0.0576666837247777	0.589023983760229	low_vs_no	FALSE	female	stool
hsa-let-7c-5p	133.949483485606	18.4083694546291	13.2479466573843	5.63992089936498	4.38510628429906	2.13817905823481	0.467520271705631	0.217635733255818	0.795278786769558	low_vs_no	FALSE	female	stool
hsa-let-7d-3p	19.4227106511948	4.53255974581716	5.17238226797668	2.71573421058554	2.15550855054194	2.1146330091816	-0.194572213454342	0.660120718313311	0.94906079019687	low_vs_no	FALSE	female	stool
hsa-let-7d-5p	351.176380854983	42.9561283372421	46.6874056024173	9.06880477254127	6.00731512542028	4.18005281471611	0.21841231396796	0.567576499340114	0.93219876805861	low_vs_no	FALSE	female	stool
hsa-let-7e-3p	0.224139460037674	0.132416078931474	0.130383783634994	0	0	0	-0.126648228801336	0.929006364948865	NA	low_vs_no	NA	female	stool
hsa-let-7e-5p	28.2088036280847	6.12176954798068	6.6043624154042	3.00841033915897	3.05552340120042	3.17187979841669	0.759834702853687	0.0493383171530363	0.579088661649495	low_vs_no	FALSE	female	stool
hsa-let-7f-1-3p	0.0809701695621539	0.0954462405430175	0.328175389880058	0	0	0	0.356198809005935	0.851919866707968	NA	low_vs_no	NA	female	stool
hsa-let-7f-2-3p	1.43173573947277	0.471344787500506	0.51923629916837	0	0	0	-0.660196807353183	0.250186500444222	NA	low_vs_no	NA	female	stool
hsa-let-7f-5p	2.15679630257544	2.73599257110771	3.01116804346195	1.12815387718461	1.19264613163043	1.40256637250582	0.651559064320766	0.165531196984404	0.738179662227748	low_vs_no	FALSE	female	stool
hsa-let-7g-3p	5.99742034051622	7.82451269623866	3.17839172057107	2.53528207460009	3.68566031216692	0.657259479686889	0.045016656327787	0.897055358214052	0.987293956045033	low_vs_no	FALSE	female	stool
hsa-let-7g-5p	1893.04481206937	253.330209186255	272.476814813739	13.5786710529277	8.59204016636219	7.42760037483288	0.15929658726072	0.733980054822412	0.95198575586832	low_vs_no	FALSE	female	stool
hsa-let-7i-3p	0.399763380539018	0.524764638243968	0.156616325657856	0	0	0	0.490435476574099	0.483743076575551	NA	low_vs_no	NA	female	stool
hsa-let-7i-5p	2032.04534503139	305.535654469288	284.9363691921	15.9832389835444	10.9950825861076	9.71104603263027	-0.0944213801971791	NA	NA	low_vs_no	NA	female	stool
hsa-miR-1-2-5p:Novel	8.99289584342794	11.5370791682381	7.72424233805816	3.49165827075283	4.38510628429906	4.3829906918978	0.859228796348523	0.033033052087493	0.52581930416504	low_vs_no	FALSE	female	stool
hsa-miR-1-3p	2.48782073385321	2.75898941760397	1.95308572713611	1.8192942192875	1.97141992932203	1.01557913059712	0.0692998483883578	0.838456000485548	0.977862603047566	low_vs_no	FALSE	female	stool
hsa-miR-1-5p	9.31872530925071	13.7217851622886	11.243476461609	6.15609887861831	6.97724714673364	6.40021373870955	0.331935496492134	0.369216700093094	0.868352119197181	low_vs_no	FALSE	female	stool
hsa-miR-100-3p	0.340868053300546	0.349093659358867	0.250244863788241	0	0	0	0.131574158851352	0.87711379665659	NA	low_vs_no	NA	female	stool
hsa-miR-100-5p	38.4153636932285	6.20050484990732	5.26323009828068	2.11273506216674	0.886530591081733	0.866316853788523	-0.459923936406033	0.467507344418085	0.90712136974803	low_vs_no	FALSE	female	stool
hsa-miR-101-2-5p	1.06920499342851	1.7152284088704	1.52623351127413	0.775924060167296	0.869707562521273	0.248194980295878	1.27771096607249	0.00702816810981481	NA	low_vs_no	NA	female	stool
hsa-miR-101-3p	3.03721147588722	3.95555530216553	4.10664215464627	2.9498104894896	2.98854688497767	2.6584200534811	0.63156690914962	0.0472244368558394	0.579088661649495	low_vs_no	FALSE	female	stool
hsa-miR-101-5p	30.3997749240946	14.1296208056747	29.7393366046222	2.32777218050189	2.53718078063041	1.0415549651313	0.380916460668116	0.365250778542444	0.868352119197181	low_vs_no	FALSE	female	stool
hsa-miR-10226	4.79407781413946	5.01848477689227	2.5394042095727	2.28331985479206	2.51381702282162	1.72223508233837	-0.0562170205145288	0.88357377806416	0.986090402678264	low_vs_no	FALSE	female	stool
hsa-miR-10226-3p:Novel	12.2735091289245	17.8430409561875	13.5765418918	10.8629368423422	6.95766050017019	7.97212598897095	0.54065448556425	0.185875446396573	0.746768546339943	low_vs_no	FALSE	female	stool
hsa-miR-10392-3p	1.34138016966241	1.5523660240487	1.43221384435338	1.14640683189257	0.634295195157604	0.50967922099881	-0.476979413991133	0.341110055340252	NA	low_vs_no	NA	female	stool
hsa-miR-10392-5p	275.77356250522	121.002251706955	134.94905368539	103.699770499387	78.0134494767058	75.6192823344674	0.0124153739566592	0.965381291915319	0.995105791559328	low_vs_no	FALSE	female	stool
hsa-miR-10393-3p	0.239759447812188	0.262813150896501	0.301361667019015	0	0	0	-0.363582406932222	0.745044720062173	NA	low_vs_no	NA	female	stool
hsa-miR-10393-5p	0.130486441268672	0.111457943661753	0.0142745817413732	0	0	0	-0.470429840043085	0.819093547234318	NA	low_vs_no	NA	female	stool
hsa-miR-10394-3p	2.17794102667201	2.48700202428671	5.16170496117895	0.382135610630855	1.07019802977647	1.97533948119419	0.540333228997182	0.276639655849298	0.847702945423921	low_vs_no	FALSE	female	stool
hsa-miR-10394-5p	0.41457678977434	0.975507105005867	0.637269707094158	0	0	0	0.375075419494133	0.602671677294067	NA	low_vs_no	NA	female	stool
hsa-miR-10395-3p	5.14673138089447	1.25189005319488	0.95738525065415	0.422547012433348	0	0	0.210261822490476	0.716062055329753	NA	low_vs_no	NA	female	stool
hsa-miR-10395-5p	9.38830061180345	9.03165657080699	3.05264492785897	3.74081006599067	3.70437313448999	1.64945467542248	-0.224683605207603	0.578557657880862	0.935561026832681	low_vs_no	FALSE	female	stool
hsa-miR-10396a-3p	1.12689187969782	1.54981218114328	1.32395408388104	0.850713284022518	0.775451411448088	0.508095828058034	0.400748880544254	0.310354213353891	NA	low_vs_no	NA	female	stool
hsa-miR-10396a-5p	5.2523602349094	6.49694972672893	5.31427100934766	3.63217042002343	2.87851131392044	3.26243923706824	0.904165246713282	0.0211118304951027	0.447061718756661	low_vs_no	FALSE	female	stool
hsa-miR-10396b-3p	2.09092990738715	1.61623800476859	1.489362883609	1.27664137361739	0.975222959688194	0.509106203658475	0.168817056217106	0.654598599690545	NA	low_vs_no	NA	female	stool
hsa-miR-10396b-5p	3.98938108303661	5.18595752155313	3.98658874565711	1.8192942192875	1.71082126045408	2.11227967367748	1.01983213721134	0.024094979716692	0.476935749551649	low_vs_no	FALSE	female	stool
hsa-miR-10397-3p	69.5274569271806	22.1089564565348	20.0646048214859	15.2575412712692	12.8233426190491	15.9167222425094	-0.395180109461518	0.234772435904254	0.814865493551172	low_vs_no	FALSE	female	stool
hsa-miR-10397-5p	3.95991061421041	3.59089911623854	4.42721152330967	1.57344724686853	1.28288670881619	3.05190403086937	-0.204709281928215	0.670414344509321	0.94906079019687	low_vs_no	FALSE	female	stool
hsa-miR-10398-3p	2.92167715927166	2.22925914332057	2.02838987092696	2.61939141299985	1.63279088259247	1.04723918659126	0.0841647919511683	0.787228419228334	NA	low_vs_no	NA	female	stool
hsa-miR-10398-5p	0.539903721492985	0.780547274171307	0.941027723749802	0	0.125821573075887	0	0.539942813909077	0.35039983201884	NA	low_vs_no	NA	female	stool
hsa-miR-10399-3p	1.08825660331181	0.417135074925854	0.540244752079527	0	0	0	-0.0331344428375804	0.962300784641361	NA	low_vs_no	NA	female	stool
hsa-miR-10399-5p	1.21779830425328	0.452610671421566	0.506035357660048	0	0	0	-0.316110947174499	0.654491986006883	NA	low_vs_no	NA	female	stool
hsa-miR-103a-1-5p	0.437404956555874	0.654567098361992	0.626540824853638	0	0	0	0.0348034689065218	0.962450046748493	NA	low_vs_no	NA	female	stool
hsa-miR-103a-2-5p	0.231255625958098	0.312238169939133	0.476346506365674	0	0	0	0.0364369561836219	0.966005623601867	NA	low_vs_no	NA	female	stool
hsa-miR-103a-3p	1.67486663415932	1.76914606389524	2.0298061785797	1.64447954623012	1.18486915041731	1.27622735616593	0.142198407686177	0.712857667686338	NA	low_vs_no	NA	female	stool
hsa-miR-103b-3p:Novel	79.6953882517451	10.8953685652004	21.2708936433475	1.55184812033459	0.803381650712306	1.23603795535656	-0.224561740995456	0.640667127266432	0.94906079019687	low_vs_no	FALSE	female	stool
hsa-miR-103b-5p	0.148096326197341	0.353590318225469	0.423023596291678	0	0	0	0.812460731847529	0.333861207179382	NA	low_vs_no	NA	female	stool
