ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	0.154096738905301	1.50028420165648	0.769714513584341	0	0	0	2.8050515212729	0.0173294872841002	NA	low_vs_no	NA	male	stool
hsa-let-7a-3p	29.3144989509521	218.993576421805	43.8510497356539	19.4344173248099	21.3699880736632	27.5279863987026	0.725699182380503	0.308092508550845	0.646965436269903	low_vs_no	FALSE	male	stool
hsa-let-7a-5p	7.93210001670709	11.8439012181188	16.9409438666853	6.62415237722266	6.99630075071638	6.07081661519291	0.86312996798469	0.161304924008505	0.488102172999976	low_vs_no	FALSE	male	stool
hsa-let-7b-3p	0.145416130965416	0.521438272133825	0.19303481359829	0	0	0	0.84066617410601	0.678127575050946	NA	low_vs_no	NA	male	stool
hsa-let-7b-5p	16.3991088203596	115.957286915098	32.4909585051149	11.0543575696546	14.4166402124574	10.8871157767177	0.396289071805943	0.610332490703797	0.841642011781699	low_vs_no	FALSE	male	stool
hsa-let-7c-3p	11.7841924494319	8.60410473676484	3.2480259699089	4.15869945786601	0.961585860093732	0.824239449759353	-0.787320661348287	0.321393130532372	0.657110650683642	low_vs_no	FALSE	male	stool
hsa-let-7c-5p	5.02874293431721	9.980734530944	5.7249523342333	4.3157360533091	4.10357313940218	3.73894879580706	0.681415997415628	0.33344943074067	0.667448021014523	low_vs_no	FALSE	male	stool
hsa-let-7d-3p	2.6779279398904	5.79207440547323	2.090425781611	2.14263827742595	1.8624211585188	0	1.60011489762028	0.128044179629042	0.451217517503773	low_vs_no	FALSE	male	stool
hsa-let-7d-5p	7.09101852588459	22.4499134109213	8.36673539610713	4.61604896341577	4.67065435223865	5.44355788835885	1.22894581601578	0.0957948526929451	0.40537291604552	low_vs_no	FALSE	male	stool
hsa-let-7e-3p	0.531898728441275	0.180206330756427	0.020470853845556	0	0	0	-0.0742086764076407	0.987149196461402	NA	low_vs_no	NA	male	stool
hsa-let-7e-5p	20.2764527998207	4.5845251750385	4.94230903201985	2.57610040146585	2.82545623182502	2.72177894417942	0.401441529914198	0.559065323617633	0.811407614543716	low_vs_no	FALSE	male	stool
hsa-let-7f-1-3p	0.0271295578075311	0.106809248456883	0.183256510051152	0	0	0	1.88520180780288	0.686955011507531	NA	low_vs_no	NA	male	stool
hsa-let-7f-2-3p	1.01829344721871	0.838384320434788	0.490934423003762	1.14270462987993	0	0	-0.315579272815043	0.791816185698033	NA	low_vs_no	NA	male	stool
hsa-let-7f-5p	2.42231113866981	2.650661695295	1.4824165013414	2.13598349603311	0.981743039151685	0.568447794059794	0.200739910990409	0.807110777921272	0.929683452725011	low_vs_no	FALSE	male	stool
hsa-let-7g-3p	7.8223161249296	6.26048677572814	4.76430358475786	2.66232979613048	1.34560825666358	0	0.475077469214536	0.564455918621988	0.813826755919253	low_vs_no	FALSE	male	stool
hsa-let-7g-5p	10.4924939017821	119.418069950349	24.4486142583542	8.81504794834965	7.77643073313194	6.0217470247162	-0.0592175039374134	0.946917168324392	0.989373404083017	low_vs_no	FALSE	male	stool
hsa-let-7i-3p	0	0.541165368132931	0.331339380523249	0	0	0	2.08984899544265	0.209769661691938	NA	low_vs_no	NA	male	stool
hsa-let-7i-5p	6.60928013876495	101.387599474282	44.7676255090374	5.8193597407036	9.57518768277572	8.11646548719435	0.845844601902723	0.313298571202428	0.649801382995263	low_vs_no	FALSE	male	stool
hsa-miR-1-2-5p:Novel	6.96095841962507	6.61653074614985	13.5216097434425	7.08616978012343	3.8062336350449	5.02185262901738	-0.631951212666797	0.34218278482477	0.67627769003255	low_vs_no	FALSE	male	stool
hsa-miR-1-3p	2.99497871024177	2.45958741168137	1.80438752652351	2.8263158925536	1.9198677274997	1.24631626526902	0.518803570182895	0.414550916897457	0.726517207293031	low_vs_no	FALSE	male	stool
hsa-miR-1-5p	9.67839169221082	14.8566464895081	21.3719331588718	7.78573169790071	6.2275391363182	9.27596055679354	-0.0622160084138146	0.928500410154163	0.987543513158838	low_vs_no	FALSE	male	stool
hsa-miR-100-3p	0.178931194577239	0.304037892571556	0.265865902060949	0.13673552302553	0	0	1.03740411275576	0.644641980257082	NA	low_vs_no	NA	male	stool
hsa-miR-100-5p	3.244780428303	5.08670674340112	6.55310058717826	1.75499675384062	0.736857454378152	0.573499716639638	0.634472629522427	0.621563840608174	0.845326823227117	low_vs_no	FALSE	male	stool
