ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	0.827270873975308	0.898654448861825	1.29296702840919	1.40455703846828	0	0	0.393065393346777	0	0.624242876178965	0.291369510738232	NA	obese_vs_normal	NA
hsa-let-7a-3p	2978.16790862748	297.251796237067	244.027144397768	69.6429685269719	34.056709772042	27.8990039989643	17.3993613699777	24.6027309938891	-1.06966629186067	NA	NA	obese_vs_normal	NA
hsa-let-7a-5p	16.7346043872451	19.7385716468288	14.108155441535	13.7627573775229	7.82190099475225	10.654577822862	7.76032624970511	6.51741208205103	-0.730523509547595	0.0530228638667041	0.281070913029154	obese_vs_normal	FALSE
hsa-let-7b-3p	0.494735396658854	0.645742115489531	0.397759020723691	0.439880553979861	0	0	0	0	0.21710979395356	0.822468984439172	NA	obese_vs_normal	NA
hsa-let-7b-5p	1746.2105315634	188.365410727908	119.007429458446	44.2130521460484	24.1742082840138	16.2769776159671	9.61431567877635	18.1603694651258	-1.19430941511464	NA	NA	obese_vs_normal	NA
hsa-let-7c-3p	14.4134724661831	9.75103166076847	7.59065154068159	2.84512131333159	0.623374540256912	2.49514350935203	1.59116050036155	0.494623154963669	-1.12339375846342	0.0311173426597739	0.214844957146613	obese_vs_normal	FALSE
hsa-let-7c-5p	122.386274522588	16.0758830117501	9.98159943527791	6.92224290121903	3.73894879580706	4.7707803801268	2.96582504311515	3.69120433929216	-0.980023897606562	NA	NA	obese_vs_normal	NA
hsa-let-7d-3p	19.2981432830558	4.62669954224863	3.33332100178432	5.17450183535987	2.14650177679158	2.18224930098261	1.30058336287295	0.394956383472435	0.100155149721472	0.849099587999228	0.940609374708913	obese_vs_normal	FALSE
hsa-let-7d-5p	364.914014154422	34.3935910767623	24.4091251563328	11.5699541825115	5.71645923098798	5.87248746573685	4.4243168109417	4.63914966500327	-1.24379105498473	NA	NA	obese_vs_normal	NA
hsa-let-7e-3p	0.101743879676781	0.164922833966137	0.0834240597763915	0	0	0	0	0	-0.490784164201404	0.752467817491598	NA	obese_vs_normal	NA
hsa-let-7e-5p	27.2985698631651	6.53321226145042	3.86342157580012	3.31369838037932	4.14660356793227	3.00841033915897	2.3710952772972	3.26127851028376	-1.19327304618684	0.00802388632557468	0.126157737475372	obese_vs_normal	FALSE
hsa-let-7f-1-3p	0.212000781760509	0.107640547558859	0.109645995576008	0.168650381738642	0	0	0	0	-0.0470411935791233	0.979462592514538	NA	obese_vs_normal	NA
