ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	1.22486948133326	1.4876799079305	0.766498203981738	0.558769401649672	0	0	0.708441067399065	0	-0.226100741503293	0.833376815976641	NA	16__vs_never	NA	male
hsa-let-7a-3p	296.132033749226	43.1214004629341	19.1727314317822	38.39833836052	25.3717071135186	19.1810318319568	20.5178656970109	52.3778652573625	0.677723639380408	NA	NA	16__vs_never	NA	male
hsa-let-7a-5p	14.5021975390984	9.22730338409301	23.138838284743	9.91132857989783	7.67277252121994	5.19542961278111	9.97053012215217	7.43242137994917	0.711111014907998	0.236621532446405	0.615520117224039	16__vs_never	FALSE	male
hsa-let-7b-3p	0.403689976504395	0.454376570997912	0.404804538424555	0.192391654261129	0	0	0	0	-0.943121099315046	0.606935136278221	NA	16__vs_never	NA	male
hsa-let-7b-5p	150.163738827614	36.4960948324284	14.8249036302415	21.017871364968	15.2839234282003	10.195501610806	10.8871157767177	14.8373166213827	-0.278419901543015	NA	NA	16__vs_never	NA	male
hsa-let-7c-3p	10.3879145953017	4.01842566174482	7.499811852839	2.08212703529556	0.988618811524092	0.985615138688518	0	0.955726363395268	0.914171837642095	0.259791754716387	0.638561033786943	16__vs_never	FALSE	male
hsa-let-7c-5p	12.0442814756957	5.53099933778565	2.96448431823119	7.83153489848041	3.96108430020299	4.04011550197032	3.4730526876676	7.43242137994917	1.31997350386654	0.0430920887994229	0.288954071172829	16__vs_never	FALSE	male
hsa-let-7d-3p	6.55686729084381	2.91750430364309	3.62404663848746	0.118763995110635	1.58556011008057	1.708577329339	2.49263253053804	0	-3.23310127409156	0.00502326929339008	0.0990456249033052	16__vs_never	FALSE	male
hsa-let-7d-5p	28.2890720821402	7.56340476314316	6.77379782158694	12.2605157536683	4.40630462035791	4.21076102818146	5.54718211004035	7.77192775405761	1.5855271384074	0.01859047065164	0.203428634093788	16__vs_never	FALSE	male
hsa-let-7e-3p	0.232524052654509	0.0996908440263434	0.0450942103231008	0.0273064675255791	0	0	0	0	-0.868442989935338	0.840027736596822	NA	16__vs_never	NA	male
hsa-let-7e-5p	5.44281615041627	7.21361898276383	2.31477928550455	1.70234383942804	2.82947772155458	3.34468384407374	2.12532320219719	0	-1.1585391237672	0.126022688115602	0.476232771578878	16__vs_never	FALSE	male
hsa-let-7f-1-3p	0.115307817792698	0.110671761915898	0.139578407393817	0.319983461431617	0	0	0	0	0.255226380726692	0.952584801523447	NA	16__vs_never	NA	male
hsa-let-7f-2-3p	0.474067882896058	1.27129438830478	0.493475220661719	0.229537607515396	0	0	0	0	-0.586292000480006	0.616139167061076	NA	16__vs_never	NA	male
hsa-let-7f-5p	2.22772346677493	2.6607247413584	2.26193383200642	1.07942981924378	0.799688301650416	1.26063627466377	0.708441067399065	0	-0.207356069778149	0.799663083034585	0.938608185653755	16__vs_never	FALSE	male
hsa-let-7g-3p	6.03833995540982	4.9862318239383	11.974539266228	0.476179310190012	1.27339214786982	0.234329965704418	4.78759384138786	0	-0.0360632862480565	0.967879928600898	0.988245757730851	16__vs_never	FALSE	male
hsa-let-7g-5p	158.520185973679	28.6259971261622	8.58762373625552	7.77384541337108	10.3188110906022	5.68462821199598	5.4935114671556	4.39634127161823	-1.01056696452723	0.218713376921387	0.598287446709296	16__vs_never	FALSE	male
