ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	1.06950214224998	0.713459067379522	0.966971659211639	0.651706492606642	0	0	-0.123138036168479	0.744283027170348	0.89580102660649	low_vs_no	FALSE	female	stool
hsa-let-7a-3p	1417.73239455306	101.878788860605	49.3508294209318	34.6764567050678	25.0823414946808	18.0795754435012	-0.023932257670331	0.925783717530797	0.966574328983511	low_vs_no	FALSE	female	stool
hsa-let-7a-5p	24.931995752609	17.5653819056461	16.0993213351793	12.0373802421656	9.98647466861402	8.59059713702474	0.154395737141655	0.505046523518808	0.757918566610786	low_vs_no	FALSE	female	stool
hsa-let-7b-3p	0.858491077228031	0.540891863079244	0.557956504468523	0	0	0	-0.262533427306638	0.664388358095234	NA	low_vs_no	NA	female	stool
hsa-let-7b-5p	851.48150705979	62.4095617820447	40.0919627020693	18.2150568732423	15.3027135876039	14.3451424633875	-0.564168492723103	0.0459123334822314	0.28028903782688	low_vs_no	FALSE	female	stool
hsa-let-7c-3p	15.1323656635576	6.80864949961291	4.19427170205284	7.06175855630324	2.22317377911274	0.475778301144768	-0.440401777227663	0.119390430512313	0.420492812339442	low_vs_no	FALSE	female	stool
hsa-let-7c-5p	58.9025838915463	8.37794450268923	11.7522682293612	4.7895664708198	4.02141845427713	2.68374942356112	-0.229687258268993	0.387533017262308	0.678227785104135	low_vs_no	FALSE	female	stool
hsa-let-7d-3p	9.86248416306272	3.99155207104751	2.47182605354972	2.25967385561204	2.72605348080627	0.606916135021273	-0.330309927488142	0.275634527194143	0.584494364698107	low_vs_no	FALSE	female	stool
hsa-let-7d-5p	166.891892619228	13.5086382749768	6.93873459151622	7.6381237841039	4.8994747853949	3.06900773732697	-0.376840495530895	0.155472307404578	0.466102008658428	low_vs_no	FALSE	female	stool
hsa-let-7e-3p	0.154410657303661	0.133590483713569	0.131014234856308	0	0	0	-0.0469772729146538	0.961069044856828	NA	low_vs_no	NA	female	stool
hsa-let-7e-5p	15.0105174884856	3.59135801029764	5.31292709305919	4.01690825356153	2.43281146106782	2.93133599159388	-0.828928571362881	0.00175695028523039	0.0690216130117829	low_vs_no	FALSE	female	stool
hsa-let-7f-1-3p	0.126376079261529	0.177557398265593	0.0167548055405326	0	0	0	0.206481681926544	0.872386635694907	NA	low_vs_no	NA	female	stool
