ID	Average_no	Average_low	Average_high	Median_no	Median_low	Median_high	log2FoldChange	pvalue	padj	test	treshold	samples	biospecimen
hsa-let-7a-2-3p	1.03639294178429	1.05654475664244	1.92415312794731	0	0	0.531954871265318	0.90922026032004	0.0970186462249409	NA	low_vs_no	NA	male	stool
hsa-let-7a-3p	48.8768392082969	35.2030332924936	651.511869702768	27.3723458838665	19.7849261985467	20.8355003961839	0.172715695240461	0.611231183053039	0.876718972569862	low_vs_no	FALSE	male	stool
hsa-let-7a-5p	13.4573253923574	13.2422632653846	12.573860795007	7.94681878921151	5.58597982912273	10.1160500055586	-0.104019403350476	0.737181026892237	0.918312165169894	low_vs_no	FALSE	male	stool
hsa-let-7b-3p	0.203907873152507	0.694249738148045	0.131887395679988	0	0	0	1.35131197438683	0.14567054001002	NA	low_vs_no	NA	male	stool
hsa-let-7b-5p	35.235295848105	30.0664806881935	315.079943409436	13.1770219438565	11.7897192700504	9.73975858463322	0.518118303146555	0.164666803033105	0.593323242674838	low_vs_no	FALSE	male	stool
hsa-let-7c-3p	7.72764451878788	6.69668038595696	6.96568180294267	2.37458017029279	0.590806191649104	1.0096444172833	0.523430381196061	0.216723073941597	0.636548917732343	low_vs_no	FALSE	male	stool
hsa-let-7c-5p	6.31682814775648	5.82950264528455	18.7363472574014	4.59247037226383	3.69812140669356	3.23430419386287	0.0184523720000384	0.959234166386334	0.984535486918626	low_vs_no	FALSE	male	stool
hsa-let-7d-3p	3.58817983205181	5.33067155011448	4.49588413742974	1.14596368092834	1.87545481897323	1.17244946840062	1.34255843504257	0.0105047858899094	0.179484997624366	low_vs_no	FALSE	male	stool
hsa-let-7d-5p	9.05371224989926	7.34685866360515	57.3827916351136	6.54482369363369	3.84634344037493	4.38172677130867	0.147786838621765	0.688640479060488	0.900295875382812	low_vs_no	FALSE	male	stool
hsa-let-7e-3p	0.232400082412039	0.117516515248496	0.0550580431985586	0	0	0	0.714053387762334	0.74099297398812	NA	low_vs_no	NA	male	stool
hsa-let-7e-5p	6.44414350232892	4.0490955507795	6.76821628318506	2.60094326535206	2.96773892978201	1.96348607830337	0.00202177744109576	0.995526755425639	0.998072309854861	low_vs_no	FALSE	male	stool
