ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	0.942686903736154	1.02683347991286	1.17051821379455	0.435744421914941	0.159711818525973	0.228433346146997	0	0	0.638528083686286	0.268243265228622	NA	inactive_vs_active	NA
hsa-let-7a-3p	39.3487537800089	1156.31540449293	189.326314864428	26.5210625134653	23.2089991035709	31.5724655489575	22.7203292515474	19.6045363015969	0.232341268793072	0.580913044498744	0.893171158088608	inactive_vs_active	FALSE
hsa-let-7a-5p	14.8653709159683	22.1337547122277	16.636564773276	13.1300384063166	8.03866353815742	11.2762876829646	8.45351830399412	9.99741058760175	-0.112871505989247	0.748103054265417	0.94440622744169	inactive_vs_active	FALSE
hsa-let-7b-3p	0.356313253510551	0.905052806045905	0.447389117398988	0.408381808800704	0	0	0	0	-0.350380266190802	0.693223307939731	NA	inactive_vs_active	NA
hsa-let-7b-5p	28.3376470036221	696.060840715834	101.597526768579	20.5851875647551	15.0012801883018	20.665133798883	11.6119457743321	18.1277967373767	-0.0339811640864561	0.940141049152224	0.988152114167469	inactive_vs_active	FALSE
hsa-let-7c-3p	9.21646118505245	10.9655490837593	6.75533478340296	11.7533261732037	2.44830048857609	2.81237988195279	1.20066046411503	0.542434106172183	-0.186400287309083	0.687781771616488	0.920413240378501	inactive_vs_active	FALSE
hsa-let-7c-5p	6.33383718133254	49.6618943869831	9.828997632737	4.63098260973339	3.76808991758418	4.84286836298446	4.18626224475404	3.42677784440799	0.0898079048378148	0.836301813717065	0.972004446172225	inactive_vs_active	FALSE
hsa-let-7d-3p	4.81720988167964	8.35054037496102	3.9967513177276	2.85657135989197	1.8679665438085	2.44071815275311	2.04140543879476	1.00961016083815	0.306951623572943	0.550913299804984	0.883863004651454	inactive_vs_active	FALSE
hsa-let-7d-5p	7.59129854943299	135.306518531879	20.2428095964952	7.8705066595671	4.73494902727735	7.14711644030435	5.09375031169093	4.38172677130867	0.0409910364281206	0.926092228458559	0.986980132465393	inactive_vs_active	FALSE
hsa-let-7e-3p	0.0954986276422663	0.158191769624693	0.195542231843969	0.0258301955320087	0	0	0	0	-0.0202882310525168	0.988126352471126	NA	inactive_vs_active	NA
hsa-let-7e-5p	5.22267021124708	11.6240772879241	5.72580095424203	2.23550487538067	2.9321627864757	3.37009825584894	2.98433563375728	2.01922032167631	0.837263834427355	0.0490306803195193	0.441655757652474	inactive_vs_active	FALSE
hsa-let-7f-1-3p	0.0891601039467211	0.136050125382957	0.133881183261019	0.292060402054614	0	0	0	0	-0.639502222901154	0.697785153548189	NA	inactive_vs_active	NA
hsa-let-7f-2-3p	0.481951577195762	0.628981819036113	0.815284432073519	0.515083907161805	0	0	0	0	-0.120998378097582	0.835680576593437	NA	inactive_vs_active	NA
hsa-let-7f-5p	2.35650095206858	2.91184193299978	2.49897720099475	1.98195432775572	0.862682491522911	1.29710505415964	0.87168241191758	1.64314753924075	-0.282580092854048	0.545366252681978	0.883863004651454	inactive_vs_active	FALSE
hsa-let-7g-3p	5.68988416953236	7.70098110951643	5.46267947422547	8.8070862228822	1.76055042590628	2.02448031322698	1.22843182004773	0.949122855443998	-0.15887672552354	0.705084778641761	0.929982509760254	inactive_vs_active	FALSE
hsa-let-7g-5p	18.4509290118925	781.723811725444	106.410265302871	12.8032590871606	8.43309332669327	10.1495759836346	7.52462418968986	9.49122855443998	0.174547970212408	0.735481222758563	0.941662151314311	inactive_vs_active	FALSE
hsa-let-7i-3p	0.41845101449655	0.484519402067519	0.439942303501736	0.387592861236492	0	0	0	0	-0.0850420810492362	0.901558716745657	NA	inactive_vs_active	NA
hsa-let-7i-5p	22.3072379026338	889.503581819812	88.7782596885421	19.1648953631066	8.83966954178873	12.6744755565052	8.9855932040069	10.0961016083815	-0.507651178818451	NA	NA	inactive_vs_active	NA
hsa-miR-1-2-5p:Novel	7.26191918798524	10.4396699201689	11.9669245148993	7.77120308570516	3.70606035547901	4.90845259954129	4.07972630929193	3.0206626676599	-0.274152095527776	0.510051416138317	0.876286986181225	inactive_vs_active	FALSE
hsa-miR-1-3p	2.41480443652679	2.90208580235146	2.25347169105733	1.58477171745427	1.94167690290153	1.74994966749667	1.44064298786283	1.51033133382995	0.503680335960994	0.187513540549044	0.680532905446454	inactive_vs_active	FALSE
hsa-miR-1-5p	10.8753717283957	14.9002571067687	17.8349290920461	6.09089289374071	5.98745209228741	7.15326274106433	8.68968697137025	3.96553767277245	0.599663090908818	0.121196877219211	0.603729560473371	inactive_vs_active	FALSE
hsa-miR-100-3p	0.391782661869335	0.310538730626804	0.28355398127999	0.154287784001239	0	0	0	0	0.515542989873393	0.541056710488031	NA	inactive_vs_active	NA
hsa-miR-100-5p	5.11301095787436	13.3473741272463	5.92193597436462	2.75653612549522	1.00780981975418	1.28497252368473	0.739654483687161	0	1.7186494850903	0.0137582648453045	0.297678821198406	inactive_vs_active	FALSE
hsa-miR-101-2-5p	1.28449715003921	1.45966128148702	1.59407783785874	1.44968350623894	0.643125479426559	0.631374725431504	0.447173230078023	0	-0.343180859893321	0.466702367596873	NA	inactive_vs_active	NA
hsa-miR-101-3p	3.27159863308418	3.5531579615259	4.24477673832068	3.69998118503241	2.37192511522088	3.09463074970347	2.60779333333672	2.37479074382152	-0.334182697391118	0.30726577824551	0.775221786810226	inactive_vs_active	FALSE
hsa-miR-101-5p	3.45418362272588	31.8397026936685	8.23237648873943	1.95026366500992	2.28879048697695	2.50008300999457	2.02646633065462	1.00961016083815	0.454466208954158	0.355081768115368	0.80575005326821	inactive_vs_active	FALSE
hsa-miR-10226	4.11814868269021	4.10359686524463	4.67578754563347	3.30118562394329	2.04395123858084	2.40687873064658	1.95529889599947	2.28451856293866	-0.11562698624295	0.776608522713514	0.955482743051319	inactive_vs_active	FALSE
hsa-miR-10226-3p:Novel	14.2925169591034	16.1061244529944	15.2630568608247	6.03074664859242	6.72773807998462	7.33523762081949	8.27233792017577	5.45950239896418	0.86795635822159	0.0279557892658033	0.371933544145035	inactive_vs_active	FALSE
hsa-miR-10392-3p	1.43699803931064	1.58045553931823	1.52688920041868	2.70142056334053	0.602880848875178	0.700480501783876	0.589138320688033	0	-0.2730978700162	0.598448799358763	NA	inactive_vs_active	NA
hsa-miR-10392-5p	116.954704663139	154.844758465714	175.991103593791	104.730086425944	81.8097353157623	77.2101097291702	94.0087834199987	89.1250601991834	0.27505183596309	0.33866267554209	0.80160026001241	inactive_vs_active	FALSE
hsa-miR-10393-3p	0.46626733959624	0.316271790312368	0.17991700596618	0.104855325573038	0	0	0	0	0.103867805503107	0.917450945647707	NA	inactive_vs_active	NA
hsa-miR-10393-5p	0.296708021195786	0.0873847171148811	0.0987181326385598	0.0258301955320087	0	0	0	0	-0.110252679183947	0.955167228009522	NA	inactive_vs_active	NA
hsa-miR-10394-3p	2.8409909943846	2.99922001337259	2.35625876839602	3.11213090658305	1.0129486009552	1.3547184981209	0.964994216350591	0.997989095032873	0.0202484498803413	0.967132896281536	0.992975225071318	inactive_vs_active	FALSE
hsa-miR-10394-5p	1.22146969525495	1.16430701402975	0.634691271060005	0.565296375578997	0	0	0	0	0.253075839611952	0.715254228688036	NA	inactive_vs_active	NA
hsa-miR-10395-3p	1.18354552654519	2.06895945719766	1.2608398094067	0.688969573487077	0.0475779204380613	0	0	0	-0.0295125968128374	0.963233776565471	NA	inactive_vs_active	NA
hsa-miR-10395-5p	6.5381340908802	7.69070933178818	5.37740667426694	3.6001981646462	2.59751895545353	3.08675059865873	2.20480191998556	2.01922032167631	0.0459630727757031	0.915030169800991	0.984427234411713	inactive_vs_active	FALSE
hsa-miR-10396a-3p	1.26875081394786	1.55807132085165	1.29927529413333	1.98965675597859	0.652193824350817	0.914376542176184	0.683457741903256	1.07382464212809	-0.621492950653167	0.0921343240978446	NA	inactive_vs_active	NA
