GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Y	0.0319846332185712	13	0.369198082414238	0.155906070111129	2.36808023030198	0.0179570098666508	0.196470813835121	GCK, PGK1, TPI1, ACSS1, HK2, PGAM1, PKM, PFKM, PGAM4, ALDH1A3, ALDOA, DLAT, LDHA	c2.cp.kegg.v7.1
KEGG_CITRATE_CYCLE_TCA_CYCLE	Y	0.0142974519874191	5	-0.742104231932038	0.821516049768105	-0.903335037874813	0.366435909440959	0.94788724160338	OGDH, SDHB, IDH3A, ACLY, DLAT	c2.cp.kegg.v7.1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	Y	0.00898975483665993	3	-1.63910171986764	1.67136949002314	-0.980693814056007	0.326839490426682	0.94788724160338	PFKM, ALDOA, G6PD	c2.cp.kegg.v7.1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Y	0.0119648670173903	4	-0.163364378889093	0.591297224822562	-0.276281321865015	0.782355040567175	0.999999999996835	UGT2B28, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Y	0.0145229518002869	5	-0.0687858711083752	0.478535976181467	-0.143742319349237	0.885715640077601	0.999999999996835	PFKM, TPI1, HK2, ALDOA, GMPPA	c2.cp.kegg.v7.1
KEGG_GALACTOSE_METABOLISM	Y	0.00916000805057197	3	0.36380236119552	0.312542020693717	1.16401103566178	0.244531598820253	0.94788724160338	GCK, PFKM, HK2	c2.cp.kegg.v7.1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Y	0.0144556593214831	5	-0.333314468567298	0.616945727240704	-0.540265462341477	0.589062524353373	0.94788724160338	UGT2B28, MIOX, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_FATTY_ACID_METABOLISM	Y	0.00631783030906777	2	-1.65635728178614	1.86908794779639	-0.886184774632433	0.375603956913801	0.94788724160338	ACADL, ACAA2	c2.cp.kegg.v7.1
KEGG_STEROID_BIOSYNTHESIS	Y	0.0142437381360587	5	-0.874898866673995	0.891669679623131	-0.98119167519947	0.326594013267665	0.94788724160338	SOAT1, LSS, CYP51A1, MSMO1, LIPA	c2.cp.kegg.v7.1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	N	2.90067969644235e-12	0	-7.8383500150993e-14	0.0197567165061505	-3.96743558711243e-12	0.999999999996835	0.999999999996835		c2.cp.kegg.v7.1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	Y	0.0240100817090441	9	0.0395271168662955	0.312172631314279	0.126619417915921	0.899251900032891	0.999999999996835	SRD5A3, UGT2B28, CYP1A1, CYP1B1, SRD5A1, HSD17B12, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_OXIDATIVE_PHOSPHORYLATION	Y	0.0486178822657138	21	-0.273330411368254	0.2904661134536	-0.941006192145427	0.34679340760832	0.94788724160338	ATP6AP1, MT-CO3, UQCRQ, ATP5MC1, ATP6V1A, ATP6V1C1, COX10, COX8A, COX7C, SDHB, ATP5F1B, COX6B1, COX6A1, UQCRFS1, MT-ND6, NDUFA7, NDUFV3, MT-ND1, NDUFS1, NDUFS5, NDUFS2	c2.cp.kegg.v7.1
KEGG_PURINE_METABOLISM	Y	0.0487268241548321	21	0.139724546004577	0.178704133548946	0.781876407835343	0.434361910456997	0.94788724160338	POLR2E, POLE3, ATIC, NME2, POLR3G, POLR3F, PDE4C, PDE4A, PRIM2, PAICS, POLR3A, POLR3K, PNP, HPRT1, POLR2J3, PKM, ADK, POLR3D, NPR1, PFAS, PPAT	c2.cp.kegg.v7.1
