GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	Y	0.00350190313182807	1	-0.826834433513542	1.90166204633427	-0.434795675239661	0.663748604849902	0.999999999996835	PHKA1	c2.cp.reactome.v7.1
REACTOME_TRANSLATION	Y	0.0936975082455202	47	0.138173028515232	0.12099184730301	1.14200280097545	0.253563191278977	0.945418754896448	SARS1, MRPS10, SEC61A1, RPL18, TRAM1, PABPC1, RPLP0, RPL3, EIF5, RPL18A, RPL28, MTRF1L, RPS12, SSR3, MRPL19, RPL22, SPCS2, ETF1, SSR1, RPL36, PTCD3, LARS1, NARS1, YARS1, WARS1, RPL13A, EIF2B5, RPS3A, MRRF, EIF4E, EEF1A1, MRPL17, RPL29, AIMP1, RPS7, TRMT112, EIF1AX, MRPS16, RPL35A, SRPRA, EIF3C, EIF4EBP1, RPL12, MRPS18B, RPL41, RPS28, MRPL12	c2.cp.reactome.v7.1
REACTOME_PYRIMIDINE_CATABOLISM	Y	0.00343853100811731	1	-1.65570263459804	2.64331183360467	-0.626374313294759	0.531127147890701	0.999999999996835	AGXT2	c2.cp.reactome.v7.1
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	Y	0.00355430091551192	1	-0.0490295709119739	1.04463381599734	-0.0469346963128551	0.962569056953205	0.999999999996835	ANAPC16	c2.cp.reactome.v7.1
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Y	0.0262394889823773	10	0.0821885446216482	0.279437276457444	0.294121620649867	0.768689604032646	0.999999999996835	L2HGDH, OGDH, NNT, SDHB, LDHA, DLAT, IDH3A, BSG, FAHD1, VDAC1	c2.cp.reactome.v7.1
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	Y	0.0193371490308303	7	-0.219263157407421	0.472909532287781	-0.46364715117223	0.642941288397572	0.999999999996835	ADD1, CLSPN, APC, CASP6, CASP7, CTNNB1, OCLN	c2.cp.reactome.v7.1
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Y	0.0214103278884201	8	-0.661155408143597	0.643720164012533	-1.02708512969733	0.304480625107411	0.990874654937816	ORC1, ORC6, ORC4, CDK2, PRIM2, POLE3, ORC5, MCM7	c2.cp.reactome.v7.1
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Y	0.0134590051692345	5	-3.09088247420228	1.55165042591094	-1.99199666534922	0.0464809913094744	0.460274075888757	CSTF1, CSTF2, NCBP2, WDR33, CPSF2	c2.cp.reactome.v7.1
REACTOME_GAP_JUNCTION_DEGRADATION	Y	0.00581532137498717	2	-5.32383695436513	2.47099081362638	-2.15453530826849	0.0312943162125393	0.368791480289309	CLTC, GJA1	c2.cp.reactome.v7.1
REACTOME_BASE_EXCISION_REPAIR	Y	0.0526363673699012	23	0.0235151085980547	0.200073289517995	0.117532473498616	0.906447637413036	0.999999999996835	UNG, POT1, TERF2, TDG, PARP1, POLE3, H4C8, H2AZ1, H4C3, H4C11, H4-16, H2AC18, H2BC15, H4C15, H4C14, H4C12, H4C6, H4C13, H4C9, H4C5, H4C4, H4C1, H4C2	c2.cp.reactome.v7.1
