GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	Y	0.0145230692312509	5	0.0608662236858317	0.406600477587151	0.149695406279462	0.881017114738258	0.999999999996835	POLR2E, SP1, TFAP4, CCNT1, CTDP1	c5.bp.v7.1
GO_CARDIAC_CHAMBER_DEVELOPMENT	Y	0.0634061503250318	29	0.17184198197398	0.14610687832913	1.17613889187939	0.239652355497499	0.890617512293101	UBE4B, PPP1R13L, FGFR2, FOXC1, PLXND1, ZFPM2, HEY2, GATA6, BMP10, NDST1, ID2, RBPJ, SMAD4, MDM2, MDM4, MYH10, MED1, PRDM1, BMPR1A, SMO, SRF, TGFB2, TP53, LUZP1, GREB1L, DCTN5, HAND2, ADAMTS1, MATR3	c5.bp.v7.1
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	Y	0.0144875936109485	5	-0.23273745497066	0.57117328621813	-0.407472584216373	0.683696123337141	0.999999999996835	DDX11, DONSON, MRE11, ATRX, RFWD3	c5.bp.v7.1
GO_CIRCADIAN_RHYTHM	Y	0.0970114028927931	49	0.0855484418703326	0.127363474151658	0.67168740834178	0.501845331644923	0.999999999996835	HUWE1, NCOA2, ATG7, RAI1, PPARGC1A, CHRNB2, BTBD9, CLDN4, CREB1, CRY2, CSNK1D, CSNK1E, DDB1, EGFR, AHR, EGR3, EZH2, KDM2A, CRTC1, TARDBP, SIN3A, HNRNPU, ID1, ID2, ID3, ID4, KMT2A, ASS1, NGFR, NONO, NTRK3, OPRL1, PPARA, PPP1CA, PPP1CB, PRKAA2, PTEN, RORA, SRD5A1, SUV39H1, TP53, KDM8, GPR157, OGT, BHLHE40, PER3, PER2, ADIPOQ, THRAP3	c5.bp.v7.1
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	Y	0.00920127519940116	3	-0.723978956008638	1.04560999908309	-0.692398654033059	0.48875188751376	0.999999999996835	LPCAT3, OSBPL10, PLA2G4F	c5.bp.v7.1
GO_SPINAL_CORD_DEVELOPMENT	Y	0.0327534545245649	13	-0.0131955457166947	0.27812207783306	-0.0474451572471538	0.96216226252576	0.999999999996835	AKT1, GDNF, INTU, MNX1, DRAXIN, LHX1, PLXDC1, PTBP2, SMO, SRD5A1, TAL1, DYNC2H1, NKX6-2	c5.bp.v7.1
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Y	0.0389575902783433	16	0.0558874769440615	0.229577374055207	0.243436345476371	0.80768754089846	0.999999999996835	TXNIP, FER, ABL1, RAPGEF1, HIP1, JAK2, PDGFRA, PTEN, PLEKHA1, NDRG4, VEGFA, NR4A3, ARID5B, SGPL1, ADIPOQ, LRIG2	c5.bp.v7.1
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	Y	0.00652448166617454	2	0.205239563014442	0.516233151379405	0.397571450934583	0.690980351821926	0.999999999996835	AKT1, SOCS5	c5.bp.v7.1
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	Y	0.0363952769714371	15	-0.610483602703562	0.441163751283668	-1.3838027284137	0.16654349596764	0.790915526060381	CDH5, ADD1, CTNNB1, FOXC1, GDNF, LHX1, LIF, NME2, NUMA1, MED1, VDR, NCOA3, S1PR2, ADIPOQ, ZEB2	c5.bp.v7.1
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	Y	0.187416010199819	115	0.100732872274954	0.0835035331781101	1.20633065980687	0.227805177523605	0.879457743427434	RAD50, RASGRP1, CDKN1A, VAV3, MAP3K2, MALT1, PDCD10, CKS1B, CLU, CRK, CRKL, MAPK14, CACUL1, CSK, DUSP6, DUSP7, EFNA1, EFNA5, EGFR, EPO, ERBB2, ERBB3, EREG, AKT1, EZH2, F2, FGFR1, SASH1, LPAR3, ABL1, DSTYK, RAPGEF1, HGF, IGF1, IGF2, IL6R, IRAK2, IRS1, ITGA1, ITGB3, JAK2, KIT, RHOA, KITLG, MAP3K11, MRE11, NAB2, NEDD9, NPM1, NTRK3, DDR2, MRNIP, ANGPT4, PDGFRA, PDPK1, GPRC5B, CAB39, PIK3CB, PIK3CG, NCAPG2, PPP2CA, CCDC88A, PRKAG1, PRKAR2A, MAPK3, MAP2K3, MAP2K7, PAK6, CASS4, TAOK1, MAP4K2, RAF1, RANBP2, CCND1, SAA1, CLSPN, NOD2, MLST8, SHC1, BMP2, WNK1, STK11, TAL1, PRDX2, TGFB2, THBS1, TNF, TP73, UBB, UBE2V1, VEGFA, WNT7B, LRP8, SRCIN1, HMGA2, AXIN1, FZD4, IKBKG, MAPKAPK5, LAMTOR3, ADAM9, TNFRSF10B, BCL10, CCNT1, SPAG9, CD4, MOB1B, MAPKAPK2, S1PR2, ACVR2B, CD19, ADIPOQ, RASSF2, ZEB2, OXSR1	c5.bp.v7.1
GO_POTASSIUM_ION_TRANSPORT	Y	0.0544541570373248	24	0.1006124227765	0.176784394920132	0.569125022725873	0.56932287788954	0.999999999996835	CDK2, SLC12A7, ALG10B, GCK, KCNA4, KCNB1, KCNC4, KCNJ3, KCNJ6, KCNJ12, KCNK1, KCNK3, KCNS3, CAB39, PTEN, WNK1, WNK3, SLC12A2, SUMO1, YWHAE, KCNK5, AKAP6, VPS4B, OXSR1	c5.bp.v7.1
