GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_TRANSLATION	Y	0.064873594256306	2	0.35308003868257	3.87660843957501	0.0910796238996164	0.927539799729503	0.999999999999995	MRPS10, RPS26	c2.cp.reactome.v7.1
REACTOME_PYRIMIDINE_CATABOLISM	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Y	0.0366054923732362	1	0.35051599514416	5.4578925430079	0.0642218571329707	0.948871312740845	0.999999999999995	GLO1	c2.cp.reactome.v7.1
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Y	0.0366054923732362	1	0.350515995144171	5.45789254300802	0.0642218571329713	0.948871312740844	0.999999999999995	CDK2	c2.cp.reactome.v7.1
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_GAP_JUNCTION_DEGRADATION	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_BASE_EXCISION_REPAIR	Y	0.0626985870157934	2	-6.47651930211685	8.03768919380848	-0.805768815632457	0.421535879676206	0.999999999999995	POLD3, H2BC5	c2.cp.reactome.v7.1
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	Y	0.0366054923732362	1	0.350515995144221	5.45789254300776	0.0642218571329837	0.948871312740835	0.999999999999995	SCP2	c2.cp.reactome.v7.1
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	Y	0.0366054923732362	1	0.350515995144221	5.45789254300776	0.0642218571329837	0.948871312740835	0.999999999999995	SCP2	c2.cp.reactome.v7.1
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	N	2.90067969644235e-12	0	2.97589487323431e-15	0.492068525586328	6.04772449058465e-15	0.999999999999995	0.999999999999995		c2.cp.reactome.v7.1
REACTOME_SIGNALING_BY_RHO_GTPASES	Y	0.112646279871593	4	0.892732799169786	2.15550083090157	0.414164906072613	0.679291232557196	0.999999999999995	WASL, STARD13, H2BC5, BUB1	c2.cp.reactome.v7.1
