"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-let-7a-3p","ACP1","52","ENSG00000143727","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","ACVR2B","93","ENSG00000114739","PAR-CLIP","22291592"
"mirtarbase","hsa-let-7a-3p","ADH1B","125","ENSG00000196616","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","ADH1B","125","ENSG00000196616","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","ADH1B","125","ENSG00000196616","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","ALDH1A3","220","ENSG00000184254","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","CCND1","595","ENSG00000110092","Luciferase reporter assay","25702703"
"mirtarbase","hsa-let-7a-3p","BTF3","689","ENSG00000145741","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","BTG1","694","ENSG00000133639","PAR-CLIP","22291592"
"mirtarbase","hsa-let-7a-3p","CCND2","894","ENSG00000118971","qRT-PCR//Western blot","26393798"
"mirtarbase","hsa-let-7a-3p","CDKN1B","1027","ENSG00000111276","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","CREB1","1385","ENSG00000118260","PAR-CLIP","23446348"
"mirtarbase","hsa-let-7a-3p","CS","1431","ENSG00000062485","CLASH","23622248"
"mirtarbase","hsa-let-7a-3p","CSTF2","1478","ENSG00000101811","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","DLX2","1746","ENSG00000115844","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","DSG2","1829","ENSG00000046604","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","DUSP6","1848","ENSG00000139318","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","E2F2","1870","ENSG00000007968","Western blot","25647078"
"mirtarbase","hsa-let-7a-3p","E2F2","1870","ENSG00000282899","Western blot","25647078"
"mirtarbase","hsa-let-7a-3p","EIF4A2","1974","ENSG00000156976","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","EN1","2019","ENSG00000163064","PAR-CLIP","26701625"
"mirtarbase","hsa-let-7a-3p","GABRG1","2565","ENSG00000163285","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","GSK3B","2932","ENSG00000082701","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","MSH6","2956","ENSG00000116062","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","HMGB2","3148","ENSG00000164104","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","HNRNPU","3192","ENSG00000153187","PAR-CLIP","26701625"
"mirtarbase","hsa-let-7a-3p","ITGA3","3675","ENSG00000005884","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","LDLR","3949","ENSG00000130164","PAR-CLIP","22012620"
"mirtarbase","hsa-let-7a-3p","LDLR","3949","ENSG00000130164","PAR-CLIP","21572407"
"mirtarbase","hsa-let-7a-3p","LDLR","3949","ENSG00000130164","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","TM4SF1","4071","ENSG00000169908","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","SMAD2","4087","ENSG00000175387","PAR-CLIP","27292025"
"mirtarbase","hsa-let-7a-3p","MBNL1","4154","ENSG00000152601","HITS-CLIP","23313552"
"mirtarbase","hsa-let-7a-3p","MDM2","4193","ENSG00000135679","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","CD99","4267","ENSG00000002586","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","CD99","4267","ENSG00000002586","HITS-CLIP","19536157"
"mirtarbase","hsa-let-7a-3p","PGGT1B","5229","ENSG00000164219","PAR-CLIP","20371350"
"mirtarbase","hsa-let-7a-3p","PHKA1","5255","ENSG00000067177","HITS-CLIP","23824327"
"mirtarbase","hsa-let-7a-3p","PHKA1","5255","ENSG00000067177","HITS-CLIP","27418678"
