"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-151a-3p","ACP1","52","ENSG00000143727","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","CCNE1","898","ENSG00000105173","Luciferase reporter assay","23416081"
"mirtarbase","hsa-miR-151a-3p","EFNA3","1944","ENSG00000143590","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","MEGF9","1955","ENSG00000106780","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","FRK","2444","ENSG00000111816","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","FRK","2444","ENSG00000111816","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","GRM3","2913","ENSG00000198822","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-151a-3p","HADH","3033","ENSG00000138796","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","HIF1A","3091","ENSG00000100644","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","IKBKB","3551","ENSG00000104365","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","IL12RB2","3595","ENSG00000081985","Luciferase reporter assay//qRT-PCR//Western blot","27992076"
"mirtarbase","hsa-miR-151a-3p","IREB2","3658","ENSG00000136381","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","KCNJ6","3763","ENSG00000157542","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","KCNJ6","3763","ENSG00000157542","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","KCNJ6","3763","ENSG00000157542","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-151a-3p","KLRD1","3824","ENSG00000134539","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","TNPO1","3842","ENSG00000083312","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","MAP1B","4131","ENSG00000131711","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","MCL1","4170","ENSG00000143384","Sequencing//PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","MCL1","4170","ENSG00000143384","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-151a-3p","MCL1","4170","ENSG00000143384","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","MCL1","4170","ENSG00000143384","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","NTRK3","4916","ENSG00000140538","Luciferase reporter assay","21143953"
"mirtarbase","hsa-miR-151a-3p","PDCL","5082","ENSG00000136940","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-151a-3p","PURB","5814","ENSG00000146676","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","RNF4","6047","ENSG00000063978","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","SLC6A6","6533","ENSG00000131389","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-151a-3p","TCOF1","6949","ENSG00000070814","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","TWIST1","7291","ENSG00000122691","Luciferase reporter assay//qRT-PCR//Western blot","27930738"
"mirtarbase","hsa-miR-151a-3p","ZNF711","7552","ENSG00000147180","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","FXR1","8087","ENSG00000114416","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-151a-3p","EIF3B","8662","ENSG00000106263","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","SH3BP5","9467","ENSG00000131370","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-151a-3p","PSMF1","9491","ENSG00000125818","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","PUM1","9698","ENSG00000134644","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","MLEC","9761","ENSG00000110917","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","ZBTB24","9841","ENSG00000112365","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","DENND4B","9909","ENSG00000198837","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","MED13","9969","ENSG00000108510","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","SAE1","10055","ENSG00000142230","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","YWHAQ","10971","ENSG00000134308","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","HNRNPUL1","11100","ENSG00000105323","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","GLMN","11146","ENSG00000174842","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","PAR-CLIP//HITS-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","HITS-CLIP","24906430"
"mirtarbase","hsa-miR-151a-3p","SEPTIN8","23176","ENSG00000164402","HITS-CLIP","23706177"
"mirtarbase","hsa-miR-151a-3p","FKBP15","23307","ENSG00000119321","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","RYBP","23429","ENSG00000163602","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-151a-3p","RYBP","23429","ENSG00000281766","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-151a-3p","CABIN1","23523","ENSG00000281670","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","CABIN1","23523","ENSG00000099991","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","KBTBD2","25948","ENSG00000170852","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","TSKU","25987","ENSG00000182704","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-151a-3p","FBXO5","26271","ENSG00000112029","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","AATF","26574","ENSG00000276072","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","AATF","26574","ENSG00000275700","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","MLH3","27030","ENSG00000119684","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","UTP25","27042","ENSG00000117597","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","INTU","27152","ENSG00000164066","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","INTU","27152","ENSG00000164066","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","INTU","27152","ENSG00000164066","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","INTU","27152","ENSG00000164066","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","CECR2","27443","ENSG00000099954","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","SAP30BP","29115","ENSG00000161526","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","MRPS21","54460","ENSG00000266472","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-151a-3p","MBTD1","54799","ENSG00000011258","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","NDE1","54820","ENSG00000275911","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","NDE1","54820","ENSG00000072864","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","RNF125","54941","ENSG00000101695","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","TBC1D19","55296","ENSG00000109680","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-151a-3p","SPRYD7","57213","ENSG00000123178","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","USP36","57602","ENSG00000055483","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","PLEKHA2","59339","ENSG00000169499","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","WNK3","65267","ENSG00000196632","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","SETD7","80854","ENSG00000145391","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","RPUSD4","84881","ENSG00000165526","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","CASC4","113201","ENSG00000166734","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","AZIN2","113451","ENSG00000142920","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","UHMK1","127933","ENSG00000152332","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-151a-3p","EMB","133418","ENSG00000170571","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","IFNLR1","163702","ENSG00000185436","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-151a-3p","STXBP4","252983","ENSG00000166263","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","ZBTB38","253461","ENSG00000177311","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-151a-3p","ANKRD52","283373","ENSG00000139645","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","ZNF763","284390","ENSG00000197054","Luciferase reporter assay","20591824"
"mirtarbase","hsa-miR-151a-3p","CYP4V2","285440","ENSG00000145476","PAR-CLIP","22100165"
"mirtarbase","hsa-miR-151a-3p","POTED","317754","ENSG00000166351","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-151a-3p","POTED","317754","ENSG00000166351","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","POTED","317754","ENSG00000166351","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","POTED","317754","ENSG00000166351","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","KY","339855","ENSG00000174611","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","SFT2D2","375035","ENSG00000213064","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","RBM43","375287","ENSG00000184898","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","LIN28B","389421","ENSG00000187772","Sequencing","20371350"
"mirtarbase","hsa-miR-151a-3p","ZNF772","400720","ENSG00000197128","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-151a-3p","ZNF772","400720","ENSG00000197128","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-151a-3p","ZNF772","400720","ENSG00000197128","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-151a-3p","PIM3","415116","ENSG00000198355","CLASH","23622248"
"mirtarbase","hsa-miR-151a-3p","KRTAP5-6","440023","ENSG00000277389","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","KRTAP5-6","440023","ENSG00000205864","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-151a-3p","ZNF736","728927","ENSG00000234444","PAR-CLIP","22291592"
