"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-miR-200b-3p","ZEB1","6935","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","100996668","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","6935","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","100996668","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","6935","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","100996668","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","6935","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","100996668","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","6935","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB1","100996668","ENSG00000148516","","18376396"
"mirecords","hsa-miR-200b-3p","ZEB2","9839","ENSG00000169554","","18376396"
"mirecords","hsa-miR-200b-3p","RERE","473","ENSG00000142599","","17923093"
"mirecords","hsa-miR-200b-3p","ZEB2","9839","ENSG00000169554","","20037478"
"mirecords","hsa-miR-200b-3p","FOG2","","","","20005803"
"mirecords","hsa-miR-200b-3p","ERBB2IP","55914","ENSG00000112851","","20005803"
"mirecords","hsa-miR-200b-3p","BAP1","8314","ENSG00000163930","","20005803"
"mirecords","hsa-miR-200b-3p","KLHL20","27252","ENSG00000076321","","20005803"
"mirecords","hsa-miR-200b-3p","PTPRD","5789","ENSG00000153707","","20005803"
"mirecords","hsa-miR-200b-3p","ELMO2","63916","ENSG00000062598","","20005803"
"mirecords","hsa-miR-200b-3p","WDR37","22884","ENSG00000047056","","20005803"
"mirecords","hsa-miR-200b-3p","ERRFI1","54206","ENSG00000116285","","19671845"
"mirecords","hsa-miR-200b-3p","WAVE3","","","","19801681"
"mirecords","hsa-miR-200b-3p","BMI1","648","ENSG00000168283","Western blot","21725369"
"mirtarbase","hsa-miR-200b-3p","XIAP","331","ENSG00000101966","Luciferase reporter assay//qRT-PCR//Western blot","21993663"
"mirtarbase","hsa-miR-200b-3p","RHOA","387","ENSG00000067560","Luciferase reporter assay","26903801"
"mirtarbase","hsa-miR-200b-3p","RND3","390","ENSG00000115963","Luciferase reporter assay","20683643"
"mirtarbase","hsa-miR-200b-3p","RND3","390","ENSG00000115963","qRT-PCR//Luciferase reporter assay//Western blot","24667864"
"mirtarbase","hsa-miR-200b-3p","RND3","390","ENSG00000115963","Luciferase reporter assay","24151081"
"mirtarbase","hsa-miR-200b-3p","RND3","390","ENSG00000115963","Luciferase reporter assay//qRT-PCR","26254780"
"mirtarbase","hsa-miR-200b-3p","RND3","390","ENSG00000115963","Luciferase reporter assay//qRT-PCR","26935796"
"mirtarbase","hsa-miR-200b-3p","ARHGDIA","396","ENSG00000141522","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-200b-3p","RERE","473","ENSG00000142599","Luciferase reporter assay","17923093"
"mirtarbase","hsa-miR-200b-3p","ATP5MC3","518","ENSG00000154518","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-200b-3p","ATP6V1E1","529","ENSG00000131100","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-200b-3p","AVPR1A","552","ENSG00000166148","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-200b-3p","AVPR1A","552","ENSG00000166148","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-200b-3p","AVPR1A","552","ENSG00000166148","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-200b-3p","BCL2","596","ENSG00000171791","Luciferase reporter assay//qRT-PCR//Western blot","21993663"
