"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirecords","hsa-miR-200c-3p","ZEB1","6935","ENSG00000148516","Western blot","18483486"
"mirecords","hsa-miR-200c-3p","ZEB1","100996668","ENSG00000148516","Western blot","18483486"
"mirecords","hsa-miR-200c-3p","ZEB1","6935","ENSG00000148516","Western blot","18483486"
"mirecords","hsa-miR-200c-3p","ZEB1","100996668","ENSG00000148516","Western blot","18483486"
"mirecords","hsa-miR-200c-3p","FOG2","","","","20005803"
"mirecords","hsa-miR-200c-3p","ERBB2IP","55914","ENSG00000112851","","20005803"
"mirecords","hsa-miR-200c-3p","BAP1","8314","ENSG00000163930","","20005803"
"mirecords","hsa-miR-200c-3p","KLHL20","27252","ENSG00000076321","","20005803"
"mirecords","hsa-miR-200c-3p","PTPRD","5789","ENSG00000153707","","20005803"
"mirecords","hsa-miR-200c-3p","ELMO2","63916","ENSG00000062598","","20005803"
"mirecords","hsa-miR-200c-3p","WDR37","22884","ENSG00000047056","","20005803"
"mirecords","hsa-miR-200c-3p","ERRFI1","54206","ENSG00000116285","","19671845"
"mirecords","hsa-miR-200c-3p","ZEB1","6935","ENSG00000148516","phenotypic analysis of target gene","19502803"
"mirecords","hsa-miR-200c-3p","ZEB1","100996668","ENSG00000148516","phenotypic analysis of target gene","19502803"
"mirecords","hsa-miR-200c-3p","JAG1","182","ENSG00000101384","Western blot//Luciferase activity assay","21224847"
"mirtarbase","hsa-miR-200c-3p","ACVR2B","93","ENSG00000114739","Luciferase reporter assay//Western blot","22431721"
"mirtarbase","hsa-miR-200c-3p","JAG1","182","ENSG00000101384","Immunohistochemistry//qRT-PCR","21224848"
"mirtarbase","hsa-miR-200c-3p","JAG1","182","ENSG00000101384","Immunofluorescence//qRT-PCR","26302069"
"mirtarbase","hsa-miR-200c-3p","XIAP","331","ENSG00000101966","Luciferase reporter assay//qRT-PCR//Western blot","21993663"
"mirtarbase","hsa-miR-200c-3p","XIAP","331","ENSG00000101966","Immunoblot//Luciferase reporter assay//qRT-PCR","25985365"
"mirtarbase","hsa-miR-200c-3p","RHOA","387","ENSG00000067560","Luciferase reporter assay//qRT-PCR//Western blot","23272142"
"mirtarbase","hsa-miR-200c-3p","RND3","390","ENSG00000115963","Luciferase reporter assay//qRT-PCR//Western blot","23821457"
"mirtarbase","hsa-miR-200c-3p","ARHGDIA","396","ENSG00000141522","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-200c-3p","ATP5MC3","518","ENSG00000154518","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-200c-3p","ATP6V1E1","529","ENSG00000131100","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-200c-3p","ATRX","546","ENSG00000085224","Western blot//qRT-PCR","23708087"
"mirtarbase","hsa-miR-200c-3p","AVPR1A","552","ENSG00000166148","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-200c-3p","AVPR1A","552","ENSG00000166148","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-200c-3p","AVPR1A","552","ENSG00000166148","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-200c-3p","BCL2","596","ENSG00000171791","Luciferase reporter assay//qRT-PCR//Western blot","21993663"
"mirtarbase","hsa-miR-200c-3p","BMI1","648","ENSG00000168283","Luciferase reporter assay//Western blot","19665978"
"mirtarbase","hsa-miR-200c-3p","BMI1","648","ENSG00000168283","Immunoblot//Luciferase reporter assay//qRT-PCR//Northern blot//Western blot","21294122"
