"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-378i","ACACA","31","ENSG00000275176","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-378i","ACACA","31","ENSG00000278540","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-378i","AKT1","207","ENSG00000142208","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-378i","MYRF","745","ENSG00000124920","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-378i","NDST1","3340","ENSG00000070614","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-378i","KCNJ6","3763","ENSG00000157542","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-378i","P4HB","5034","ENSG00000185624","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-378i","RAP1B","5908","ENSG00000127314","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-378i","REST","5978","ENSG00000084093","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-378i","REST","5978","ENSG00000084093","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-378i","REST","5978","ENSG00000084093","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-378i","REST","5978","ENSG00000084093","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-378i","TGFB2","7042","ENSG00000092969","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-378i","YY1","7528","ENSG00000100811","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-378i","TXNL1","9352","ENSG00000091164","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-378i","TXNL1","9352","ENSG00000091164","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","TXNL1","9352","ENSG00000091164","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-378i","IGDCC3","9543","ENSG00000174498","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-378i","WTAP","9589","ENSG00000146457","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-378i","HIPK3","10114","ENSG00000110422","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-378i","ZNF609","23060","ENSG00000180357","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-378i","PRKD2","25865","ENSG00000105287","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","RDH11","51109","ENSG00000072042","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-378i","LGSN","51557","ENSG00000146166","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-378i","CAB39","51719","ENSG00000135932","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-378i","SPA17","53340","ENSG00000064199","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","ARL8B","55207","ENSG00000134108","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","WDR33","55339","ENSG00000136709","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-378i","RCC2","55920","ENSG00000179051","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-378i","RCC2","55920","ENSG00000281540","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-378i","CELF4","56853","ENSG00000101489","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-378i","CYP20A1","57404","ENSG00000119004","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","ESYT2","57488","ENSG00000117868","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","CACNG8","59283","ENSG00000142408","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-378i","DCTPP1","79077","ENSG00000179958","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-378i","HAUS3","79441","ENSG00000214367","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-378i","VPS37B","79720","ENSG00000139722","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-378i","LMNB2","84823","ENSG00000176619","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-378i","PPARGC1B","133522","ENSG00000155846","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-378i","DPY19L3","147991","ENSG00000178904","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-378i","ARGFX","503582","ENSG00000186103","PAR-CLIP","22012620"
