"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-425-3p","CAPNS1","826","ENSG00000126247","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","DYNC1LI2","1783","ENSG00000135720","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-425-3p","ARID3A","1820","ENSG00000116017","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","GATA6","2627","ENSG00000141448","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-425-3p","GNAS","2778","ENSG00000087460","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-425-3p","HDLBP","3069","ENSG00000115677","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-425-3p","HDLBP","3069","ENSG00000115677","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-425-3p","HSPA1B","3304","ENSG00000231555","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","HSPA1B","3304","ENSG00000232804","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","HSPA1B","3304","ENSG00000204388","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","HSPA1B","3304","ENSG00000224501","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","HSPA1B","3304","ENSG00000212866","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","MDH2","4191","ENSG00000146701","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","MECP2","4204","ENSG00000169057","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","NDUFA7","4701","ENSG00000267855","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-425-3p","PLCG2","5336","ENSG00000197943","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-425-3p","PLCG2","5336","ENSG00000197943","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-425-3p","PKN1","5585","ENSG00000123143","CLASH","23622248"
"mirtarbase","hsa-miR-425-3p","PTPRF","5792","ENSG00000142949","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-425-3p","RAC1","5879","ENSG00000136238","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-425-3p","RAC1","5879","ENSG00000136238","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-425-3p","RAC1","5879","ENSG00000136238","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-425-3p","RAC1","5879","ENSG00000136238","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-425-3p","RAC1","5879","ENSG00000136238","PAR-CLIP","20371350"
