"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-550a-3-5p","CBS","875","ENSG00000160200","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","KLF6","1316","ENSG00000067082","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-550a-3-5p","CPM","1368","ENSG00000135678","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","DHODH","1723","ENSG00000102967","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","DYRK1A","1859","ENSG00000157540","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","EHHADH","1962","ENSG00000113790","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-550a-3-5p","ERCC1","2067","ENSG00000012061","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-550a-3-5p","GABPB1","2553","ENSG00000104064","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","GALNT2","2590","ENSG00000143641","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","B4GALT1","2683","ENSG00000086062","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","KCNJ11","3767","ENSG00000187486","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","KCNJ11","3767","ENSG00000187486","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-550a-3-5p","MKI67","4288","ENSG00000148773","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","NINJ1","4814","ENSG00000131669","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","NPR1","4881","ENSG00000169418","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","PCCB","5096","ENSG00000114054","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","RAB13","5872","ENSG00000143545","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","RAD51","5888","ENSG00000051180","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","RBMS2","5939","ENSG00000076067","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","RPS6KB1","6198","ENSG00000108443","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-550a-3-5p","SNAPC3","6619","ENSG00000164975","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","SOX11","6664","ENSG00000176887","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-550a-3-5p","ZNF70","7621","ENSG00000187792","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-550a-3-5p","ZNF154","7710","ENSG00000179909","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","SMC1A","8243","ENSG00000072501","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-550a-3-5p","SMC1A","8243","ENSG00000072501","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-550a-3-5p","FZD6","8323","ENSG00000164930","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-550a-3-5p","FZD6","8323","ENSG00000164930","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-550a-3-5p","FZD6","8323","ENSG00000164930","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-550a-3-5p","FZD6","8323","ENSG00000164930","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-550a-3-5p","FZD6","8323","ENSG00000164930","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-550a-3-5p","EIF3F","8665","ENSG00000175390","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","STX16","8675","ENSG00000124222","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","APLN","8862","ENSG00000171388","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-550a-3-5p","FOXH1","8928","ENSG00000160973","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-550a-3-5p","LIMD1","8994","ENSG00000144791","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","KCNK6","9424","ENSG00000099337","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","TMEM59","9528","ENSG00000116209","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","KLHL21","9903","ENSG00000162413","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-550a-3-5p","HNRNPDL","9987","ENSG00000152795","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-550a-3-5p","ACTR1A","10121","ENSG00000138107","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-550a-3-5p","ACTR1A","10121","ENSG00000138107","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-550a-3-5p","DCAF7","10238","ENSG00000136485","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","BPNT1","10380","ENSG00000162813","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","KIF1C","10749","ENSG00000129250","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","ZNF277","11179","ENSG00000198839","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","NT5C2","22978","ENSG00000076685","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","NT5C2","22978","ENSG00000076685","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","TTC28","23331","ENSG00000100154","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","HAUS5","23354","ENSG00000249115","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","EXOSC2","23404","ENSG00000130713","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-550a-3-5p","MOB4","25843","ENSG00000115540","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","UBXN7","26043","ENSG00000163960","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","TMX2","51075","ENSG00000213593","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-550a-3-5p","GDE1","51573","ENSG00000006007","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-550a-3-5p","MYO3A","53904","ENSG00000095777","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-550a-3-5p","ELP6","54859","ENSG00000163832","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-550a-3-5p","SEMA4C","54910","ENSG00000168758","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-550a-3-5p","SEMA4C","54910","ENSG00000168758","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-550a-3-5p","SEMA4C","54910","ENSG00000168758","PAR-CLIP","20371350"
