"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-551a","CKB","1152","ENSG00000166165","Luciferase reporter assay//qRT-PCR//","25601461"
"mirtarbase","hsa-miR-551a","PDE4C","5143","ENSG00000105650","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-551a","IER3","8870","ENSG00000237155","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","IER3","8870","ENSG00000206478","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","IER3","8870","ENSG00000137331","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","IER3","8870","ENSG00000235030","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","IER3","8870","ENSG00000227231","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","IER3","8870","ENSG00000230128","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","AP5Z1","9907","ENSG00000242802","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-551a","PTP4A3","11156","ENSG00000275575","qRT-PCR//Western blot","22469786"
"mirtarbase","hsa-miR-551a","PTP4A3","11156","ENSG00000184489","qRT-PCR//Western blot","22469786"
"mirtarbase","hsa-miR-551a","CEMIP2","23670","ENSG00000135048","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-551a","SELENOS","55829","ENSG00000131871","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-551a","SELENOS","55829","ENSG00000131871","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-551a","SELENOS","55829","ENSG00000131871","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-551a","SELENOS","55829","ENSG00000131871","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-551a","ANKRD50","57182","ENSG00000151458","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-551a","REXO1","57455","ENSG00000079313","PAR-CLIP","24398324"
"mirtarbase","hsa-miR-551a","REXO1","57455","ENSG00000079313","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-551a","MAP3K21","84451","ENSG00000143674","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-551a","STX1B","112755","ENSG00000099365","PAR-CLIP","27292025"
