"database","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","pubmed_id"
"mirtarbase","hsa-miR-645","ACTN4","81","ENSG00000130402","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-645","ACTN4","81","ENSG00000282844","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-645","ALDOA","226","ENSG00000149925","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","CDKN1A","1026","ENSG00000124762","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-645","AFF2","2334","ENSG00000155966","HITS-CLIP","28735896"
"mirtarbase","hsa-miR-645","HLX","3142","ENSG00000136630","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-645","IFIT2","3433","ENSG00000119922","Immunohistochemistry//Luciferase reporter assay//Mass spectrometry//qRT-PCR//Western blot","25174799"
"mirtarbase","hsa-miR-645","KCNJ6","3763","ENSG00000157542","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","NFYA","4800","ENSG00000001167","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","DDR2","4921","ENSG00000162733","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","PDE4C","5143","ENSG00000105650","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","PDE4C","5143","ENSG00000105650","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-645","MAP4K2","5871","ENSG00000168067","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","SCD","6319","ENSG00000099194","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-645","PPM1D","8493","ENSG00000170836","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","PER2","8864","ENSG00000132326","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-645","EHD1","10938","ENSG00000110047","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","SOX30","11063","ENSG00000039600","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","TRUB2","26995","ENSG00000167112","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","TRAT1","50852","ENSG00000163519","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","MEMO1","51072","ENSG00000162959","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-645","DNAJC10","54431","ENSG00000077232","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-645","TMED9","54732","ENSG00000184840","HITS-CLIP","19536157"
"mirtarbase","hsa-miR-645","TRPM7","54822","ENSG00000092439","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","PTCD3","55037","ENSG00000132300","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","ZSWIM6","57688","ENSG00000130449","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-645","TMEM267","64417","ENSG00000151881","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","TTC13","79573","ENSG00000143643","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","LONRF3","79836","ENSG00000175556","PAR-CLIP","23708386"
"mirtarbase","hsa-miR-645","ZSCAN16","80345","ENSG00000196812","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","QRFPR","84109","ENSG00000186867","HITS-CLIP","23313552"
"mirtarbase","hsa-miR-645","YIPF4","84272","ENSG00000119820","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","DCTN5","84516","ENSG00000166847","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","LMNB2","84823","ENSG00000176619","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-645","FRMD5","84978","ENSG00000171877","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-645","COX20","116228","ENSG00000203667","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-645","CCDC127","133957","ENSG00000164366","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-645","BTBD19","149478","ENSG00000222009","HITS-CLIP","27418678"
"mirtarbase","hsa-miR-645","CNKSR3","154043","ENSG00000153721","PAR-CLIP","22291592"
"mirtarbase","hsa-miR-645","AWAT2","158835","ENSG00000147160","PAR-CLIP","22012620"
"mirtarbase","hsa-miR-645","ZNF519","162655","ENSG00000175322","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","ADAMTS18","170692","ENSG00000140873","HITS-CLIP","23824327"
"mirtarbase","hsa-miR-645","PLD5","200150","ENSG00000180287","PAR-CLIP","23592263"
"mirtarbase","hsa-miR-645","PLD5","200150","ENSG00000180287","PAR-CLIP","23446348"
"mirtarbase","hsa-miR-645","PLD5","200150","ENSG00000180287","PAR-CLIP","21572407"
"mirtarbase","hsa-miR-645","PLD5","200150","ENSG00000180287","PAR-CLIP","20371350"
"mirtarbase","hsa-miR-645","PLD5","200150","ENSG00000180287","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-645","PLD5","200150","ENSG00000180287","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-645","POTEG","404785","ENSG00000187537","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-645","POTEG","404785","ENSG00000187537","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-645","POTEM","641455","ENSG00000222036","PAR-CLIP","26701625"
"mirtarbase","hsa-miR-645","POTEM","641455","ENSG00000222036","PAR-CLIP","27292025"
"mirtarbase","hsa-miR-645","TMEM178B","100507421","ENSG00000261115","PAR-CLIP","27292025"
