"GS","converged","loss","gene.tested","coef","std.err","t.value","p.value","adj.p.val"
"GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION","Y",0.0228461008778777,31,0.17461421203654,0.162180653219635,1.07666487074797,0.281658768496607,0.999999999999867
"GO_CARDIAC_CHAMBER_DEVELOPMENT","Y",0.0676417884909226,114,0.117755242252297,0.0948244133279711,1.24182410541276,0.214333712505583,0.999999999999867
"GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY","Y",0.0209848608202249,28,-0.138133175022262,0.304402775077238,-0.453784217266787,0.649995047230961,0.999999999999867
"GO_CIRCADIAN_RHYTHM","Y",0.0710295276778892,121,-0.112841402572334,0.140319468612406,-0.804174956534556,0.421317105090338,0.999999999999867
"GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING","Y",0.00930486840409102,11,-9.0431179380291,757.135409428759,-0.0119438581598659,0.990470670348077,0.999999999999867
"GO_SPINAL_CORD_DEVELOPMENT","Y",0.0350315052508744,52,-9.40963935330912,459.327247066268,-0.0204856981888374,0.98365637338963,0.999999999999867
"GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY","Y",0.0241314906188076,33,0.101112184361434,0.180086858809954,0.56146342398108,0.574495588116499,0.999999999999867
"GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS","Y",0.0129228377373923,16,0.251567153788449,0.195900000536809,1.28416106737672,0.199118543036745,0.999999999999867
"GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION","Y",0.0209975203163012,28,0.0292036043465274,0.223275619880855,0.130796207674224,0.895939436040266,0.999999999999867
"GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY","Y",0.160493299971891,341,0.119678371369457,0.056154729039051,2.13122515979429,0.0330975207797891,0.794677543657522
"GO_POTASSIUM_ION_TRANSPORT","Y",0.0583575645914654,95,-0.0181010280404608,0.132853192558703,-0.136248348209341,0.89162799168945,0.999999999999867
"GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY","Y",0.0157119149033933,20,-0.308458695487732,0.488201048189113,-0.631827188065039,0.527515796959607,0.999999999999867
"GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","Y",0.0498521591423249,79,0.241602670682399,0.0911333772178412,2.65108874550849,0.00803727595058554,0.50333699182434
"GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION","Y",0.0184087118505574,24,-0.0082133450149843,0.258577298065233,-0.0317635967133986,0.97466127943333,0.999999999999867
"GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION","Y",0.0190386145565355,25,0.138081826551631,0.192937152889476,0.715682928267997,0.474205655436738,0.999999999999867
"GO_APICAL_PROTEIN_LOCALIZATION","Y",0.00459781435058876,5,0.441347886065802,0.260269097105005,1.6957368007764,0.0899702002934955,0.999999999999867
"GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY","Y",0.0485681166082543,76,-0.045173263329086,0.156022429052914,-0.289530573285498,0.772182032862768,0.999999999999867
