GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	Y	0.00709821422700101	8	0.189901234456588	0.440933360246009	0.430680124431132	0.666711249464498	0.999999999996983	PHKA1, PYGL, AGL, GYG1, PGM2L1, PGM2, GAA, CALM1	c2.cp.reactome.v7.1
REACTOME_TRANSLATION	Y	0.101557005727262	190	-0.186688362950743	0.0591734416926501	-3.15493501156164	0.00161060663215058	0.0403680624076284	LARS2, SARS1, MRPS10, MRPL43, SEC61A1, MRPS24, EIF4B, RPL18, SEC61A2, TRAM1, IARS2, PABPC1, EIF2B3, RPL31, RPS5, EIF3I, RPLP0, MRPS33, AARS1, VARS1, EIF3L, RPL3, EIF3D, EIF5, SRP54, EEF1A2, GSPT1, EARS2, MTFMT, SARS2, RPS16, RPS19, RPL18A, EIF3B, MRPL32, EIF4H, SEC61B, RPL28, RPL19, RPL34, CARS1, RPS13, MTRF1L, MRPL18, RPS12, MRPL2, MRPS30, MRPS27, TARS1, RARS1, RPL24, MRPL3, SSR3, SPCS1, EEF1B2, RPS15, MRPL19, DARS1, MRPL37, RPL22, WARS2, MRPS15, DARS2, RPS25, RPN2, EIF2B2, MRPS14, ETF1, RPL21, MRPS2, RPL5, AARS2, RPS10, SSR1, EEF1E1, RPL23, EIF2S2, MRPS12, SPCS3, RPL36, MRPL34, EIF2S3, EIF3G, MRPS25, RPL27, PTCD3, MRPL35, DAP3, LARS1, EIF2S1, RPS15A, NARS1, YARS1, MRPL44, MRPL47, MRPL50, RPS6, NARS2, MRPL15, RPLP1, RPS24, WARS1, SRP14, SEC11A, RPS2, RPL13A, RPL11, RPS8, MRPL9, SRP9, RPS27A, MRPS5, SRPRB, EIF2B5, RPS3A, RPL37, RPL10, RPL7, EIF3H, MRRF, RPL7A, EIF3M, RPS3, MRPL49, FAU, EIF4E, SRP19, OXA1L, N6AMT1, RPL30, EEF1A1, EIF4A2, MRPL17, RPL8, EIF4A1, RPL29, RPL9, AIMP1, GFM2, RPS14, RPL36AL, RPL27A, MARS1, EEF2, RPSA, HARS1, RPS9, MRPL36, RPS7, QARS1, MRPL13, TRMT112, EIF1AX, RPL4, RPL15, EIF3F, RPS27, TUFM, EIF3K, FARSA, GADD45GIP1, MRPL14, MRPS23, MRPS11, MRPS16, RPS17, RPL35A, SRPRA, EIF3C, RPS23, EIF4EBP1, RPL14, IARS1, RPS26, RPL12, RPS4X, RPL23A, RPL10A, RPL39, MRPS18B, UBA52, RPL41, RPS28, RPL36A, DDOST, MARS2, MRPL12, RPL17, MRPS21, MRPL45	c2.cp.reactome.v7.1
REACTOME_PYRIMIDINE_CATABOLISM	Y	0.0062707668353128	7	0.535839133058481	0.638259537843689	0.839531728532835	0.401193212541826	0.948771544707676	UPP2, TYMP, AGXT2, NT5E, UPP1, DPYD, NT5M	c2.cp.reactome.v7.1
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	Y	0.0101258472166773	12	0.0148701561060565	0.299260016719489	0.049689752306587	0.96037072157951	0.999999999996983	CDC27, ANAPC4, UBE2D1, ANAPC5, ANAPC15, CDC20, ANAPC1, BUB1B, MAD2L1, ANAPC10, ANAPC16, ANAPC7	c2.cp.reactome.v7.1
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Y	0.0228984288326691	31	0.000718636067957857	0.183313568244994	0.00392025573904828	0.996872183061295	0.999999999996983	PDK4, CS, PDK3, SDHA, ME2, L2HGDH, PDPR, OGDH, PDHX, LDHB, PPARD, NNT, SDHB, DLST, GLO1, PDHA1, LDHA, MDH2, DLAT, PDK1, SLC16A1, PDHA2, SUCLG1, PDP1, IDH3A, PDHB, BSG, SUCLG2, PDP2, FAHD1, VDAC1	c2.cp.reactome.v7.1
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	Y	0.0216230082057835	29	0.0969509857302918	0.211135937250593	0.459187512049275	0.646110568067075	0.999999999996983	VIM, CDH1, DSG2, CASP8, ROCK1, PKP1, ADD1, CLSPN, DSP, ACIN1, TJP1, BIRC2, LMNB1, TJP2, STK26, DSG3, APC, DBNL, CASP6, GSN, LMNA, CASP3, CASP7, CTNNB1, PTK2, PLEC, SATB1, BCAP31, OCLN	c2.cp.reactome.v7.1
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Y	0.0184022935666738	24	-0.0673459541496838	0.191433052666305	-0.351798987748879	0.724997224748402	0.999999999996983	POLA2, MCM10, MCM6, ORC1, ORC6, CDC6, CDC7, MCM5, POLA1, MCM4, MCM3, GMNN, ORC4, RPA2, CDK2, MCM8, RPA1, PRIM2, POLE3, ORC5, MCM7, CDT1, POLE, PRIM1	c2.cp.reactome.v7.1
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Y	0.0128402128953116	16	0.621316736770588	0.452513813054537	1.37303374802331	0.169775941269321	0.683976502937074	CPSF1, PAPOLA, PABPN1, CSTF1, CSTF2, NCBP2, SYMPK, WDR33, NCBP1, CPSF7, CPSF4, PCF11, CPSF2, NUDT21, CSTF3, CSTF2T	c2.cp.reactome.v7.1
REACTOME_GAP_JUNCTION_DEGRADATION	Y	0.00774324947432854	9	-0.370774445619129	0.186848194683166	-1.98436193749606	0.0472457196414326	0.353075329222804	ACTB, DNM2, CLTA, CLTC, GJA1, DAB2, AP2M1, ACTG1, MYO6	c2.cp.reactome.v7.1
REACTOME_BASE_EXCISION_REPAIR	Y	0.0431926644383373	66	-0.0776170074618111	0.114290594013032	-0.679119818494958	0.497079347941101	0.975884665158224	RFC1, RFC2, POLD1, NTHL1, UNG, POLD3, APEX1, MPG, POLD2, NEIL3, RFC5, RPA2, SMUG1, H2BC11, MBD4, PARP2, RPA1, TERF2, PCNA, RFC3, TDG, PARP1, H2BC1, TERF1, POLE3, H2BC5, H4C8, RFC4, H2AZ1, TERF2IP, H3-4, FEN1, POLE, H2AC6, H2AC20, H2BC21, H2BC13, H2AX, H2AC7, H2BU1, H4C3, H4C11, H4-16, H2BC12, H2AC18, H2BC15, H4C15, H4C14, H2AC19, H4C12, H2BC8, H2BC6, H4C6, H2BC17, H4C13, H2BC9, H4C9, H2AC14, H2BC3, H4C5, H2AC8, H4C4, H2BC7, H2AC4, H4C1, H4C2	c2.cp.reactome.v7.1
