GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Y	0.0271563550661165	38	-0.145287352492737	0.137246278920374	-1.05858864543081	0.289815469893209	0.717269147524835	GCK, PGK1, PDHB, PDHA1, PDHA2, PGM2, TPI1, ACSS1, ADH1B, HK2, HK1, ADH4, ADH5, PGAM1, ALDOC, ALDH7A1, PKLR, ENO1, PKM, PFKP, ALDH1B1, AKR1A1, PFKM, GAPDH, PGAM4, LDHB, ALDH1A3, ALDH3B1, ALDH3B2, ALDH9A1, GALM, ALDOA, DLAT, ALDOB, LDHA, G6PC, PGM1, GPI	c2.cp.kegg.v7.1
KEGG_CITRATE_CYCLE_TCA_CYCLE	Y	0.0115745412145299	14	0.00818184796459849	0.274933854788069	0.0297593323707094	0.97625964997139	0.997193651757722	DLST, CS, PDHB, PDHA1, PDHA2, OGDH, SDHB, IDH3A, ACLY, MDH2, DLAT, SDHA, SUCLG1, SUCLG2	c2.cp.kegg.v7.1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	Y	0.0136804333671955	17	0.106450401842422	0.278393093245856	0.382374435375857	0.702192646841991	0.913341484703568	RPIA, PGM2, PGLS, PRPS2, PFKM, TALDO1, TKT, ALDOA, ALDOC, ALDOB, H6PD, PRPS1L1, PRPS1, G6PD, PGM1, PFKP, GPI	c2.cp.kegg.v7.1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Y	0.0092961854979873	11	-0.298392279119233	0.195275180347966	-1.52806044571317	0.126532548666631	0.491585659837053	UGT1A10, UGT2B28, UGDH, GUSB, DCXR, UGP2, XYLB, UGT2B10, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Y	0.0143769835932435	18	-0.0572606445651243	0.223857013993071	-0.255791156791258	0.798117927614395	0.968085085396952	MPI, PFKM, GMDS, MTMR6, TPI1, PFKFB3, FCSK, PFKFB2, MTMR1, AKR1B10, HK2, HK1, ALDOA, ALDOC, ALDOB, SORD, GMPPA, PFKP	c2.cp.kegg.v7.1
KEGG_GALACTOSE_METABOLISM	Y	0.0115643171134766	14	-0.107202436955178	0.237521290761005	-0.451338221561979	0.651756637645171	0.896923771062205	GCK, GLB1, B4GALT1, PGM2, PFKM, MGAM, HK2, HK1, G6PC, UGP2, PGM1, B4GALT2, GAA, PFKP	c2.cp.kegg.v7.1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Y	0.009344029562432	11	-0.224010916354527	0.223664355174697	-1.00154946987221	0.316588067221127	0.717269147524835	UGT1A10, ALDH1B1, UGT2B28, MIOX, UGDH, ALDH9A1, ALDH7A1, UGT2B10, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_FATTY_ACID_METABOLISM	Y	0.0228792721338341	31	-0.0992132723727832	0.161681718824659	-0.613633211559177	0.539473185167837	0.840436514710085	CPT1A, ACADS, ALDH1B1, ACADSB, ACADL, CYP4A11, ACAT2, ACADVL, ACAT1, ACAA2, HADH, HADHB, HADHA, CYP4A22, ACSL6, ADH1B, ADH4, ECHS1, ADH5, ALDH9A1, ACSL5, EHHADH, GCDH, ALDH7A1, ACSL1, ACAA1, CPT2, CPT1B, ACOX1, ECI2, ACSL4	c2.cp.kegg.v7.1
KEGG_STEROID_BIOSYNTHESIS	Y	0.00783950309640472	9	-0.237440098410325	0.241536617199908	-0.983039760856663	0.325614201554902	0.717269147524835	SOAT1, LSS, EBP, CYP51A1, DHCR24, MSMO1, FDFT1, SC5D, LIPA	c2.cp.kegg.v7.1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	Y	0.00552324270919319	6	-0.0312868174512339	0.400257522454399	-0.0781667194144948	0.937697166583374	0.991763681987791	CYP7B1, HSD17B4, SCP2, AKR1D1, CYP7A1, CYP8B1	c2.cp.kegg.v7.1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	Y	0.0155302008057234	20	-0.327700772800054	0.140238439407923	-2.33674001353398	0.0194744506130971	0.267051558428543	SRD5A3, UGT2B28, COMT, CYP7A1, SULT1E1, HSD17B2, CYP19A1, HSD17B6, UGT1A10, CYP1A1, CYP1B1, STS, SRD5A1, CYP7B1, AKR1D1, HSD17B12, UGT2B10, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_OXIDATIVE_PHOSPHORYLATION	Y	0.039920927536555	60	0.0262344059767307	0.135917806744331	0.193016695936531	0.84695023239818	0.972279197509333	ATP6V1G1, NDUFA5, ATP6V0A1, ATP5PO, MT-CO2, MT-CO1, ATP6AP1, MT-CO3, COX4I1, MT-ATP6, ATP5PD, NDUFA2, UQCRQ, LHPP, ATP6V0D2, COX7A2L, ATP5MC3, ATP5MC1, COX5A, ATP5F1A, ATP5PF, SDHA, ATP6V1A, ATP6V1E1, ATP6V1B2, ATP6V1B1, COX10, COX8A, COX7C, SDHB, COX7B, ATP5F1B, COX6B1, ATP5F1C, ATP6V1F, ATP6V0A2, UQCRB, COX6A1, UQCRFS1, UQCRC2, NDUFA10, MT-ND6, MT-ND5, NDUFA7, UQCR11, NDUFV3, MT-ND4, MT-ND4L, MT-ND2, MT-ND3, MT-ND1, ATP5MG, ATP6V0E1, NDUFA11, NDUFB10, NDUFC2, NDUFS1, NDUFS5, NDUFS2, NDUFB5	c2.cp.kegg.v7.1
KEGG_PURINE_METABOLISM	Y	0.0576059991142848	94	0.269817717160007	0.139751211761215	1.93070037647351	0.05355137920085	0.351668070233032	NT5C2, POLR2H, POLR2E, POLR2F, ENPP1, POLR2I, POLR2J, POLE3, ADSS2, PRPS2, ADSL, NME6, PNPT1, POLD3, POLR2L, NME1-NME2, AK2, AK4, POLA2, AMPD3, AMPD2, NME4, ATIC, NME2, NME3, POLR3G, POLR3F, PDE4C, PDE3B, PDE4A, GMPR2, PDE6D, PDE4D, PDE6A, PRIM1, PRIM2, GMPR, GUCY1A2, FHIT, ADCY3, ADCY1, POLA1, PDE2A, POLD1, GDA, POLD2, POLE, PDE7A, PRPS1, POLR1E, PAICS, POLR2B, POLR3A, POLR2A, POLR2D, POLR2C, ADCY9, ADCY6, ADCY7, POLR3K, POLR1B, PNP, PDE1A, HPRT1, PAPSS1, PAPSS2, NT5M, IMPDH1, IMPDH2, POLR3H, POLR2J3, POLR1A, POLR3B, PKLR, ENTPD4, PKM, GUK1, ADK, ITPA, RRM1, POLR3D, RRM2, NT5E, NPR1, ENTPD6, ENTPD5, ENTPD3, NUDT5, ENTPD1, PFAS, NT5C1B, APRT, PRPS1L1, PPAT	c2.cp.kegg.v7.1
KEGG_PYRIMIDINE_METABOLISM	Y	0.0442697853050994	68	0.0996406571233881	0.138418482079576	0.719850814908554	0.471635480643105	0.797492721814705	NT5C2, POLR2H, POLR2E, POLR2F, POLR2I, POLR2J, POLE3, TYMS, TXNRD1, NME6, PNPT1, DHODH, POLD3, POLR2L, NME1-NME2, POLA2, NME4, NME2, NME3, POLR3G, POLR3F, PRIM1, PRIM2, CTPS1, POLA1, POLD1, POLD2, POLE, CAD, CMPK2, POLR1E, POLR3A, DCTD, POLR2B, POLR2A, POLR2D, POLR2C, UCK1, TXNRD2, CMPK1, POLR3K, PNP, POLR1B, UPP2, CTPS2, NT5M, POLR3H, POLR2J3, POLR1A, POLR3B, ENTPD4, ITPA, RRM1, RRM2, POLR3D, DPYD, TYMP, UMPS, UCK2, TK1, NT5E, UPP1, ENTPD6, ENTPD5, ENTPD3, ENTPD1, NT5C1B, AK3	c2.cp.kegg.v7.1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Y	0.0136630711836849	17	-0.149294342068358	0.203044282793754	-0.735279713440673	0.462188252072388	0.788688209958388	GLUD2, GFPT2, AGXT2, CPS1, ABAT, ADSS2, ADSL, GFPT1, GPT2, GOT2, GLUL, GOT1, CAD, ALDH5A1, ASS1, PPAT, ASPA	c2.cp.kegg.v7.1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Y	0.0108526961362874	13	-0.0497357682753032	0.265812146084128	-0.187108711953148	0.851579600317868	0.972279197509333	MAOB, AGXT2, MAOA, AOC2, GATM, SHMT1, PHGDH, SHMT2, PSAT1, CHDH, CBS, CTH, DAO	c2.cp.kegg.v7.1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	Y	0.0177499801217307	23	-0.0141633030162693	0.208982287186262	-0.0677727438385522	0.945968041288963	0.991763681987791	AMD1, SRM, AHCY, DNMT1, DNMT3A, DNMT3B, SMS, LDHB, ENOPH1, GOT2, CDO1, APIP, GOT1, AHCYL1, MTAP, MAT2B, LDHA, MTR, CBS, MAT1A, AHCYL2, CTH, MAT2A	c2.cp.kegg.v7.1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Y	0.0203555727169829	27	-0.0341846531123634	0.188263479857578	-0.18157878064415	0.855917377180663	0.972279197509333	ALDH1B1, ACADS, ACADSB, ABAT, ACAT2, HSD17B10, ACAT1, ACAA2, HADH, HADHB, DBT, HADHA, HMGCL, IVD, ACAD8, ECHS1, ALDH9A1, PCCB, EHHADH, HMGCS1, PCCA, ALDH7A1, HIBADH, ACAA1, MCCC2, BCAT1, BCAT2	c2.cp.kegg.v7.1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	Y	0.00861421918037824	10	-0.187260768100779	0.249174282129424	-0.75152526376504	0.452356183706599	0.779057871939142	PDHB, IARS2, PDHA1, PDHA2, LARS1, LARS2, VARS1, BCAT1, BCAT2, IARS1	c2.cp.kegg.v7.1
KEGG_LYSINE_DEGRADATION	Y	0.0216338020451898	29	-0.0328041708817175	0.181987570922718	-0.180255007061158	0.856956420169952	0.972279197509333	AASDHPPT, DLST, ALDH1B1, ACAT2, PLOD1, ACAT1, KMT5A, HADH, OGDH, HADHA, ECHS1, ALDH9A1, KMT5B, SUV39H1, ASH1L, SETD1B, DOT1L, NSD2, EHHADH, SETD1A, GCDH, SETD7, ALDH7A1, NSD3, EHMT1, SETDB1, SETD2, PLOD3, NSD1	c2.cp.kegg.v7.1
