GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	Y	0.0228932049654059	31	-0.0256650618032735	0.0849562351262907	-0.302097447763798	0.762584733823018	0.947931135587828	CDK9, CHD1, DHX9, EP300, SNW1, RRP1B, NELFB, GTF2F1, MDFIC, JUN, ZNF639, RSF1, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2H, POLR2I, POLR2J, POLR2L, NUCKS1, SMARCA4, SMARCB1, SP1, SUPT5H, TFAP4, NELFE, CCNT1, CTDP1	c5.bp.v7.1
GO_CARDIAC_CHAMBER_DEVELOPMENT	Y	0.0673632682820163	114	0.092755033053311	0.0341169001309475	2.71874152391626	0.00656559465324516	0.0437186069777248	ZMPSTE24, UBE4B, CITED2, TAB1, FRS2, PPP1R13L, XIRP2, CPE, CCM2L, NKX2-5, TMEM65, ZFPM1, AP2B1, DNM2, JAG1, DSP, DAND5, ENG, FGFR2, FHL2, FKBP1A, FOXC1, PLXND1, ZFPM2, HEY2, HECTD1, GATA3, GATA4, GATA6, HEYL, NPHP3, GSK3A, NRG1, HIF1A, HES1, NDST1, ID2, CCN1, RBPJ, KCNK2, LTBP1, SMAD4, SMAD6, SMAD7, MDM2, MDM4, MEF2C, MSX2, MYH10, NOS3, NOTCH1, NOTCH2, PDE2A, SUFU, FGFRL1, DLL4, POU4F1, MED1, CHD7, PARVA, TBX20, SALL4, ADGRG6, VANGL2, PTK7, RARA, SAV1, ROBO1, SALL1, SCN5A, PRDM1, SHOX2, CPLANE1, BMP7, BMPR1A, SLIT3, BMPR2, SMARCD3, SMO, SOS1, SOX4, SOX11, SRF, TBX2, TBX3, TGFB1, TGFB2, TGFBR1, TGFBR2, TGFBR3, TNNC1, TNNI1, TP53, TPM1, NSD2, WNT5A, ZBTB14, LUZP1, PTCD2, NPRL3, ARID1A, FZD1, DCTN5, NRP1, FOXH1, ACVR1, NOG, DHRS3, TRIP11, HAND1, ADAMTS1, MATR3, SNX17, MAML1	c5.bp.v7.1
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	Y	0.0208404865102504	28	0.117887430315026	0.0618472195742521	1.90610719651663	0.0566680089560527	0.218489558340541	CDK9, EME1, DDX11, DNA2, PRIMPOL, MMS22L, MCM9, SAMHD1, GEN1, CENPS, MRE11, MSH3, TONSL, PCNA, POLD1, POLE, ATRX, TIPIN, RFWD3, FANCM, RAD51, BLM, NUCKS1, BRCA2, WRN, FBH1, TIMELESS, SLFN11	c5.bp.v7.1
GO_CIRCADIAN_RHYTHM	Y	0.0703250229827554	121	0.123998303023488	0.0304532032796125	4.07176551789879	4.70563027047347e-05	0.000853816769558199	HUWE1, NAMPT, CDK4, HNRNPR, NCOA2, MYBBP1A, ATG7, ADCY1, RAI1, NMU, PPARGC1A, GPR176, CAVIN3, BTBD9, CLDN4, CPT1A, CREB1, CREM, CRY1, CRY2, CSNK1D, CSNK1E, SIK1, DDB1, DRD4, DYRK1A, AHCY, EGFR, EGR1, AHR, EGR3, EP300, NR2F6, EZH2, KDM2A, MYCBP2, PHLPP1, CRTC1, SIRT1, TARDBP, SIN3A, GFPT1, GNAQ, GSK3B, HDAC1, HDAC2, HNF4A, HNRNPD, HNRNPL, HNRNPU, ID1, ID2, ID3, ID4, IMPDH2, JUN, JUND, SRRD, KMT2A, ASS1, ZFHX3, NGFR, NONO, NTRK2, NTRK3, OPRL1, SERPINE1, PER1, PML, PPARA, PPARG, PPP1CA, PPP1CB, PPP1CC, PIWIL2, PSPC1, FBXW7, LGR4, PRKAA1, PRKAA2, MAPK8, MAPK9, ARNTL2, PTEN, CCAR2, KDM5A, RORA, SFPQ, SIAH2, SIX3, SLC6A4, SRD5A1, SREBF1, STAR, SUV39H1, KLF9, HNF1B, KLF10, TOP1, TOP2A, TP53, TYMS, USP7, GPR157, NRIP1, USP9X, RBM4B, OGT, BHLHE40, PER3, PER2, TIMELESS, BTRC, USP2, MTA1, ROCK2, MAGED1, CLOCK, NCOR1, CDK1, THRAP3	c5.bp.v7.1
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	Y	0.00937963012200171	11	-0.0572223385834028	0.150919276332358	-0.379158580494292	0.70457902025944	0.925995837234603	PLA2G4B, LPCAT3, PLAAT3, OSBPL8, OSBPL10, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G5, PLA2G2F, PLA2G12A	c5.bp.v7.1
GO_SPINAL_CORD_DEVELOPMENT	Y	0.0354079353906807	52	0.0341617110436414	0.0579843031386343	0.589154464130825	0.555772395270977	0.842214960030278	GDF11, ADARB1, LBX1, DCC, OLIG3, CLN8, AKT1, EVX1, DAAM2, IFT172, PHGDH, GATA2, MDGA1, INTU, GLI3, ABT1, MNX1, HOXD10, DRAXIN, LHX1, NFE2L1, NKX2-2, NOTCH1, PBX3, SUFU, VIT, PKD1, PKD2, DLL4, ZC4H2, TBX20, PLXDC1, PTBP2, SHH, ISL2, SMO, SOX4, SOX11, SOX12, SRD5A1, TAL1, TULP3, VLDLR, WNT1, TCTN1, DYNC2H1, GDPD5, NKX6-2, ZPR1, LHX4, NOG, BAG3	c5.bp.v7.1
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Y	0.0236585223389058	33	0.170203200315733	0.0480606442759853	3.54142568997518	0.000399976591489802	0.00466621166358429	TXNIP, F3, FER, ABL1, RAPGEF1, HIP1, JAK2, LOX, MYO1E, PDGFB, PDGFRA, PIK3C2A, PLAT, PDGFC, PTEN, PTPN1, PTPN11, PTPN12, PTPRJ, PLEKHA1, VEGFA, NR4A3, PDGFD, ARID5B, CBL, IQGAP1, NRP1, SGPL1, HIP1R, HGS, SLC9A3R1, PHF14, LRIG2	c5.bp.v7.1
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	Y	0.0128575945414049	16	0.137264272116146	0.0770136603505826	1.78233668535283	0.0747279258043411	0.264800602967853	TLR6, ABCA1, AKT1, HMGCS1, ITGB1, MIA3, LDLR, LPL, MYD88, NPC1, PPARG, SREBF2, ADAM17, TLR4, SOCS5, CD81	c5.bp.v7.1
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	Y	0.0208980656413577	28	0.0977884136294193	0.0664702889838062	1.47115974857944	0.141282757637351	0.411923324808153	CDH5, ADD1, CTNNB1, FOXC1, SFN, LHX1, LIF, NME2, NOTCH1, NUMA1, SERPINE1, PAX2, F11R, MED1, TMEM100, RFX3, BMP6, SOX9, BTG1, VDR, WNT10B, VEZF1, NCOA3, ATOH8, PROM1, S1PR2, ACVRL1, ZEB2	c5.bp.v7.1
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	Y	0.158850450133649	341	0.121727973428229	0.0193898334082094	6.27792776067332	3.58917003216001e-10	3.65222301921147e-08	TOM1L1, RAD50, RASGRP1, TENM1, SPRY2, CDKN1A, CDKN1B, PAK4, TLR6, VAV3, TAB1, STK25, CENPE, ADCY1, MAP3K2, FRS2, MALT1, ADCY3, GCN1, ADCY6, AKAP13, PDCD10, DUSP12, ADCY7, PARK7, TIRAP, OSBPL8, ADCY9, CKS1B, CKS2, CLU, CCR7, MAP3K8, PRRC1, CRK, CRKL, DUSP19, MAPK14, CACUL1, CSF1, CSF1R, CSK, CSPG4, IL23R, ADRA2B, DAB2IP, DAG1, DAXX, DDX3X, DLG1, DRD4, DUSP5, DUSP6, DUSP7, DUSP9, DVL2, DVL3, ECT2, LPAR1, EDN1, EEF1A2, EFNA1, EFNA5, EGF, EGFR, EGR1, MUC20, MARK2, EMP2, EPHA4, EPO, ERBB2, ERBB3, EREG, AKT1, ERN1, EZH2, F2, F2R, ACSL1, CCNY, FGF1, FGF2, FGF10, FGFR1, FGFR3, ATG14, MAPRE3, DKK1, TAB2, MAPK8IP3, FLT1, SASH1, ADNP, SIRT1, FPR1, FPR2, ABL1, RICTOR, FYN, XRCC6, EPGN, DSTYK, GAS6, GREM1, GNG3, ANG, DYNAP, DOK7, RAPGEF1, DBNL, GRM1, GRM5, MDFIC, HGF, NRG1, PIK3R4, HRAS, HSP90AA1, HSP90AB1, IGF1, IGF2, CCN1, IL1B, IL6R, ILK, IRAK1, IRAK2, IRS1, ITGA1, ITGB3, JAK2, SLC27A1, KRAS, RHOA, TNFAIP8L3, LYN, ARRB1, MAP3K1, MAP3K3, MAP3K4, MAP3K5, KITLG, MAP3K9, MAP3K11, MRE11, NAB2, NBN, NEK1, NPM1, NTF3, NTRK2, NTRK3, DDR2, ATP2B4, P2RX7, MINK1, NOX4, PAK1, PAK2, PAK3, MRNIP, PLCE1, ANGPT4, SNX9, HACD3, PDGFB, PDGFRA, PDPK1, GPRC5B, CAB39, STK26, MAP3K20, PFKFB2, PIK3CA, PIK3CB, PKD1, PKD2, NCAPG2, PARP16, PIH1D1, PPP2CA, FBXW7, STRADB, PRKAA1, AMBRA1, PRKACA, PRKACB, PRKAG1, PRKAR1A, PRKAR2A, PKN1, PRKD1, GPRC5C, PRKCZ, MAPK1, MAPK11, PDGFC, MAP2K1, MAP2K2, MAP2K3, MAP2K6, MAP2K7, EIF2AK2, PRLR, PRNP, PAK6, CASS4, TIGAR, CEMIP, VANGL2, PTK2, KIDINS220, TAOK1, PTPN1, PTPN11, MAP4K2, RAF1, RALB, RANBP2, CCND1, RET, ROBO1, RPLP1, RPS3, RPS27A, BDNF, SAA1, CCL5, SDC4, CLSPN, NOD2, MAP2K4, MLST8, SHC1, BMP2, WNK1, SLC11A1, SOD1, BRAF, NEK4, STK3, STK4, STK10, STK11, ADAM17, MAP3K7, TAL1, PRDX2, TGFA, TGFB1, TGFB2, TGFBR1, TGFBR2, THBS1, TIAM1, TLR3, TLR4, TNF, TP73, TPD52L1, UBA52, UBB, UBC, UBE2N, UBE2V1, VAV2, VEGFA, VLDLR, WNT5A, WNT7B, XRCC5, LRP8, CXCR4, FZD5, MAPKAPK3, CARD14, MUL1, ARHGEF5, BORA, CALM1, DBF4B, PDGFD, CALM2, SRCIN1, CALM3, ZFP91, HMGA2, AXIN1, FZD4, TRAF7, MAP3K21, PSRC1, IKBKG, MAPKAPK5, TNFSF11, LAMTOR3, SOCS1, PEA15, TNFRSF10B, TNFRSF10A, CCNK, IQGAP1, KSR1, CDK5R1, CCNB1, BCL10, CCND2, CDK5R2, CCND3, MAP3K14, CCNT1, SPAG9, ZNF622, CCNT2, GPRC5A, MAP3K6, CD4, MOB1B, MAPKAPK2, S1PR2, ACVR2B, TAOK2, SYAP1, MAP4K4, MAGED1, GDF15, CD40LG, TRAF4, SLK, CD81, RASSF2, DAZAP2, CDK1, ZEB2, CDC6, KIF14, CDC25B, OXSR1, TNFSF15, CDC42	c5.bp.v7.1
GO_POTASSIUM_ION_TRANSPORT	Y	0.0582043852763778	95	0.0696771525486197	0.0395612330843763	1.76124825027603	0.0782302264185724	0.273605947483442	KCNE3, HCN4, AKAP9, CDK2, CDKN1B, SLC9A6, SLC12A7, WWP2, CHP1, SLC24A4, ALG10B, DLG1, DNM2, ANO6, LRRC55, FLNA, NEDD4L, KCNE4, SLC24A2, GCK, KCNMB4, SLC9A9, KCNK18, KCNT2, KCNA5, KCNA7, KCNB1, KCNC1, KCNC3, KCNC4, KCND3, KCNG1, KCNH1, KCNH2, KCNJ3, KCNJ6, KCNJ8, KCNJ10, KCNJ11, KCNJ12, KCNK1, KCNK2, KCNK3, KCNMB1, KCNN1, KCNN3, KCNS3, KIF5B, SLC9A4, NEDD4, ATP1A1, ATP1A2, ATP1B1, ATP1B3, NOS1, NOS3, NSF, CAB39, PKD2, FXYD1, KCNK10, KLHL24, PRNP, KCNQ5, PTEN, SLC12A5, HCN3, RGS4, HCN2, SLC1A3, WNK1, WNK3, WNK2, SLC9A1, SLC9A3, SLC9A5, SLC12A4, SNAP25, TSC1, SUMO1, YWHAE, TMEM38A, NETO2, TMEM175, SLC12A8, SLC9A7, CAV1, KCNK5, MTMR6, KCNK6, AKAP6, VPS4B, NOS1AP, OXSR1, SLC12A6	c5.bp.v7.1
