GS	converged	loss	gene.tested	coef	std.err	t.value	p.value	adj.p.val	Target_Gene	Library
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Y	0.0270349014061756	38	-0.789150239596559	0.372603484916068	-2.11793574548644	0.0342077511291064	0.318132085500689	GCK, PGK1, PDHB, PDHA1, PDHA2, PGM2, TPI1, ACSS1, ADH1B, HK2, HK1, ADH4, ADH5, PGAM1, ALDOC, ALDH7A1, PKLR, ENO1, PKM, PFKP, ALDH1B1, AKR1A1, PFKM, GAPDH, PGAM4, LDHB, ALDH1A3, ALDH3B1, ALDH3B2, ALDH9A1, GALM, ALDOA, DLAT, ALDOB, LDHA, G6PC, PGM1, GPI	c2.cp.kegg.v7.1
KEGG_CITRATE_CYCLE_TCA_CYCLE	Y	0.0115354743952044	14	9.6795830721592	772.176086310408	0.0125354608149159	0.989998688154583	0.996306442063722	DLST, CS, PDHB, PDHA1, PDHA2, OGDH, SDHB, IDH3A, ACLY, MDH2, DLAT, SDHA, SUCLG1, SUCLG2	c2.cp.kegg.v7.1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	Y	0.013641682057911	17	9.8197022428374	772.30214806684	0.0127148451773923	0.989855575510543	0.996306442063722	RPIA, PGM2, PGLS, PRPS2, PFKM, TALDO1, TKT, ALDOA, ALDOC, ALDOB, H6PD, PRPS1L1, PRPS1, G6PD, PGM1, PFKP, GPI	c2.cp.kegg.v7.1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Y	0.009308201395146	11	-0.917772806311933	0.627741358922728	-1.46202379892083	0.143769479631924	0.786503623868758	UGT1A10, UGT2B28, UGDH, GUSB, DCXR, UGP2, XYLB, UGT2B10, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Y	0.0143422009422849	18	-0.590713370548022	0.620733823563475	-0.951637156095163	0.341306495630511	0.996306442063722	MPI, PFKM, GMDS, MTMR6, TPI1, PFKFB3, FCSK, PFKFB2, MTMR1, AKR1B10, HK2, HK1, ALDOA, ALDOC, ALDOB, SORD, GMPPA, PFKP	c2.cp.kegg.v7.1
KEGG_GALACTOSE_METABOLISM	Y	0.0115354743952043	14	9.67958307215825	772.176086312391	0.0125354608148824	0.98999868815461	0.996306442063722	GCK, GLB1, B4GALT1, PGM2, PFKM, MGAM, HK2, HK1, G6PC, UGP2, PGM1, B4GALT2, GAA, PFKP	c2.cp.kegg.v7.1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Y	0.00935743886784187	11	9.50572464545372	772.012616327647	0.0123129136032402	0.990176236518323	0.996306442063722	UGT1A10, ALDH1B1, UGT2B28, MIOX, UGDH, ALDH9A1, ALDH7A1, UGT2B10, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_FATTY_ACID_METABOLISM	Y	0.0228977376392125	31	-0.0792099088146364	0.694486085473531	-0.114055429578013	0.909196388726347	0.996306442063722	CPT1A, ACADS, ALDH1B1, ACADSB, ACADL, CYP4A11, ACAT2, ACADVL, ACAT1, ACAA2, HADH, HADHB, HADHA, CYP4A22, ACSL6, ADH1B, ADH4, ECHS1, ADH5, ALDH9A1, ACSL5, EHHADH, GCDH, ALDH7A1, ACSL1, ACAA1, CPT2, CPT1B, ACOX1, ECI2, ACSL4	c2.cp.kegg.v7.1
KEGG_STEROID_BIOSYNTHESIS	Y	0.00785611499065458	9	9.3612072716522	771.870781509046	0.0121279461483832	0.990323804089235	0.996306442063722	SOAT1, LSS, EBP, CYP51A1, DHCR24, MSMO1, FDFT1, SC5D, LIPA	c2.cp.kegg.v7.1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	Y	0.00550681588464039	6	9.78895589096269	1273.28906719533	0.00768792895750279	0.993866150394841	0.996306442063722	CYP7B1, HSD17B4, SCP2, AKR1D1, CYP7A1, CYP8B1	c2.cp.kegg.v7.1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	Y	0.0157140165037526	20	-0.521439528315743	0.619810026161405	-0.841289276240192	0.400208169338451	0.996306442063722	SRD5A3, UGT2B28, COMT, CYP7A1, SULT1E1, HSD17B2, CYP19A1, HSD17B6, UGT1A10, CYP1A1, CYP1B1, STS, SRD5A1, CYP7B1, AKR1D1, HSD17B12, UGT2B10, UGT2B4, UGT2B17, UGT2B15	c2.cp.kegg.v7.1
KEGG_OXIDATIVE_PHOSPHORYLATION	Y	0.0399059080376759	60	0.351729307013164	0.694479880047388	0.506464358606276	0.612543066541853	0.996306442063722	ATP6V1G1, NDUFA5, ATP6V0A1, ATP5PO, MT-CO2, MT-CO1, ATP6AP1, MT-CO3, COX4I1, MT-ATP6, ATP5PD, NDUFA2, UQCRQ, LHPP, ATP6V0D2, COX7A2L, ATP5MC3, ATP5MC1, COX5A, ATP5F1A, ATP5PF, SDHA, ATP6V1A, ATP6V1E1, ATP6V1B2, ATP6V1B1, COX10, COX8A, COX7C, SDHB, COX7B, ATP5F1B, COX6B1, ATP5F1C, ATP6V1F, ATP6V0A2, UQCRB, COX6A1, UQCRFS1, UQCRC2, NDUFA10, MT-ND6, MT-ND5, NDUFA7, UQCR11, NDUFV3, MT-ND4, MT-ND4L, MT-ND2, MT-ND3, MT-ND1, ATP5MG, ATP6V0E1, NDUFA11, NDUFB10, NDUFC2, NDUFS1, NDUFS5, NDUFS2, NDUFB5	c2.cp.kegg.v7.1
KEGG_PURINE_METABOLISM	Y	0.0575911791038749	94	9.61701247784259	284.008307569767	0.0338617294688823	0.972988159386463	0.996306442063722	NT5C2, POLR2H, POLR2E, POLR2F, ENPP1, POLR2I, POLR2J, POLE3, ADSS2, PRPS2, ADSL, NME6, PNPT1, POLD3, POLR2L, NME1-NME2, AK2, AK4, POLA2, AMPD3, AMPD2, NME4, ATIC, NME2, NME3, POLR3G, POLR3F, PDE4C, PDE3B, PDE4A, GMPR2, PDE6D, PDE4D, PDE6A, PRIM1, PRIM2, GMPR, GUCY1A2, FHIT, ADCY3, ADCY1, POLA1, PDE2A, POLD1, GDA, POLD2, POLE, PDE7A, PRPS1, POLR1E, PAICS, POLR2B, POLR3A, POLR2A, POLR2D, POLR2C, ADCY9, ADCY6, ADCY7, POLR3K, POLR1B, PNP, PDE1A, HPRT1, PAPSS1, PAPSS2, NT5M, IMPDH1, IMPDH2, POLR3H, POLR2J3, POLR1A, POLR3B, PKLR, ENTPD4, PKM, GUK1, ADK, ITPA, RRM1, POLR3D, RRM2, NT5E, NPR1, ENTPD6, ENTPD5, ENTPD3, NUDT5, ENTPD1, PFAS, NT5C1B, APRT, PRPS1L1, PPAT	c2.cp.kegg.v7.1
KEGG_PYRIMIDINE_METABOLISM	Y	0.0441100650321499	68	9.38192858716833	283.935131351321	0.0330425070772937	0.973641420517303	0.996306442063722	NT5C2, POLR2H, POLR2E, POLR2F, POLR2I, POLR2J, POLE3, TYMS, TXNRD1, NME6, PNPT1, DHODH, POLD3, POLR2L, NME1-NME2, POLA2, NME4, NME2, NME3, POLR3G, POLR3F, PRIM1, PRIM2, CTPS1, POLA1, POLD1, POLD2, POLE, CAD, CMPK2, POLR1E, POLR3A, DCTD, POLR2B, POLR2A, POLR2D, POLR2C, UCK1, TXNRD2, CMPK1, POLR3K, PNP, POLR1B, UPP2, CTPS2, NT5M, POLR3H, POLR2J3, POLR1A, POLR3B, ENTPD4, ITPA, RRM1, RRM2, POLR3D, DPYD, TYMP, UMPS, UCK2, TK1, NT5E, UPP1, ENTPD6, ENTPD5, ENTPD3, ENTPD1, NT5C1B, AK3	c2.cp.kegg.v7.1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Y	0.0136466485964755	17	-0.628372670091758	0.621305789725535	-1.01137423871319	0.311864438764367	0.996306442063722	GLUD2, GFPT2, AGXT2, CPS1, ABAT, ADSS2, ADSL, GFPT1, GPT2, GOT2, GLUL, GOT1, CAD, ALDH5A1, ASS1, PPAT, ASPA	c2.cp.kegg.v7.1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Y	0.0108182356816793	13	9.62613584240064	772.126661007151	0.0124670424277857	0.99005327235246	0.996306442063722	MAOB, AGXT2, MAOA, AOC2, GATM, SHMT1, PHGDH, SHMT2, PSAT1, CHDH, CBS, CTH, DAO	c2.cp.kegg.v7.1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	Y	0.0176859368303199	23	9.3179302441476	468.125115715293	0.0199047859884848	0.984119766912614	0.996306442063722	AMD1, SRM, AHCY, DNMT1, DNMT3A, DNMT3B, SMS, LDHB, ENOPH1, GOT2, CDO1, APIP, GOT1, AHCYL1, MTAP, MAT2B, LDHA, MTR, CBS, MAT1A, AHCYL2, CTH, MAT2A	c2.cp.kegg.v7.1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Y	0.0203543261167492	27	-0.169272653413105	0.694742628859	-0.243648001981839	0.807508981753807	0.996306442063722	ALDH1B1, ACADS, ACADSB, ABAT, ACAT2, HSD17B10, ACAT1, ACAA2, HADH, HADHB, DBT, HADHA, HMGCL, IVD, ACAD8, ECHS1, ALDH9A1, PCCB, EHHADH, HMGCS1, PCCA, ALDH7A1, HIBADH, ACAA1, MCCC2, BCAT1, BCAT2	c2.cp.kegg.v7.1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	Y	0.00861232712773289	10	9.43706821289594	771.945914275354	0.0122250380996637	0.990246343807849	0.996306442063722	PDHB, IARS2, PDHA1, PDHA2, LARS1, LARS2, VARS1, BCAT1, BCAT2, IARS1	c2.cp.kegg.v7.1
KEGG_LYSINE_DEGRADATION	Y	0.0216257423822314	29	-0.278185504868145	0.617683088709113	-0.450369307421903	0.652454981961243	0.996306442063722	AASDHPPT, DLST, ALDH1B1, ACAT2, PLOD1, ACAT1, KMT5A, HADH, OGDH, HADHA, ECHS1, ALDH9A1, KMT5B, SUV39H1, ASH1L, SETD1B, DOT1L, NSD2, EHHADH, SETD1A, GCDH, SETD7, ALDH7A1, NSD3, EHMT1, SETDB1, SETD2, PLOD3, NSD1	c2.cp.kegg.v7.1
KEGG_ARGININE_AND_PROLINE_METABOLISM	Y	0.0216257423822314	29	-0.278185504867997	0.617683088708834	-0.450369307421866	0.65245498196127	0.996306442063722	SRM, AZIN2, GLUD2, ARG2, SMS, CKB, NOS3, NOS1, GOT2, GLUL, ALDH7A1, AGMAT, GOT1, PYCR1, ASS1, ALDH18A1, DAO, AMD1, MAOB, MAOA, CPS1, P4HA3, ALDH1B1, GATM, ACY1, ALDH9A1, CKMT1B, PYCR3, ODC1	c2.cp.kegg.v7.1
KEGG_HISTIDINE_METABOLISM	Y	0.0106269804550253	13	-1.21924610506481	0.472031928866778	-2.58297380008148	0.00981085369414037	0.140370675931547	CNDP1, MAOB, MAOA, ALDH1B1, METTL6, ALDH1A3, METTL2B, ALDH3B1, ALDH3B2, ALDH9A1, HEMK1, ALDH7A1, ASPA	c2.cp.kegg.v7.1
KEGG_TYROSINE_METABOLISM	Y	0.0135123602818441	17	-1.03467341021438	0.466662434453774	-2.21717741524548	0.0266357730833034	0.260750199657602	MAOB, MAOA, AOC2, METTL6, COMT, METTL2B, ADH1B, ALDH1A3, ALDH3B1, ADH4, ALDH3B2, ADH5, HEMK1, GOT2, GOT1, TYRP1, NAA80	c2.cp.kegg.v7.1
